# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
29000 | -0.4810 | -80.9919 | 4.8832 | 4.8828| 0.0156 | -0.1601+0.0378j | -404.9525-1.8927j
30000 | -0.4650 | -80.1939 | 4.8832 | 4.8828| 0.0156 | -0.0800+0.0045j | -400.9622-0.1176j
31000 | -0.4633 | -80.0746 | 4.8832 | 4.8828| 0.0156 | -0.0719-0.0214j | -400.3656+2.2666j
32000 | -0.4835 | -81.3014 | 4.8832 | 4.8828| 0.0156 | -0.1726-0.0769j | -406.4998+6.0052j
33000 | -0.4710 | -80.5271 | 4.8832 | 4.8828| 0.0156 | -0.1099-0.0280j | -402.6281+0.2388j
34000 | -0.4526 | -79.9448 | 4.8833 | 4.8828| 0.0156 | -0.0184+0.0361j | -399.7167-4.3189j
35000 | -0.4492 | -79.3383 | 4.8832 | 4.8828| 0.0156 | -0.0011-0.0288j | -396.6844+2.3802j
36000 | -0.4527 | -79.2160 | 4.8832 | 4.8828| 0.0156 | -0.0187-0.0478j | -396.0730+2.2558j
37000 | -0.4623 | -80.3038 | 4.8833 | 4.8828| 0.0156 | -0.0667-0.0098j | -401.5117+0.7566j
38000 | -0.4587 | -79.8095 | 4.8832 | 4.8828| 0.0156 | -0.0488-0.0180j | -399.0401+1.9028j
39000 | -0.4600 | -79.7371 | 4.8832 | 4.8828| 0.0156 | -0.0553+0.0547j | -398.6785-1.1716j
40000 | -0.4533 | -79.3524 | 4.8832 | 4.8828| 0.0156 | -0.0217+0.0349j | -396.7550-1.8941j
41000 | -0.4447 | -78.7960 | 4.8832 | 4.8828| 0.0156 | 0.0215+0.0321j | -393.9730-0.8427j
42000 | -0.4408 | -78.3798 | 4.8831 | 4.8828| 0.0156 | 0.0406-0.0179j | -391.8917+2.0837j
43000 | -0.4493 | -79.0272 | 4.8832 | 4.8828| 0.0156 | -0.0014-0.0114j | -395.1289+0.4964j
44000 | -0.4514 | -79.2481 | 4.8832 | 4.8828| 0.0156 | -0.0119+0.0466j | -396.2334-2.0359j
45000 | -0.4687 | -80.2287 | 4.8832 | 4.8828| 0.0156 | -0.0985-0.0056j | -401.1363+0.0677j
46000 | -0.4473 | -79.1561 | 4.8832 | 4.8828| 0.0156 | 0.0083-0.0272j | -395.7735-0.1005j
47000 | -0.4464 | -79.8793 | 4.8834 | 4.8828| 0.0156 | 0.0129+0.0188j | -399.3893-4.4930j
48000 | -0.4463 | -79.8048 | 4.8835 | 4.8828| 0.0156 | 0.0134+0.0450j | -399.0170-4.7516j
49000 | -0.4510 | -80.2156 | 4.8834 | 4.8828| 0.0156 | -0.0104-0.0093j | -401.0709+2.1817j
50000 | -0.4555 | -79.9288 | 4.8833 | 4.8828| 0.0156 | -0.0325+0.0703j | -399.6369-2.9924j
51000 | -0.4631 | -79.9657 | 4.8832 | 4.8828| 0.0156 | -0.0707+0.0372j | -399.8212-3.0827j
52000 | -0.4597 | -80.1291 | 4.8832 | 4.8828| 0.0156 | -0.0535+0.0179j | -400.6385-3.0326j
53000 | -0.4580 | -80.9887 | 4.8834 | 4.8828| 0.0156 | -0.0451+0.0416j | -404.9365-4.0184j
54000 | -0.4594 | -80.7776 | 4.8834 | 4.8828| 0.0156 | -0.0520-0.0634j | -403.8810+2.1944j
55000 | -0.4622 | -80.6145 | 4.8833 | 4.8828| 0.0156 | -0.0664-0.1276j | -403.0655+7.7468j
56000 | -0.4541 | -79.9042 | 4.8833 | 4.8828| 0.0156 | -0.0256-0.0590j | -399.5136+2.2473j
57000 | -0.4331 | -79.0725 | 4.8834 | 4.8828| 0.0156 | 0.0795-0.0165j | -395.3552-1.6231j
58000 | -0.4483 | -80.6879 | 4.8835 | 4.8828| 0.0156 | 0.0034-0.0120j | -403.4322+0.7442j
59000 | -0.4642 | -81.7660 | 4.8834 | 4.8828| 0.0156 | -0.0762+0.0551j | -408.8226-3.8289j
60000 | -0.4368 | -79.2830 | 4.8833 | 4.8828| 0.0156 | 0.0608+0.0240j | -396.4078+0.7436j
61000 | -0.4402 | -80.0167 | 4.8834 | 4.8828| 0.0156 | 0.0439-0.0860j | -400.0763+5.4560j
62000 | -0.4366 | -79.7870 | 4.8834 | 4.8828| 0.0156 | 0.0620-0.0985j | -398.9279+5.3809j
63000 | -0.4573 | -81.0439 | 4.8834 | 4.8828| 0.0156 | -0.0415-0.1132j | -405.2124+5.6695j
64000 | -0.4673 | -81.0336 | 4.8833 | 4.8828| 0.0156 | -0.0919-0.0361j | -405.1610+5.9575j
65000 | -0.4536 | -80.6881 | 4.8834 | 4.8828| 0.0156 | -0.0232-0.0462j | -403.4331+4.9448j
66000 | -0.4477 | -79.3086 | 4.8832 | 4.8828| 0.0156 | 0.0064-0.0367j | -396.5357+2.6200j
67000 | -0.4417 | -78.6151 | 4.8832 | 4.8828| 0.0156 | 0.0365+0.0456j | -393.0681-3.1189j
68000 | -0.4434 | -78.5933 | 4.8831 | 4.8828| 0.0156 | 0.0277+0.0553j | -392.9592-3.2408j
69000 | -0.4455 | -78.5916 | 4.8832 | 4.8828| 0.0156 | 0.0173+0.0878j | -392.9510-4.9930j
70000 | -0.4394 | -78.3357 | 4.8832 | 4.8828| 0.0156 | 0.0478+0.0698j | -391.6714-4.1497j
71000 | -0.4363 | -78.2385 | 4.8832 | 4.8828| 0.0156 | 0.0631+0.0328j | -391.1851-1.9716j
72000 | -0.4548 | -79.4710 | 4.8832 | 4.8828| 0.0156 | -0.0293+0.0451j | -397.3480-0.7139j
73000 | -0.4565 | -79.7928 | 4.8832 | 4.8828| 0.0156 | -0.0375+0.0525j | -398.9570-3.2636j
74000 | -0.4506 | -79.2987 | 4.8832 | 4.8828| 0.0156 | -0.0081+0.0581j | -396.4866-4.1240j
75000 | -0.4624 | -80.0328 | 4.8832 | 4.8828| 0.0156 | -0.0669+0.0383j | -400.1570-3.8049j
76000 | -0.4420 | -78.5072 | 4.8832 | 4.8828| 0.0156 | 0.0347+0.0515j | -392.5289-2.7628j
77000 | -0.4467 | -78.8982 | 4.8832 | 4.8828| 0.0156 | 0.0114+0.0740j | -394.4839-6.0493j
78000 | -0.4475 | -79.2257 | 4.8832 | 4.8828| 0.0156 | 0.0074+0.0414j | -396.1213-3.2662j
79000 | -0.4395 | -78.6966 | 4.8833 | 4.8828| 0.0156 | 0.0471-0.0182j | -393.4758-0.3445j
80000 | -0.4399 | -78.4950 | 4.8832 | 4.8828| 0.0156 | 0.0455-0.0510j | -392.4676+4.9374j
81000 | -0.4518 | -79.5947 | 4.8833 | 4.8828| 0.0156 | -0.0143-0.1479j | -397.9665+8.9876j
82000 | -0.4714 | -80.8263 | 4.8833 | 4.8828| 0.0156 | -0.1123-0.1200j | -404.1243+7.2017j
83000 | -0.4573 | -79.8474 | 4.8833 | 4.8828| 0.0156 | -0.0417-0.0121j | -399.2296-2.6106j
84000 | -0.4694 | -80.8677 | 4.8833 | 4.8828| 0.0156 | -0.1020-0.0253j | -404.3315+0.7685j
85000 | -0.4738 | -81.2841 | 4.8834 | 4.8828| 0.0156 | -0.1242+0.0653j | -406.4133-5.6103j
86000 | -0.4596 | -80.6239 | 4.8833 | 4.8828| 0.0156 | -0.0533+0.0321j | -403.1125-2.5654j
87000 | -0.4636 | -81.6699 | 4.8835 | 4.8828| 0.0156 | -0.0731-0.0500j | -408.3421-0.7793j
88000 | -0.4756 | -81.4391 | 4.8833 | 4.8828| 0.0156 | -0.1331-0.0162j | -407.1884+0.9258j
89000 | -0.4588 | -80.6302 | 4.8833 | 4.8828| 0.0156 | -0.0490-0.0096j | -403.1439-0.0968j
90000 | -0.4623 | -80.5722 | 4.8833 | 4.8828| 0.0156 | -0.0666-0.0789j | -402.8537+1.7567j
91000 | -0.4541 | -80.0643 | 4.8833 | 4.8828| 0.0156 | -0.0258-0.0784j | -400.3141+9.9253j
92000 | -0.4642 | -80.7170 | 4.8833 | 4.8828| 0.0156 | -0.0762+0.0252j | -403.5778-1.1889j
93000 | -0.4588 | -79.8649 | 4.8832 | 4.8828| 0.0156 | -0.0493+0.0496j | -399.3172-2.5419j
94000 | -0.4499 | -79.3108 | 4.8832 | 4.8828| 0.0156 | -0.0048+0.0782j | -396.5466-4.1260j
95000 | -0.4482 | -79.2978 | 4.8833 | 4.8828| 0.0156 | 0.0039+0.0798j | -396.4820-5.8896j
96000 | -0.4357 | -78.5807 | 4.8833 | 4.8828| 0.0156 | 0.0662+0.0462j | -392.8964-3.4720j
97000 | -0.4359 | -79.0616 | 4.8833 | 4.8828| 0.0156 | 0.0655+0.0000j | -395.3007-1.3979j
98000 | -0.4453 | -79.5549 | 4.8833 | 4.8828| 0.0156 | 0.0185+0.0365j | -397.7672-0.2367j
99000 | -0.4501 | -79.1141 | 4.8832 | 4.8828| 0.0156 | -0.0058+0.0402j | -395.5634-1.6932j
100000 | -0.4599 | -80.4867 | 4.8834 | 4.8828| 0.0156 | -0.0547-0.0212j | -402.4264-0.8773j
