# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -0.4521 | -31.1255 | 4.8831 | 4.8828| 0.0156 | -0.0158-0.0091j | -155.6203+0.5421j
2000 | -0.4434 | -49.3683 | 4.8831 | 4.8828| 0.0156 | 0.0280+0.0769j | -246.8342-4.5794j
3000 | -0.4266 | -60.1230 | 4.8832 | 4.8828| 0.0156 | 0.1120+0.0535j | -300.6078-4.0427j
4000 | -0.4456 | -68.4311 | 4.8833 | 4.8828| 0.0156 | 0.0171+0.0360j | -342.1484-1.5879j
5000 | -0.4483 | -72.9093 | 4.8833 | 4.8828| 0.0156 | 0.0032+0.0727j | -364.5392-3.3154j
6000 | -0.4477 | -76.2113 | 4.8835 | 4.8828| 0.0156 | 0.0061+0.0722j | -381.0495-0.9474j
7000 | -0.4398 | -77.2322 | 4.8835 | 4.8828| 0.0156 | 0.0456+0.0166j | -386.1538+0.4549j
8000 | -0.4513 | -78.2005 | 4.8833 | 4.8828| 0.0156 | -0.0118-0.0196j | -390.9952+0.5659j
9000 | -0.4629 | -79.8697 | 4.8834 | 4.8828| 0.0156 | -0.0695-0.0093j | -399.3415+0.5206j
10000 | -0.4507 | -78.5876 | 4.8832 | 4.8828| 0.0156 | -0.0085-0.0169j | -392.9307-0.1856j
11000 | -0.4476 | -79.0360 | 4.8832 | 4.8828| 0.0156 | 0.0070-0.0428j | -395.1727+0.5019j
12000 | -0.4457 | -79.6501 | 4.8834 | 4.8828| 0.0156 | 0.0161-0.0253j | -398.2435+1.4407j
13000 | -0.4513 | -80.9963 | 4.8835 | 4.8828| 0.0156 | -0.0117+0.0822j | -404.9744-4.7302j
14000 | -0.4448 | -79.9712 | 4.8834 | 4.8828| 0.0156 | 0.0206+0.1452j | -399.8487-9.5676j
15000 | -0.4465 | -79.7904 | 4.8834 | 4.8828| 0.0156 | 0.0122+0.0243j | -398.9449-4.9041j
16000 | -0.4529 | -79.6677 | 4.8832 | 4.8828| 0.0156 | -0.0198+0.0436j | -398.3312-1.7367j
17000 | -0.4538 | -80.2391 | 4.8833 | 4.8828| 0.0156 | -0.0243+0.0136j | -401.1882+0.3796j
18000 | -0.4589 | -80.5372 | 4.8833 | 4.8828| 0.0156 | -0.0497-0.0137j | -402.6789+1.1327j
19000 | -0.4467 | -79.4835 | 4.8833 | 4.8828| 0.0156 | 0.0116+0.0554j | -397.4105-1.4652j
20000 | -0.4629 | -80.3592 | 4.8832 | 4.8828| 0.0156 | -0.0698+0.0056j | -401.7888+1.4746j
21000 | -0.4572 | -79.9871 | 4.8833 | 4.8828| 0.0156 | -0.0413+0.0077j | -399.9284+0.1892j
22000 | -0.4579 | -79.8109 | 4.8832 | 4.8828| 0.0156 | -0.0447+0.0419j | -399.0476-1.9018j
23000 | -0.4583 | -79.8772 | 4.8833 | 4.8828| 0.0156 | -0.0465+0.0762j | -399.3789-3.5386j
24000 | -0.4538 | -79.7323 | 4.8833 | 4.8828| 0.0156 | -0.0242-0.0119j | -398.6541+0.8316j
25000 | -0.4406 | -79.5992 | 4.8834 | 4.8828| 0.0156 | 0.0419-0.1179j | -397.9888+7.6730j
26000 | -0.4364 | -78.3980 | 4.8832 | 4.8828| 0.0156 | 0.0630-0.1135j | -391.9831+6.8578j
27000 | -0.4497 | -79.5389 | 4.8833 | 4.8828| 0.0156 | -0.0036-0.0679j | -397.6875+5.7876j
28000 | -0.4618 | -80.2736 | 4.8833 | 4.8828| 0.0156 | -0.0639+0.0013j | -401.3609+0.4870j
