# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
1000 -718.34 -0.00 0.00 -0.00 0.01 0.00-0.00j
2000 -718.33 -0.00 0.00 -0.00 0.00 0.00-0.00j
3000 -718.33 -0.01 0.00 -0.00 0.00 0.00-0.00j
4000 -718.33 -0.00 0.00 -0.00 0.00 0.00-0.00j
5000 -718.32 -0.00 0.00 -0.00 0.00 0.00-0.00j
6000 -718.32 -0.00 0.00 -0.00 0.00 0.00-0.00j
7000 -718.32 -0.00 0.00 -0.00 0.00 0.00-0.00j
8000 -718.32 -0.00 0.00 -0.00 0.00 0.00-0.00j
9000 -718.32 0.00 0.00 -0.00 0.00 0.00+0.00j
10000 -718.32 0.00 0.00 -0.00 0.00 0.00+0.00j
11000 -718.32 0.00 0.00 -0.00 0.00 0.00+0.00j
12000 -718.32 0.00 0.00 -0.00 0.00 0.00+0.00j
13000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
14000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
15000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
16000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
17000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
18000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
19000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
20000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
21000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
22000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
23000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
24000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
25000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
26000 -718.31 0.00 0.00 -0.00 0.00 0.00+0.00j
27000 -718.31 0.01 0.00 -0.00 0.00 0.00+0.00j
28000 -718.31 0.01 0.00 -0.00 0.00 0.00+0.00j
29000 -718.31 0.01 0.00 -0.00 0.00 0.00+0.00j
30000 -718.31 0.01 0.00 -0.00 0.00 0.00+0.00j
31000 -718.31 0.01 0.00 -0.00 0.00 0.00+0.00j
