# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
33000 | -2.2482 | -530.8661 | 4.8871 | 4.8828| 0.0156 | -0.0034-0.0103j | -530.8589-0.6198j
34000 | -2.2626 | -540.2943 | 4.8872 | 4.8828| 0.0156 | -0.0177-0.0106j | -540.2871+2.2577j
35000 | -2.2615 | -543.6216 | 4.8871 | 4.8828| 0.0156 | -0.0167-0.0158j | -543.6144-2.8144j
36000 | -2.2665 | -554.4528 | 4.8873 | 4.8828| 0.0156 | -0.0216-0.0240j | -554.4456-0.9287j
37000 | -2.2586 | -555.5075 | 4.8873 | 4.8828| 0.0156 | -0.0137-0.0205j | -555.5003+1.6101j
38000 | -2.2547 | -564.4406 | 4.8874 | 4.8828| 0.0156 | -0.0099-0.0214j | -564.4334-1.4959j
39000 | -2.2507 | -574.9738 | 4.8876 | 4.8828| 0.0156 | -0.0058-0.0238j | -574.9666+1.5850j
40000 | -2.2456 | -583.1183 | 4.8878 | 4.8828| 0.0156 | -0.0007-0.0203j | -583.1112-0.8400j
41000 | -2.2493 | -593.6390 | 4.8880 | 4.8828| 0.0156 | -0.0044-0.0130j | -593.6318+0.6272j
42000 | -2.2572 | -604.1107 | 4.8881 | 4.8828| 0.0156 | -0.0123-0.0109j | -604.1035+0.1332j
43000 | -2.2596 | -609.6694 | 4.8881 | 4.8828| 0.0156 | -0.0147-0.0112j | -609.6622+2.8291j
44000 | -2.2542 | -616.4973 | 4.8882 | 4.8828| 0.0156 | -0.0094-0.0081j | -616.4902+1.3123j
45000 | -2.2499 | -621.6050 | 4.8883 | 4.8828| 0.0156 | -0.0051-0.0133j | -621.5979+1.0928j
46000 | -2.2496 | -625.3172 | 4.8883 | 4.8828| 0.0156 | -0.0047-0.0188j | -625.3100-2.2392j
47000 | -2.2460 | -631.3678 | 4.8883 | 4.8828| 0.0156 | -0.0011-0.0097j | -631.3606+2.5611j
48000 | -2.2494 | -637.7359 | 4.8883 | 4.8828| 0.0156 | -0.0046-0.0012j | -637.7287+2.7121j
49000 | -2.2497 | -644.3018 | 4.8884 | 4.8828| 0.0156 | -0.0049+0.0045j | -644.2946-1.3336j
50000 | -2.2445 | -648.0949 | 4.8884 | 4.8828| 0.0156 | 0.0004-0.0017j | -648.0877-0.8196j
51000 | -2.2428 | -645.1757 | 4.8882 | 4.8828| 0.0156 | 0.0020-0.0050j | -645.1685+1.7345j
52000 | -2.2533 | -652.0117 | 4.8883 | 4.8828| 0.0156 | -0.0084-0.0060j | -652.0045+3.1392j
53000 | -2.2574 | -655.3741 | 4.8883 | 4.8828| 0.0156 | -0.0125-0.0094j | -655.3669+2.8579j
54000 | -2.2644 | -654.4279 | 4.8881 | 4.8828| 0.0156 | -0.0196-0.0151j | -654.4207-2.7029j
55000 | -2.2619 | -655.0123 | 4.8882 | 4.8828| 0.0156 | -0.0170-0.0155j | -655.0051+2.2442j
56000 | -2.2618 | -654.7485 | 4.8883 | 4.8828| 0.0156 | -0.0169-0.0138j | -654.7413+0.1476j
57000 | -2.2567 | -651.3900 | 4.8882 | 4.8828| 0.0156 | -0.0118-0.0156j | -651.3828-0.8768j
58000 | -2.2594 | -647.3112 | 4.8882 | 4.8828| 0.0156 | -0.0146-0.0078j | -647.3040-2.6257j
59000 | -2.2601 | -645.1064 | 4.8880 | 4.8828| 0.0156 | -0.0153-0.0098j | -645.0992-2.0889j
60000 | -2.2652 | -654.5732 | 4.8883 | 4.8828| 0.0156 | -0.0203-0.0100j | -654.5660+2.8319j
61000 | -2.2670 | -661.8954 | 4.8886 | 4.8828| 0.0156 | -0.0222-0.0047j | -661.8882-0.6631j
62000 | -2.2658 | -656.2673 | 4.8885 | 4.8828| 0.0156 | -0.0209-0.0101j | -656.2601-1.6656j
63000 | -2.2649 | -660.7925 | 4.8886 | 4.8828| 0.0156 | -0.0200-0.0096j | -660.7853+0.3804j
64000 | -2.2639 | -659.7958 | 4.8887 | 4.8828| 0.0156 | -0.0191-0.0146j | -659.7886+1.4579j
65000 | -2.2633 | -665.6937 | 4.8888 | 4.8828| 0.0156 | -0.0185-0.0221j | -665.6865+0.7448j
66000 | -2.2627 | -661.6844 | 4.8887 | 4.8828| 0.0156 | -0.0178-0.0247j | -661.6772-0.7270j
67000 | -2.2593 | -660.1692 | 4.8887 | 4.8828| 0.0156 | -0.0145-0.0276j | -660.1620+0.5488j
68000 | -2.2566 | -655.7205 | 4.8886 | 4.8828| 0.0156 | -0.0117-0.0177j | -655.7133-2.2808j
69000 | -2.2601 | -658.0346 | 4.8886 | 4.8828| 0.0156 | -0.0153-0.0148j | -658.0274-1.1298j
70000 | -2.2637 | -658.6941 | 4.8886 | 4.8828| 0.0156 | -0.0188-0.0126j | -658.6869-2.8703j
71000 | -2.2668 | -662.9433 | 4.8886 | 4.8828| 0.0156 | -0.0220-0.0022j | -662.9361+2.4042j
72000 | -2.2610 | -653.7517 | 4.8885 | 4.8828| 0.0156 | -0.0161+0.0039j | -653.7445-2.0945j
73000 | -2.2499 | -651.1525 | 4.8884 | 4.8828| 0.0156 | -0.0050+0.0021j | -651.1454-0.0053j
74000 | -2.2423 | -659.0764 | 4.8885 | 4.8828| 0.0156 | 0.0026+0.0003j | -659.0692+1.9950j
75000 | -2.2390 | -663.6536 | 4.8885 | 4.8828| 0.0156 | 0.0058-0.0053j | -663.6464-0.7972j
76000 | -2.2355 | -664.9316 | 4.8885 | 4.8828| 0.0156 | 0.0094-0.0052j | -664.9244+1.2388j
77000 | -2.2421 | -664.2323 | 4.8885 | 4.8828| 0.0156 | 0.0027-0.0162j | -664.2251+2.3731j
78000 | -2.2452 | -665.6889 | 4.8885 | 4.8828| 0.0156 | -0.0004-0.0177j | -665.6817-1.0334j
79000 | -2.2471 | -666.7811 | 4.8885 | 4.8828| 0.0156 | -0.0023-0.0167j | -666.7739-1.2106j
80000 | -2.2469 | -668.4748 | 4.8884 | 4.8828| 0.0156 | -0.0021-0.0173j | -668.4676+1.0186j
81000 | -2.2516 | -675.5696 | 4.8885 | 4.8828| 0.0156 | -0.0067-0.0115j | -675.5625-3.1318j
82000 | -2.2584 | -678.3043 | 4.8885 | 4.8828| 0.0156 | -0.0136-0.0134j | -678.2971-0.9587j
83000 | -2.2533 | -683.2560 | 4.8886 | 4.8828| 0.0156 | -0.0085-0.0101j | -683.2488-0.0299j
