# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -2.2542 | -37.7698 | 4.8831 | 4.8828| 0.0156 | -0.0093+0.0013j | -37.7626-0.0159j
2000 | -2.2542 | -72.3418 | 4.8832 | 4.8828| 0.0156 | -0.0094+0.0060j | -72.3346-0.8492j
3000 | -2.2616 | -106.0536 | 4.8836 | 4.8828| 0.0156 | -0.0168-0.0056j | -106.0464-0.1475j
4000 | -2.2642 | -137.6469 | 4.8839 | 4.8828| 0.0156 | -0.0194-0.0024j | -137.6397+0.0089j
5000 | -2.2647 | -165.5149 | 4.8840 | 4.8828| 0.0156 | -0.0198-0.0026j | -165.5077-1.8971j
6000 | -2.2662 | -193.8524 | 4.8844 | 4.8828| 0.0156 | -0.0214-0.0007j | -193.8452+0.7432j
7000 | -2.2733 | -215.4556 | 4.8842 | 4.8828| 0.0156 | -0.0285-0.0156j | -215.4484+0.6558j
8000 | -2.2733 | -237.0047 | 4.8847 | 4.8828| 0.0156 | -0.0285-0.0079j | -236.9975+1.1850j
9000 | -2.2644 | -258.8094 | 4.8848 | 4.8828| 0.0156 | -0.0195-0.0033j | -258.8023+1.3545j
10000 | -2.2618 | -275.0849 | 4.8848 | 4.8828| 0.0156 | -0.0170+0.0007j | -275.0778+2.7224j
11000 | -2.2628 | -295.8287 | 4.8850 | 4.8828| 0.0156 | -0.0180-0.0034j | -295.8215-3.1139j
12000 | -2.2637 | -311.3972 | 4.8851 | 4.8828| 0.0156 | -0.0189-0.0027j | -311.3901+0.4807j
13000 | -2.2699 | -330.1181 | 4.8853 | 4.8828| 0.0156 | -0.0250-0.0036j | -330.1109+2.3616j
14000 | -2.2618 | -341.3020 | 4.8853 | 4.8828| 0.0156 | -0.0170+0.0018j | -341.2948-2.0056j
15000 | -2.2571 | -358.6291 | 4.8856 | 4.8828| 0.0156 | -0.0122-0.0008j | -358.6220-0.0229j
16000 | -2.2519 | -373.4720 | 4.8857 | 4.8828| 0.0156 | -0.0070-0.0009j | -373.4648-2.9272j
17000 | -2.2446 | -386.0273 | 4.8857 | 4.8828| 0.0156 | 0.0002+0.0051j | -386.0201-0.0415j
18000 | -2.2477 | -401.9292 | 4.8860 | 4.8828| 0.0156 | -0.0029+0.0043j | -401.9220+0.8689j
19000 | -2.2483 | -410.9129 | 4.8859 | 4.8828| 0.0156 | -0.0035+0.0041j | -410.9057+2.5548j
20000 | -2.2487 | -416.5608 | 4.8859 | 4.8828| 0.0156 | -0.0039+0.0029j | -416.5536+2.9330j
21000 | -2.2492 | -428.4077 | 4.8862 | 4.8828| 0.0156 | -0.0044+0.0085j | -428.4005-2.5209j
22000 | -2.2547 | -438.4529 | 4.8864 | 4.8828| 0.0156 | -0.0099+0.0046j | -438.4457-2.8293j
23000 | -2.2569 | -443.4076 | 4.8862 | 4.8828| 0.0156 | -0.0121-0.0004j | -443.4004-2.1050j
24000 | -2.2510 | -455.4603 | 4.8864 | 4.8828| 0.0156 | -0.0062-0.0017j | -455.4531+0.5855j
25000 | -2.2563 | -461.6885 | 4.8861 | 4.8828| 0.0156 | -0.0115-0.0003j | -461.6814+0.8553j
26000 | -2.2612 | -473.6861 | 4.8863 | 4.8828| 0.0156 | -0.0164-0.0041j | -473.6789+1.7824j
27000 | -2.2616 | -484.5225 | 4.8864 | 4.8828| 0.0156 | -0.0168-0.0144j | -484.5154-0.0002j
28000 | -2.2572 | -490.2024 | 4.8865 | 4.8828| 0.0156 | -0.0124-0.0156j | -490.1952+2.9831j
29000 | -2.2536 | -500.0178 | 4.8867 | 4.8828| 0.0156 | -0.0088-0.0178j | -500.0106+1.3669j
30000 | -2.2580 | -508.8588 | 4.8868 | 4.8828| 0.0156 | -0.0131-0.0145j | -508.8516+1.4178j
31000 | -2.2606 | -514.2566 | 4.8871 | 4.8828| 0.0156 | -0.0158-0.0077j | -514.2495+0.9641j
32000 | -2.2480 | -522.8653 | 4.8871 | 4.8828| 0.0156 | -0.0031-0.0022j | -522.8581-1.1510j
