# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -0.2741 | -16.8612 | 3.3711 | 3.3359| 1.5625 | -1.2072-0.0006j | -167.8938-0.0553j
2000 | -0.3327 | -23.9399 | 3.3708 | 3.3359| 1.5625 | -1.7931-0.0504j | -238.6803+3.2769j
3000 | -0.3428 | -25.7577 | 3.3710 | 3.3359| 1.5625 | -1.8947-0.1375j | -256.8589+8.8770j
4000 | -0.3430 | -26.1700 | 3.3697 | 3.3359| 1.5625 | -1.8967-0.0114j | -260.9821+0.1872j
5000 | -0.3701 | -28.2466 | 3.3734 | 3.3359| 1.5625 | -2.1671+0.0318j | -281.7475-1.6109j
6000 | -0.3570 | -27.4452 | 3.3721 | 3.3359| 1.5625 | -2.0368+0.0578j | -273.7333-2.9884j
7000 | -0.3507 | -26.9289 | 3.3691 | 3.3359| 1.5625 | -1.9738+0.0222j | -268.5707-1.4343j
8000 | -0.3473 | -26.6711 | 3.3687 | 3.3359| 1.5625 | -1.9389-0.0703j | -265.9930+3.0445j
9000 | -0.3282 | -25.5420 | 3.3703 | 3.3359| 1.5625 | -1.7486-0.1709j | -254.7018+10.1890j
10000 | -0.3536 | -27.0949 | 3.3692 | 3.3359| 1.5625 | -2.0020+0.0768j | -270.2307-4.1884j
11000 | -0.3590 | -27.2813 | 3.3654 | 3.3359| 1.5625 | -2.0559-0.0404j | -272.0945+3.0155j
12000 | -0.3384 | -26.1084 | 3.3686 | 3.3359| 1.5625 | -1.8502+0.0147j | -260.3658-1.3956j
13000 | -0.3650 | -27.8041 | 3.3678 | 3.3359| 1.5625 | -2.1159-0.0405j | -277.3227+3.7362j
14000 | -0.3628 | -27.6776 | 3.3687 | 3.3359| 1.5625 | -2.0948-0.0135j | -276.0573+0.6676j
15000 | -0.3517 | -26.9505 | 3.3696 | 3.3359| 1.5625 | -1.9836-0.0013j | -268.7869-0.8813j
16000 | -0.3397 | -26.0354 | 3.3663 | 3.3359| 1.5625 | -1.8632+0.1059j | -259.6355-7.0723j
17000 | -0.3373 | -26.0773 | 3.3691 | 3.3359| 1.5625 | -1.8392+0.0614j | -260.0547-3.4884j
18000 | -0.3641 | -27.8518 | 3.3711 | 3.3359| 1.5625 | -2.1072-0.1642j | -277.7992+10.6010j
19000 | -0.3515 | -27.0040 | 3.3699 | 3.3359| 1.5625 | -1.9816-0.0020j | -269.3219-1.2477j
20000 | -0.3568 | -27.4602 | 3.3724 | 3.3359| 1.5625 | -2.0341-0.1832j | -273.8836+11.9720j
21000 | -0.3459 | -26.8851 | 3.3758 | 3.3359| 1.5625 | -1.9249-0.0021j | -268.1327+0.4680j
22000 | -0.3479 | -26.7401 | 3.3698 | 3.3359| 1.5625 | -1.9450+0.1265j | -266.6826-8.7326j
23000 | -0.3684 | -28.0823 | 3.3700 | 3.3359| 1.5625 | -2.1500+0.0764j | -280.1042-4.2991j
24000 | -0.3494 | -26.9142 | 3.3708 | 3.3359| 1.5625 | -1.9599+0.0820j | -268.4239-5.9866j
25000 | -0.3315 | -25.9420 | 3.3741 | 3.3359| 1.5625 | -1.7814+0.0950j | -258.7014-5.9946j
26000 | -0.3447 | -26.7182 | 3.3737 | 3.3359| 1.5625 | -1.9133+0.0023j | -266.4640-1.9420j
27000 | -0.3685 | -28.0351 | 3.3691 | 3.3359| 1.5625 | -2.1513-0.0884j | -279.6327+4.4392j
28000 | -0.3749 | -28.6167 | 3.3732 | 3.3359| 1.5625 | -2.2157-0.0866j | -285.4482+5.0083j
29000 | -0.3563 | -27.5735 | 3.3765 | 3.3359| 1.5625 | -2.0296+0.0696j | -275.0164-2.5528j
30000 | -0.3221 | -25.1502 | 3.3712 | 3.3359| 1.5625 | -1.6869+0.1390j | -250.7832-8.5722j
31000 | -0.3423 | -26.4108 | 3.3698 | 3.3359| 1.5625 | -1.8891-0.0824j | -263.3900+5.2996j
32000 | -0.3397 | -26.3453 | 3.3725 | 3.3359| 1.5625 | -1.8632+0.2013j | -262.7347-15.0250j
33000 | -0.3395 | -26.3420 | 3.3722 | 3.3359| 1.5625 | -1.8617-0.1148j | -262.7014+7.9280j
34000 | -0.3162 | -24.7772 | 3.3705 | 3.3359| 1.5625 | -1.6286-0.1700j | -247.0534+11.1925j
35000 | -0.3375 | -26.0554 | 3.3689 | 3.3359| 1.5625 | -1.8418+0.2886j | -259.8360-18.7589j
36000 | -0.3361 | -26.0712 | 3.3708 | 3.3359| 1.5625 | -1.8271+0.1237j | -259.9938-7.5804j
37000 | -0.3321 | -25.9374 | 3.3737 | 3.3359| 1.5625 | -1.7872+0.1959j | -258.6553-12.8419j
38000 | -0.3615 | -27.7246 | 3.3719 | 3.3359| 1.5625 | -2.0817+0.1049j | -276.5275-7.4635j
39000 | -0.3588 | -27.5206 | 3.3709 | 3.3359| 1.5625 | -2.0545-0.0337j | -274.4877+2.3541j
40000 | -0.3536 | -27.1419 | 3.3699 | 3.3359| 1.5625 | -2.0021-0.0118j | -270.7005+1.3373j
41000 | -0.3553 | -27.1555 | 3.3685 | 3.3359| 1.5625 | -2.0193+0.0609j | -270.8366-5.2587j
42000 | -0.3514 | -27.1092 | 3.3717 | 3.3359| 1.5625 | -1.9800+0.0791j | -270.3741-4.9644j
43000 | -0.3579 | -27.2966 | 3.3674 | 3.3359| 1.5625 | -2.0455-0.0124j | -272.2472-0.0923j
44000 | -0.3643 | -27.7819 | 3.3694 | 3.3359| 1.5625 | -2.1094-0.1784j | -277.1005+10.7373j
45000 | -0.3609 | -27.8658 | 3.3757 | 3.3359| 1.5625 | -2.0757-0.1852j | -277.9398+11.9301j
46000 | -0.3620 | -27.7321 | 3.3709 | 3.3359| 1.5625 | -2.0860-0.1049j | -276.6030+7.6207j
47000 | -0.3626 | -27.6706 | 3.3694 | 3.3359| 1.5625 | -2.0920+0.0720j | -275.9872-2.8743j
48000 | -0.3539 | -27.2976 | 3.3753 | 3.3359| 1.5625 | -2.0053-0.0420j | -272.2579+5.4470j
49000 | -0.3488 | -26.7051 | 3.3682 | 3.3359| 1.5625 | -1.9545+0.1150j | -266.3322-7.5328j
50000 | -0.3498 | -26.9809 | 3.3726 | 3.3359| 1.5625 | -1.9643+0.1162j | -269.0911-8.9206j
51000 | -0.3343 | -26.0450 | 3.3730 | 3.3359| 1.5625 | -1.8089+0.3149j | -259.7313-17.9743j
52000 | -0.3606 | -27.7782 | 3.3752 | 3.3359| 1.5625 | -2.0720+0.0872j | -277.0636-4.2237j
53000 | -0.3471 | -26.8251 | 3.3724 | 3.3359| 1.5625 | -1.9371+0.1177j | -267.5329-6.7935j
54000 | -0.3534 | -27.1622 | 3.3702 | 3.3359| 1.5625 | -2.0007+0.2472j | -270.9037-18.0879j
55000 | -0.3323 | -25.7558 | 3.3693 | 3.3359| 1.5625 | -1.7893+0.0172j | -256.8392-3.0330j
56000 | -0.3567 | -27.4492 | 3.3728 | 3.3359| 1.5625 | -2.0334+0.0961j | -273.7736-6.3803j
57000 | -0.3541 | -27.1982 | 3.3709 | 3.3359| 1.5625 | -2.0074-0.0790j | -271.2637+5.6872j
58000 | -0.3232 | -25.1862 | 3.3701 | 3.3359| 1.5625 | -1.6980+0.0806j | -251.1435-4.8373j
59000 | -0.3217 | -25.1790 | 3.3727 | 3.3359| 1.5625 | -1.6835+0.1240j | -251.0721-8.3154j
60000 | -0.3176 | -24.7382 | 3.3683 | 3.3359| 1.5625 | -1.6422-0.0631j | -246.6641+5.1396j
61000 | -0.3446 | -26.7315 | 3.3733 | 3.3359| 1.5625 | -1.9125+0.0508j | -266.5969-3.1038j
62000 | -0.3761 | -28.8581 | 3.3759 | 3.3359| 1.5625 | -2.2278+0.0407j | -287.8622-2.3235j
63000 | -0.3587 | -27.6085 | 3.3741 | 3.3359| 1.5625 | -2.0529-0.0009j | -275.3665+2.3721j
64000 | -0.3463 | -26.5760 | 3.3689 | 3.3359| 1.5625 | -1.9297-0.0674j | -265.0416+3.4439j
65000 | -0.3474 | -26.7614 | 3.3709 | 3.3359| 1.5625 | -1.9402-0.0043j | -266.8959-0.9596j
66000 | -0.3674 | -27.8475 | 3.3669 | 3.3359| 1.5625 | -2.1399-0.3010j | -277.7565+19.5821j
67000 | -0.3387 | -26.2069 | 3.3700 | 3.3359| 1.5625 | -1.8538-0.2252j | -261.3503+14.3526j
68000 | -0.3469 | -26.7823 | 3.3711 | 3.3359| 1.5625 | -1.9355-0.1535j | -267.1049+9.1520j
69000 | -0.3412 | -26.3745 | 3.3706 | 3.3359| 1.5625 | -1.8786-0.1202j | -263.0267+7.7925j
70000 | -0.3370 | -26.1436 | 3.3707 | 3.3359| 1.5625 | -1.8367-0.1112j | -260.7181+6.9513j
71000 | -0.3520 | -27.0955 | 3.3715 | 3.3359| 1.5625 | -1.9864-0.0030j | -270.2367+0.5126j
72000 | -0.3669 | -27.8425 | 3.3669 | 3.3359| 1.5625 | -2.1355+0.1015j | -277.7071-4.0506j
73000 | -0.3539 | -27.2147 | 3.3717 | 3.3359| 1.5625 | -2.0053+0.1883j | -271.4289-10.7618j
74000 | -0.3425 | -26.5028 | 3.3727 | 3.3359| 1.5625 | -1.8908-0.0432j | -264.3094+3.4443j
75000 | -0.3399 | -26.3084 | 3.3713 | 3.3359| 1.5625 | -1.8649+0.0782j | -262.3654-5.7523j
76000 | -0.3399 | -26.2893 | 3.3714 | 3.3359| 1.5625 | -1.8655-0.0630j | -262.1751+4.8324j
77000 | -0.3513 | -26.9844 | 3.3700 | 3.3359| 1.5625 | -1.9797+0.3113j | -269.1254-20.9213j
78000 | -0.3566 | -27.2170 | 3.3675 | 3.3359| 1.5625 | -2.0322+0.0999j | -271.4513-8.3382j
79000 | -0.3527 | -27.0630 | 3.3691 | 3.3359| 1.5625 | -1.9935+0.1457j | -269.9117-9.9833j
80000 | -0.3585 | -27.4777 | 3.3707 | 3.3359| 1.5625 | -2.0512-0.1414j | -274.0583+8.0985j
81000 | -0.3411 | -26.2900 | 3.3696 | 3.3359| 1.5625 | -1.8769+0.0409j | -262.1820-2.0480j
82000 | -0.3570 | -27.3633 | 3.3698 | 3.3359| 1.5625 | -2.0360-0.0986j | -272.9144+6.7636j
83000 | -0.3408 | -26.3372 | 3.3710 | 3.3359| 1.5625 | -1.8740-0.0978j | -262.6539+3.7787j
84000 | -0.3452 | -26.5702 | 3.3696 | 3.3359| 1.5625 | -1.9181-0.1724j | -264.9835+10.7695j
85000 | -0.3435 | -26.5538 | 3.3709 | 3.3359| 1.5625 | -1.9011-0.0862j | -264.8199+5.1949j
86000 | -0.3679 | -28.2877 | 3.3759 | 3.3359| 1.5625 | -2.1451+0.0335j | -282.1586-1.5599j
87000 | -0.3516 | -27.2116 | 3.3742 | 3.3359| 1.5625 | -1.9823-0.1186j | -271.3980+6.7165j
88000 | -0.3376 | -26.1536 | 3.3716 | 3.3359| 1.5625 | -1.8420-0.2642j | -260.8173+16.1053j
89000 | -0.3581 | -27.4502 | 3.3716 | 3.3359| 1.5625 | -2.0472-0.1527j | -273.7839+9.4432j
90000 | -0.3375 | -26.1078 | 3.3700 | 3.3359| 1.5625 | -1.8411+0.1470j | -260.3593-10.6662j
91000 | -0.3570 | -27.4205 | 3.3719 | 3.3359| 1.5625 | -2.0367+0.2145j | -273.4869-14.8139j
92000 | -0.3562 | -27.4108 | 3.3731 | 3.3359| 1.5625 | -2.0283+0.0600j | -273.3895-2.4862j
93000 | -0.3613 | -27.6704 | 3.3708 | 3.3359| 1.5625 | -2.0789+0.0124j | -275.9856-1.1860j
94000 | -0.3646 | -28.0437 | 3.3741 | 3.3359| 1.5625 | -2.1125-0.0545j | -279.7183+5.3219j
95000 | -0.3513 | -26.9136 | 3.3679 | 3.3359| 1.5625 | -1.9797-0.0775j | -268.4176+3.7155j
96000 | -0.3728 | -28.4834 | 3.3730 | 3.3359| 1.5625 | -2.1946+0.0514j | -284.1159-3.3152j
97000 | -0.3629 | -27.6190 | 3.3684 | 3.3359| 1.5625 | -2.0956-0.1003j | -275.4713+6.3915j
98000 | -0.3585 | -27.2616 | 3.3658 | 3.3359| 1.5625 | -2.0516-0.0152j | -271.8975+1.1542j
99000 | -0.3579 | -27.2832 | 3.3676 | 3.3359| 1.5625 | -2.0452+0.0531j | -272.1137-2.3407j
100000 | -0.3452 | -26.6620 | 3.3716 | 3.3359| 1.5625 | -1.9188-0.1359j | -265.9012+10.5290j
