# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -0.4639 | -21.6286 | 3.3666 | 3.3359| 1.5625 | -0.7857-0.0076j | -107.4249+3.0026j
2000 | -0.5658 | -35.5374 | 3.3829 | 3.3359| 1.5625 | -1.2953-0.0261j | -176.9686+3.9529j
3000 | -0.6205 | -43.9687 | 3.4180 | 3.3359| 1.5625 | -1.5690-0.0260j | -219.1251+6.7970j
4000 | -0.7435 | -61.5184 | 3.6021 | 3.3359| 1.5625 | -2.1839+0.2169j | -306.8737+13.1450j
5000 | -1.6742 | -219.2443 | 4.5229 | 3.3359| 1.5625 | -6.8371+6.8242j | -1095.5030-13.1419j
