# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 -5.70 0.00 0.02 -10.03+1.00j
2000 -65.69 0.00 0.02 -40.03-1.34j
3000 -132.86 -0.00 0.02 -73.61+1.42j
4000 -200.74 -0.00 0.02 -107.55-1.50j
5000 -250.64 -0.00 0.02 -132.50+0.88j
6000 -299.21 -0.00 0.02 -156.79-1.22j
7000 -354.95 -0.00 0.02 -184.66+1.26j
8000 -406.79 -0.00 0.02 -210.58-1.32j
9000 -448.92 -0.00 0.02 -231.64+0.92j
10000 -497.27 -0.01 0.02 -255.82+0.78j
11000 -535.68 -0.01 0.02 -275.02+0.67j
12000 -579.72 -0.01 0.02 -297.04+0.87j
13000 -619.70 -0.01 0.02 -317.03+0.77j
14000 -647.78 -0.01 0.02 -331.08+0.79j
100000 14.68 0.01 0.02 0.16-1.57j
101000 -21.83 0.01 0.02 -18.10+1.40j
102000 -83.03 0.01 0.02 -48.70+1.47j
103000 -132.84 0.01 0.02 -73.60+1.46j
104000 -189.53 0.01 0.02 -101.95+1.48j
105000 -244.31 0.01 0.02 -129.34+1.56j
106000 -298.88 0.01 0.02 -156.62+1.57j
107000 -357.31 0.00 0.02 -185.84-1.42j
108000 -406.24 0.00 0.02 -210.31-1.33j
109000 -456.24 0.00 0.02 -235.30-1.27j
110000 -521.87 0.00 0.02 -268.12-1.36j
111000 -570.64 0.00 0.02 -292.50-1.33j
112000 -605.87 0.00 0.02 -310.12-1.29j
113000 -636.12 0.00 0.02 -325.24-1.33j
