# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | 0.7749 | 58.6347 | 3.7482 | 1.6680| 1.6680 | 1.5625 | 92.8279+0.8838j | 5870.6530+38.6996j
2000 | 0.7839 | 59.3016 | 3.7862 | 1.6680| 1.6680 | 1.5625 | 93.7276-1.0196j | 5937.3452-62.3041j
3000 | 0.7758 | 58.2031 | 3.7242 | 1.6680| 1.6680 | 1.5625 | 92.9206-0.9882j | 5827.4917-70.1485j
4000 | 0.7848 | 59.1406 | 3.7787 | 1.6680| 1.6680 | 1.5625 | 93.8160+2.2546j | 5921.2407+142.7463j
5000 | 0.7917 | 58.9626 | 3.7814 | 1.6680| 1.6680 | 1.5625 | 94.5113+0.5287j | 5903.4421+16.5286j
6000 | 0.7751 | 59.8122 | 3.7968 | 1.6680| 1.6680 | 1.5625 | 92.8447+0.4708j | 5988.4058+39.6109j
7000 | 0.7817 | 59.8638 | 3.8096 | 1.6680| 1.6680 | 1.5625 | 93.5080-0.5505j | 5993.5626-33.0013j
8000 | 0.7762 | 58.2416 | 3.7306 | 1.6680| 1.6680 | 1.5625 | 92.9564+1.1670j | 5831.3434+58.4485j
9000 | 0.7668 | 58.2383 | 3.7156 | 1.6680| 1.6680 | 1.5625 | 92.0121+1.4550j | 5831.0111+85.2851j
10000 | 0.7855 | 59.4046 | 3.8054 | 1.6680| 1.6680 | 1.5625 | 93.8825+2.4219j | 5947.6406+149.7578j
11000 | 0.7750 | 59.5481 | 3.7802 | 1.6680| 1.6680 | 1.5625 | 92.8364+1.7317j | 5961.9950+119.0590j
12000 | 0.7777 | 58.5322 | 3.7470 | 1.6680| 1.6680 | 1.5625 | 93.1079-2.4897j | 5860.4054-145.5532j
13000 | 0.7800 | 59.6978 | 3.7938 | 1.6680| 1.6680 | 1.5625 | 93.3397+1.8648j | 5976.9603+98.3979j
14000 | 0.7590 | 58.7912 | 3.7217 | 1.6680| 1.6680 | 1.5625 | 91.2401-0.5635j | 5886.3036-43.4209j
15000 | 0.7619 | 59.0707 | 3.7364 | 1.6680| 1.6680 | 1.5625 | 91.5276-0.0146j | 5914.2519+2.4777j
16000 | 0.7820 | 60.8473 | 3.8509 | 1.6680| 1.6680 | 1.5625 | 93.5393+0.1526j | 6091.9114+5.0803j
17000 | 0.7834 | 58.2789 | 3.7346 | 1.6680| 1.6680 | 1.5625 | 93.6784-2.1587j | 5835.0718-135.4733j
18000 | 0.7757 | 60.1937 | 3.8132 | 1.6680| 1.6680 | 1.5625 | 92.9024-0.4169j | 6026.5541-15.2508j
19000 | 0.7974 | 59.7583 | 3.8327 | 1.6680| 1.6680 | 1.5625 | 95.0777+1.7373j | 5983.0156+96.8648j
