# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 64.79 0.01 0.02 6486.31-16.47j
2000 64.90 0.01 0.02 6496.83-92.91j
3000 64.25 0.01 0.02 6432.60+16.57j
4000 64.35 0.01 0.02 6442.46+75.21j
5000 63.95 0.01 0.02 6402.17+200.58j
6000 63.91 0.01 0.02 6398.14-126.89j
7000 63.71 0.01 0.02 6378.32+85.23j
8000 63.84 0.01 0.02 6390.91-19.57j
9000 63.18 0.01 0.02 6325.38-129.98j
10000 63.17 0.01 0.02 6324.14+131.67j
11000 63.09 0.01 0.02 6315.97-135.12j
12000 63.62 0.01 0.02 6369.02-156.57j
13000 64.94 0.01 0.02 6501.03+297.40j
14000 64.47 0.01 0.02 6453.82+176.36j
15000 63.56 0.01 0.02 6362.69-252.85j
16000 63.57 0.01 0.02 6364.29-297.84j
17000 63.04 0.01 0.02 6311.41-271.91j
18000 64.70 0.01 0.02 6477.60-210.61j
19000 63.84 0.01 0.02 6391.61+145.96j
20000 64.30 0.01 0.02 6436.87+260.52j
21000 64.71 0.01 0.02 6478.02+304.93j
22000 65.91 0.01 0.02 6598.18+302.46j
23000 64.43 0.01 0.02 6450.21+300.19j
24000 64.15 0.01 0.02 6422.05-210.95j
25000 64.40 0.01 0.02 6447.02-264.55j
26000 63.15 0.01 0.02 6322.13-77.36j
27000 64.13 0.01 0.02 6419.72-4.14j
28000 64.42 0.01 0.02 6448.73+72.81j
29000 64.09 0.01 0.02 6416.62-39.97j
30000 63.80 0.01 0.02 6387.38-196.36j
31000 63.90 0.01 0.02 6397.25-176.98j
32000 62.94 0.01 0.02 6300.97-142.61j
33000 64.01 0.01 0.02 6407.69-307.64j
34000 64.17 0.01 0.02 6424.66-266.76j
35000 63.05 0.01 0.02 6312.07+4.93j
36000 65.04 0.01 0.02 6510.73+272.78j
37000 65.25 0.01 0.02 6532.44+190.55j
38000 63.75 0.01 0.02 6382.52+279.99j
39000 64.49 0.01 0.02 6455.85-188.75j
40000 63.95 0.01 0.02 6401.76-62.16j
41000 63.82 0.01 0.02 6389.64+181.11j
42000 63.82 0.01 0.02 6389.66-44.42j
43000 63.23 0.01 0.02 6329.86-163.48j
44000 63.44 0.01 0.02 6351.26-290.66j
45000 64.36 0.01 0.02 6443.13+139.68j
46000 64.34 0.01 0.02 6441.45+69.20j
47000 64.08 0.01 0.02 6415.56+192.64j
48000 65.12 0.01 0.02 6519.30+161.89j
49000 64.18 0.01 0.02 6425.10-135.27j
50000 63.32 0.01 0.02 6338.71+72.95j
51000 63.97 0.01 0.02 6404.31-272.34j
52000 64.39 0.01 0.02 6446.13+28.86j
53000 62.67 0.01 0.02 6274.27+36.14j
54000 63.80 0.01 0.02 6387.66-229.25j
55000 63.58 0.01 0.02 6365.23-311.48j
56000 64.08 0.01 0.02 6415.08-121.45j
57000 64.17 0.01 0.02 6424.09+217.29j
58000 64.66 0.01 0.02 6473.22+152.83j
59000 63.59 0.01 0.02 6366.52+197.25j
60000 63.39 0.01 0.02 6345.75+239.18j
61000 62.49 0.01 0.02 6255.81-62.87j
62000 63.26 0.01 0.02 6333.41+17.86j
63000 64.06 0.01 0.02 6412.81-290.81j
64000 66.35 0.01 0.02 6642.13-17.17j
65000 63.79 0.01 0.02 6386.02-186.24j
66000 64.32 0.01 0.02 6439.00+129.91j
67000 64.96 0.01 0.02 6503.41+198.28j
68000 64.50 0.01 0.02 6456.78-205.47j
69000 63.64 0.01 0.02 6371.37+129.78j
70000 64.64 0.01 0.02 6471.26-78.31j
71000 64.02 0.01 0.02 6409.58+164.01j
72000 65.25 0.01 0.02 6531.83+249.77j
73000 64.10 0.01 0.02 6417.22+264.12j
74000 64.70 0.01 0.02 6477.16+215.66j
75000 63.71 0.01 0.02 6378.38+38.97j
76000 64.01 0.01 0.02 6408.52+104.52j
77000 63.93 0.01 0.02 6400.16+15.81j
78000 64.11 0.01 0.02 6418.29+155.23j
79000 63.63 0.01 0.02 6370.54+300.12j
80000 64.92 0.01 0.02 6499.00+147.97j
81000 63.44 0.01 0.02 6351.52-189.13j
82000 63.81 0.01 0.02 6388.48-55.70j
83000 63.63 0.01 0.02 6369.96+93.47j
84000 64.03 0.01 0.02 6410.11+120.36j
85000 64.23 0.01 0.02 6430.38+240.95j
86000 62.89 0.01 0.02 6295.86-124.06j
87000 63.47 0.01 0.02 6354.34+144.90j
88000 64.44 0.01 0.02 6451.38-97.22j
89000 64.27 0.01 0.02 6434.38+218.13j
90000 63.31 0.01 0.02 6338.50-118.89j
91000 64.52 0.01 0.02 6459.61+128.85j
92000 65.61 0.01 0.02 6568.24+110.38j
93000 64.25 0.01 0.02 6432.68-175.86j
94000 63.51 0.01 0.02 6357.68-17.92j
95000 64.37 0.01 0.02 6443.93-33.60j
96000 64.51 0.01 0.02 6458.27+302.99j
97000 64.02 0.01 0.02 6409.01-188.74j
98000 64.18 0.01 0.02 6425.65+183.53j
99000 63.70 0.01 0.02 6377.60-131.28j
100000 64.93 0.01 0.02 6500.48-124.21j
101000 64.02 0.01 0.02 6409.03+179.64j
102000 64.72 0.01 0.02 6478.93+290.80j
103000 63.62 0.01 0.02 6368.85-147.80j
104000 63.71 0.01 0.02 6378.19-274.91j
105000 63.66 0.01 0.02 6372.97-211.36j
106000 64.75 0.01 0.02 6482.63+98.75j
107000 64.50 0.01 0.02 6456.78+262.33j
108000 64.23 0.01 0.02 6430.55-287.68j
109000 65.13 0.01 0.02 6519.85+284.18j
110000 63.37 0.01 0.02 6344.13+26.32j
111000 64.48 0.01 0.02 6455.12+157.50j
112000 65.26 0.01 0.02 6533.29+138.33j
113000 64.08 0.01 0.02 6415.03-23.65j
114000 64.46 0.01 0.02 6453.34-142.15j
115000 63.29 0.01 0.02 6336.55+138.77j
116000 64.23 0.01 0.02 6429.78-36.80j
117000 63.89 0.01 0.02 6395.81+119.89j
118000 64.47 0.01 0.02 6454.66-132.19j
119000 64.48 0.01 0.02 6455.54-131.32j
120000 63.93 0.01 0.02 6399.78-249.24j
121000 64.14 0.01 0.02 6421.56-301.30j
122000 64.27 0.01 0.02 6434.04+18.10j
123000 64.51 0.01 0.02 6457.97-212.39j
124000 65.16 0.01 0.02 6523.63-205.83j
125000 64.20 0.01 0.02 6427.57-227.30j
126000 63.47 0.01 0.02 6353.74+22.86j
127000 63.55 0.01 0.02 6361.84-106.22j
128000 64.78 0.01 0.02 6484.97+273.85j
129000 63.75 0.01 0.02 6381.71-33.46j
130000 63.61 0.01 0.02 6367.97-263.42j
131000 64.06 0.01 0.02 6413.39+227.91j
132000 63.88 0.01 0.02 6395.25-213.86j
133000 63.99 0.01 0.02 6406.65-130.02j
134000 64.41 0.01 0.02 6448.36-306.85j
135000 64.58 0.01 0.02 6465.30+147.54j
136000 63.80 0.01 0.02 6386.89+22.13j
137000 64.10 0.01 0.02 6417.18-107.69j
138000 63.95 0.01 0.02 6402.52+254.70j
139000 64.17 0.01 0.02 6424.36+1.70j
140000 63.63 0.01 0.02 6370.33-155.03j
141000 64.54 0.01 0.02 6460.79-252.96j
142000 62.35 0.01 0.02 6241.87-238.36j
143000 65.48 0.01 0.02 6554.86+206.24j
144000 64.07 0.01 0.02 6414.23+274.52j
145000 63.26 0.01 0.02 6333.50+121.01j
146000 63.26 0.01 0.02 6333.16+14.22j
147000 63.36 0.01 0.02 6343.56+29.42j
148000 65.12 0.01 0.02 6519.11+247.17j
149000 63.65 0.01 0.02 6372.21+19.23j
150000 64.58 0.01 0.02 6465.50-153.00j
151000 63.91 0.01 0.02 6398.67+78.68j
152000 63.59 0.01 0.02 6366.61-131.65j
153000 63.06 0.01 0.02 6313.13+48.34j
154000 64.14 0.01 0.02 6421.66+237.79j
155000 65.22 0.01 0.02 6529.46+248.18j
156000 64.30 0.01 0.02 6437.67+76.11j
157000 64.79 0.01 0.02 6485.75+14.83j
158000 63.90 0.01 0.02 6396.78-210.68j
159000 63.64 0.01 0.02 6371.43+212.99j
160000 63.87 0.01 0.02 6394.13+28.57j
161000 64.13 0.01 0.02 6420.14-137.45j
162000 63.72 0.01 0.02 6378.74+245.29j
163000 65.50 0.01 0.02 6556.74-139.84j
164000 64.47 0.01 0.02 6454.59+310.71j
165000 63.59 0.01 0.02 6366.12+300.95j
166000 64.64 0.01 0.02 6471.57-95.06j
167000 64.62 0.01 0.02 6468.84+140.03j
168000 63.82 0.01 0.02 6388.93+241.52j
169000 65.27 0.01 0.02 6534.60-75.21j
170000 65.26 0.01 0.02 6532.90-189.20j
171000 64.20 0.01 0.02 6426.71-266.38j
172000 64.90 0.01 0.02 6496.75+276.26j
173000 64.52 0.01 0.02 6459.51-193.91j
174000 65.52 0.01 0.02 6558.94-51.92j
175000 63.73 0.01 0.02 6380.25-33.85j
176000 63.91 0.01 0.02 6398.18+184.09j
177000 64.12 0.01 0.02 6419.51+223.96j
178000 63.57 0.01 0.02 6364.18+128.51j
179000 64.89 0.01 0.02 6496.12+146.54j
180000 63.66 0.01 0.02 6373.54+296.38j
181000 64.67 0.01 0.02 6473.77-85.24j
182000 63.41 0.01 0.02 6347.91+308.82j
183000 64.74 0.01 0.02 6481.10-305.33j
184000 63.45 0.01 0.02 6351.75-22.27j
185000 65.30 0.01 0.02 6537.64-300.30j
186000 64.09 0.01 0.02 6416.15-243.68j
187000 64.72 0.01 0.02 6478.75-168.74j
188000 64.33 0.01 0.02 6440.51-26.48j
189000 64.20 0.01 0.02 6426.86-26.67j
190000 63.43 0.01 0.02 6349.76+143.63j
191000 64.18 0.01 0.02 6425.04-201.58j
192000 64.05 0.01 0.02 6412.21+298.15j
193000 64.18 0.01 0.02 6425.04+271.21j
194000 64.05 0.01 0.02 6412.15-111.70j
195000 64.06 0.01 0.02 6413.65-50.62j
196000 64.02 0.01 0.02 6409.47-140.48j
197000 64.29 0.01 0.02 6436.33+290.28j
198000 64.38 0.01 0.02 6444.78-168.26j
199000 63.56 0.01 0.02 6362.99+181.84j
