# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -153.1032 | -54.3718 | 2.1263 | 1.6680| 1.6680 | 1.5625 | 0.0264+0.0002j | 1.7463+0.0070j
2000 | -152.8374 | -37.4646 | 2.5539 | 1.6680| 1.6680 | 1.5625 | 0.0530+0.0004j | 3.4370+0.0214j
3000 | -152.5760 | -20.3340 | 2.9813 | 1.6680| 1.6680 | 1.5625 | 0.0791+0.0003j | 5.1501+0.0023j
4000 | -152.3215 | -3.3362 | 3.4015 | 1.6680| 1.6680 | 1.5625 | 0.1046+0.0004j | 6.8499+0.0127j
5000 | -152.0630 | 13.4021 | 3.8240 | 1.6680| 1.6680 | 1.5625 | 0.1304+0.0003j | 8.5237+0.0093j
6000 | -151.8167 | 30.0651 | 4.2339 | 1.6680| 1.6680 | 1.5625 | 0.1551+0.0000j | 10.1900-0.0138j
7000 | -151.5669 | 46.9678 | 4.6504 | 1.6680| 1.6680 | 1.5625 | 0.1800+0.0000j | 11.8803+0.0006j
8000 | -151.3200 | 63.2463 | 5.0629 | 1.6680| 1.6680 | 1.5625 | 0.2047-0.0003j | 13.5081-0.0297j
9000 | -151.0690 | 79.5402 | 5.4697 | 1.6680| 1.6680 | 1.5625 | 0.2298-0.0006j | 15.1375-0.0355j
10000 | -150.8227 | 95.7643 | 5.8778 | 1.6680| 1.6680 | 1.5625 | 0.2545-0.0012j | 16.7599-0.0772j
11000 | -150.5796 | 111.6566 | 6.2713 | 1.6680| 1.6680 | 1.5625 | 0.2788-0.0015j | 18.3491-0.0914j
12000 | -150.3376 | 127.5310 | 6.6590 | 1.6680| 1.6680 | 1.5625 | 0.3030-0.0018j | 19.9366-0.1432j
13000 | -150.0952 | 142.5145 | 7.0897 | 1.6680| 1.6680 | 1.5625 | 0.3272-0.0022j | 21.4349-0.1683j
14000 | -149.8571 | 156.9510 | 7.4498 | 1.6680| 1.6680 | 1.5625 | 0.3510-0.0023j | 22.8786-0.2219j
15000 | -149.6202 | 171.2330 | 7.8299 | 1.6680| 1.6680 | 1.5625 | 0.3747-0.0022j | 24.3068-0.2758j
16000 | -149.3886 | 184.7032 | 8.2075 | 1.6680| 1.6680 | 1.5625 | 0.3979-0.0025j | 25.6538+0.2795j
17000 | -149.1627 | 198.4043 | 8.6084 | 1.6680| 1.6680 | 1.5625 | 0.4205-0.0025j | 27.0239+0.2393j
18000 | -148.9362 | 211.3141 | 8.8973 | 1.6680| 1.6680 | 1.5625 | 0.4431-0.0023j | 28.3149+0.2371j
19000 | -148.7134 | 224.2389 | 9.2196 | 1.6680| 1.6680 | 1.5625 | 0.4654-0.0025j | 29.6074+0.2357j
20000 | -148.4988 | 236.5193 | 9.5816 | 1.6680| 1.6680 | 1.5625 | 0.4869-0.0025j | 30.8354+0.1718j
21000 | -148.2855 | 248.8720 | 9.9331 | 1.6680| 1.6680 | 1.5625 | 0.5082-0.0022j | 32.0707+0.1869j
22000 | -148.0733 | 260.4663 | 10.3013 | 1.6680| 1.6680 | 1.5625 | 0.5294-0.0025j | 33.2301+0.2128j
23000 | -147.8569 | 271.9898 | 10.6075 | 1.6680| 1.6680 | 1.5625 | 0.5510-0.0022j | 34.3825+0.2152j
24000 | -147.6481 | 283.5542 | 10.8371 | 1.6680| 1.6680 | 1.5625 | 0.5719-0.0025j | 35.5389+0.2528j
25000 | -147.4392 | 294.5992 | 11.1544 | 1.6680| 1.6680 | 1.5625 | 0.5928-0.0029j | 36.6434+0.2788j
26000 | -147.2413 | 306.0337 | 11.4627 | 1.6680| 1.6680 | 1.5625 | 0.6126-0.0029j | 37.7869+0.2553j
27000 | -147.0423 | 316.5447 | 11.7943 | 1.6680| 1.6680 | 1.5625 | 0.6325-0.0028j | 38.8380+0.2328j
28000 | -146.8461 | 327.8694 | 12.0658 | 1.6680| 1.6680 | 1.5625 | 0.6521-0.0030j | 39.9704+0.2483j
29000 | -146.6523 | 339.4642 | 12.4131 | 1.6680| 1.6680 | 1.5625 | 0.6715-0.0032j | 41.1299+0.2407j
30000 | -146.4654 | 350.9238 | 12.6915 | 1.6680| 1.6680 | 1.5625 | 0.6902-0.0027j | 42.2759-0.2895j
31000 | -146.2767 | 362.2286 | 12.9457 | 1.6680| 1.6680 | 1.5625 | 0.7091-0.0027j | 43.4063-0.2476j
32000 | -146.0848 | 373.5135 | 13.3089 | 1.6680| 1.6680 | 1.5625 | 0.7283-0.0027j | 44.5348-0.2467j
33000 | -145.9014 | 384.7461 | 13.5895 | 1.6680| 1.6680 | 1.5625 | 0.7466-0.0029j | 45.6581-0.2597j
34000 | -145.7166 | 396.1280 | 13.9185 | 1.6680| 1.6680 | 1.5625 | 0.7651-0.0030j | 46.7963-0.2262j
35000 | -145.5377 | 408.0176 | 14.2177 | 1.6680| 1.6680 | 1.5625 | 0.7830-0.0028j | 47.9852-0.1867j
36000 | -145.3599 | 418.6049 | 14.4958 | 1.6680| 1.6680 | 1.5625 | 0.8008-0.0025j | 49.0440-0.1651j
37000 | -145.1822 | 430.4043 | 14.7925 | 1.6680| 1.6680 | 1.5625 | 0.8185-0.0026j | 50.2239-0.1276j
38000 | -145.0021 | 441.1739 | 15.0099 | 1.6680| 1.6680 | 1.5625 | 0.8365-0.0030j | 51.3009-0.1219j
39000 | -144.8245 | 452.0089 | 15.3352 | 1.6680| 1.6680 | 1.5625 | 0.8543-0.0028j | 52.3844-0.1019j
40000 | -144.6500 | 462.3344 | 15.6404 | 1.6680| 1.6680 | 1.5625 | 0.8717-0.0028j | 53.4169-0.0232j
41000 | -144.4795 | 473.7568 | 15.8600 | 1.6680| 1.6680 | 1.5625 | 0.8888-0.0027j | 54.5592-0.0172j
42000 | -144.3033 | 484.8634 | 16.1600 | 1.6680| 1.6680 | 1.5625 | 0.9064-0.0027j | 55.6698-0.0214j
43000 | -144.1366 | 495.6869 | 16.4733 | 1.6680| 1.6680 | 1.5625 | 0.9231-0.0027j | 56.7522+0.0241j
44000 | -143.9669 | 507.4845 | 16.7387 | 1.6680| 1.6680 | 1.5625 | 0.9401-0.0027j | 57.9319+0.0802j
45000 | -143.8041 | 518.4480 | 17.0484 | 1.6680| 1.6680 | 1.5625 | 0.9563-0.0025j | 59.0283+0.1644j
46000 | -143.6352 | 529.7784 | 17.2927 | 1.6680| 1.6680 | 1.5625 | 0.9732-0.0030j | 60.1613+0.2042j
47000 | -143.4779 | 541.2028 | 17.4458 | 1.6680| 1.6680 | 1.5625 | 0.9889-0.0027j | 61.3038+0.1775j
48000 | -143.3167 | 552.4775 | 17.8709 | 1.6680| 1.6680 | 1.5625 | 1.0051-0.0026j | 62.4312+0.1429j
49000 | -143.1572 | 563.9333 | 18.0992 | 1.6680| 1.6680 | 1.5625 | 1.0210-0.0025j | 63.5768+0.1855j
50000 | -143.0007 | 574.9240 | 18.3986 | 1.6680| 1.6680 | 1.5625 | 1.0367-0.0023j | 64.6759+0.1852j
51000 | -142.8427 | 586.1850 | 18.7069 | 1.6679| 1.6680 | 1.5625 | 1.0525-0.0023j | 65.8020+0.2160j
52000 | -142.6903 | 597.5563 | 18.9682 | 1.6679| 1.6680 | 1.5625 | 1.0677-0.0023j | 66.9391+0.2531j
53000 | -142.5373 | 608.9706 | 19.1937 | 1.6679| 1.6680 | 1.5625 | 1.0830-0.0024j | 68.0805+0.2050j
54000 | -142.3798 | 620.3315 | 19.5201 | 1.6679| 1.6680 | 1.5625 | 1.0988-0.0025j | 69.2166+0.2383j
