# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 -67.09 0.00 0.01 0.47-0.07j
2000 -65.17 0.00 0.01 0.67-0.10j
3000 -64.53 0.00 -0.01 0.73+0.30j
4000 -60.44 0.00 0.05 1.14+0.04j
5000 -72.45 -0.01 -0.00 -0.06-0.23j
6000 -68.03 -0.00 0.01 0.38+0.06j
7000 -66.41 0.01 0.02 0.54+0.19j
8000 -58.89 0.00 0.03 1.29-0.04j
9000 -57.34 0.00 0.03 1.45-0.24j
10000 -67.07 0.01 0.02 0.48-0.05j
11000 -73.29 0.00 0.00 -0.15+0.13j
12000 -56.03 0.01 0.01 1.58-0.04j
13000 -69.57 -0.00 0.00 0.23+0.06j
14000 -72.34 0.00 0.00 -0.05-0.13j
15000 -68.75 0.00 0.01 0.31+0.04j
16000 -64.09 0.00 0.02 0.77+0.25j
17000 -78.84 -0.01 -0.01 -0.70+0.14j
18000 -84.17 0.00 0.01 -1.23-0.12j
19000 -85.54 0.00 0.01 -1.37-0.11j
20000 -75.73 -0.00 0.01 -0.39-0.25j
21000 -65.00 0.00 -0.03 0.68+0.01j
22000 -75.03 0.00 0.00 -0.32-0.06j
23000 -83.00 -0.01 -0.02 -1.12+0.00j
24000 -81.11 0.01 0.01 -0.93-0.13j
25000 -78.29 0.00 0.00 -0.65-0.30j
26000 -92.72 0.01 0.01 -2.09-0.05j
27000 -54.75 0.01 0.01 1.71+0.09j
28000 -54.45 0.00 -0.00 1.74+0.15j
29000 -52.76 0.00 0.01 1.91-0.23j
30000 -51.66 0.00 0.01 2.02+0.04j
31000 -50.46 0.00 0.03 2.14-0.31j
32000 -54.01 -0.00 -0.01 1.78+0.19j
33000 -56.08 0.00 -0.01 1.58+0.13j
34000 -58.52 -0.00 -0.01 1.33-0.01j
35000 -55.79 -0.01 0.00 1.60+0.05j
36000 -66.71 -0.02 -0.01 0.51+0.29j
37000 -66.05 0.00 0.01 0.58-0.20j
38000 -60.29 0.01 -0.02 1.15-0.06j
39000 -55.45 0.00 0.00 1.64-0.08j
