# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 142.58 -0.00 0.03 -0.05+0.03j
2000 -61.01 -0.02 0.02 -10.23-0.08j
3000 -151.76 0.01 0.02 -14.77-0.09j
4000 -270.45 0.06 0.01 -20.71-0.13j
5000 -335.97 0.04 0.01 -23.98+0.01j
6000 -367.89 0.01 0.01 -25.58+0.06j
7000 -438.83 0.02 0.02 -29.12+0.07j
8000 -491.94 0.01 0.00 -31.78+0.05j
9000 -508.98 0.00 0.00 -32.63-0.06j
100000 146.58 0.01 0.02 0.15+0.15j
101000 71.34 0.01 0.02 -3.62+0.15j
102000 -10.45 0.01 0.02 -7.71+0.15j
103000 -91.24 0.01 0.02 -11.75+0.14j
104000 -180.15 0.01 0.02 -16.19+0.14j
105000 -263.35 0.01 0.02 -20.35+0.15j
106000 -341.33 0.01 0.02 -24.25+0.15j
107000 -430.36 0.01 0.02 -28.70-0.16j
108000 -515.18 0.01 0.02 -32.94-0.15j
