# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
120000 -156.43 0.02 0.00 -0.64-0.13j
121000 -188.19 -0.01 -0.00 -2.23-0.07j
122000 -165.60 0.00 0.01 -1.10-0.13j
123000 -169.23 0.01 -0.02 -1.28-0.12j
124000 -180.78 0.00 -0.02 -1.86-0.10j
125000 -181.73 0.01 -0.00 -1.90-0.08j
126000 -195.40 0.01 -0.01 -2.59+0.11j
127000 -215.23 0.01 0.01 -3.58+0.06j
128000 -205.08 0.01 0.01 -3.07+0.01j
129000 -178.00 -0.00 -0.00 -1.72+0.14j
130000 -193.75 0.00 -0.00 -2.50-0.16j
131000 -192.54 0.00 0.00 -2.44+0.14j
132000 -195.71 -0.00 -0.00 -2.60-0.07j
133000 -185.61 0.00 0.00 -2.10+0.06j
134000 -177.95 0.00 0.00 -1.71-0.16j
135000 -138.10 0.01 -0.00 0.28+0.01j
136000 -116.88 -0.00 0.01 1.34+0.11j
137000 -110.19 -0.00 0.11 1.67+0.07j
138000 -125.63 -0.00 -0.02 0.90+0.12j
139000 -146.65 0.00 -0.00 -0.15+0.14j
140000 -157.12 0.00 0.00 -0.67+0.12j
141000 -160.56 0.00 0.00 -0.84-0.03j
142000 -171.06 0.00 0.00 -1.37+0.01j
143000 -176.09 -0.00 -0.01 -1.62+0.10j
144000 -178.05 -0.00 0.00 -1.72+0.00j
145000 -183.86 -0.01 -0.01 -2.01-0.15j
146000 -192.87 0.01 0.01 -2.46-0.10j
147000 -187.50 -0.00 0.00 -2.19-0.04j
148000 -190.29 0.00 0.00 -2.33-0.00j
149000 -187.99 -0.01 -0.01 -2.22+0.11j
150000 -191.61 -0.00 -0.00 -2.40+0.11j
151000 -181.93 0.01 0.01 -1.91-0.08j
152000 -192.83 0.01 0.01 -2.46-0.04j
153000 -196.98 -0.00 -0.00 -2.67+0.10j
154000 -205.72 0.00 0.00 -3.10+0.05j
155000 -210.96 0.00 0.00 -3.36+0.07j
156000 -199.82 -0.00 -0.00 -2.81+0.07j
157000 -195.26 0.01 0.01 -2.58+0.05j
158000 -194.48 0.01 0.01 -2.54+0.08j
159000 -192.59 0.00 0.00 -2.45+0.11j
160000 -193.89 0.00 0.00 -2.51-0.03j
161000 -195.82 -0.02 -0.01 -2.61+0.07j
162000 -185.94 0.01 0.01 -2.11-0.07j
163000 -176.49 -0.00 -0.00 -1.64-0.04j
164000 -180.03 -0.01 -0.01 -1.82-0.14j
165000 -176.80 -0.02 -0.01 -1.66-0.11j
166000 -167.70 -0.02 -0.01 -1.20-0.01j
167000 -176.83 -0.00 0.00 -1.66+0.01j
168000 -178.57 -0.02 -0.01 -1.74+0.05j
169000 -177.37 0.01 0.01 -1.69-0.02j
170000 -171.60 -0.00 -0.00 -1.40-0.01j
171000 -169.39 0.02 0.01 -1.29-0.01j
172000 -171.96 0.02 0.01 -1.41-0.06j
173000 -173.88 -0.02 -0.01 -1.51-0.01j
174000 -182.78 -0.00 -0.00 -1.96+0.12j
175000 -181.15 -0.02 -0.01 -1.87-0.14j
176000 -189.31 -0.02 -0.01 -2.28-0.11j
177000 -179.35 -0.01 -0.01 -1.78-0.10j
178000 -180.40 -0.00 -0.00 -1.84+0.09j
179000 -176.09 -0.04 -0.02 -1.62+0.11j
180000 -185.67 0.01 0.01 -2.10-0.07j
181000 -187.15 0.02 0.02 -2.17-0.03j
182000 -189.56 -0.02 -0.01 -2.29+0.06j
183000 -187.41 -0.00 -0.00 -2.19+0.08j
184000 -182.04 0.01 0.01 -1.92-0.07j
185000 -180.64 0.02 0.01 -1.85-0.02j
186000 -184.04 0.02 0.01 -2.02+0.05j
187000 -180.15 0.00 0.00 -1.82-0.04j
188000 -176.78 -0.04 -0.03 -1.66+0.04j
189000 -171.10 0.01 0.01 -1.37-0.08j
190000 -174.11 0.00 0.00 -1.52-0.06j
191000 -177.63 0.02 0.01 -1.70+0.02j
192000 -184.19 0.00 0.00 -2.03+0.07j
193000 -179.42 -0.01 -0.00 -1.79+0.07j
194000 -176.34 0.01 0.00 -1.63-0.10j
195000 -179.19 -0.00 -0.00 -1.78-0.03j
196000 -176.35 -0.01 -0.01 -1.63-0.04j
197000 -171.10 -0.00 -0.00 -1.37+0.15j
198000 -167.54 -0.01 -0.00 -1.19-0.10j
199000 -168.76 -0.01 -0.01 -1.25-0.11j
