# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -4.4954 | -38.5215 | 4.8831 | 4.8828| 0.0156 | -0.0029-0.0023j | -19.2536+0.0938j
2000 | -4.4998 | -76.2707 | 4.8833 | 4.8828| 0.0156 | -0.0051-0.0015j | -38.1281+0.1122j
3000 | -4.4972 | -111.7994 | 4.8833 | 4.8828| 0.0156 | -0.0038-0.0067j | -55.8925+0.4591j
4000 | -4.4957 | -145.7318 | 4.8834 | 4.8828| 0.0156 | -0.0030-0.0060j | -72.8587+0.2294j
5000 | -4.4944 | -181.3392 | 4.8836 | 4.8828| 0.0156 | -0.0024-0.0059j | -90.6624+0.3771j
6000 | -4.4962 | -215.4379 | 4.8837 | 4.8828| 0.0156 | -0.0033-0.0028j | -107.7118+0.1344j
7000 | -4.4985 | -249.6420 | 4.8838 | 4.8828| 0.0156 | -0.0044-0.0021j | -124.8138+1.1568j
8000 | -4.4980 | -280.7989 | 4.8839 | 4.8828| 0.0156 | -0.0041-0.0018j | -140.3923+0.5868j
9000 | -4.5031 | -313.8412 | 4.8841 | 4.8828| 0.0156 | -0.0067-0.0045j | -156.9134-0.5834j
10000 | -4.5091 | -347.3097 | 4.8843 | 4.8828| 0.0156 | -0.0097-0.0028j | -173.6476+0.9664j
11000 | -4.5095 | -378.3961 | 4.8844 | 4.8828| 0.0156 | -0.0099-0.0008j | -189.1908+0.2868j
12000 | -4.5134 | -410.6902 | 4.8846 | 4.8828| 0.0156 | -0.0119-0.0010j | -205.3379-0.7734j
13000 | -4.5175 | -442.1575 | 4.8847 | 4.8828| 0.0156 | -0.0139+0.0018j | -221.0716+1.5671j
14000 | -4.5145 | -472.4165 | 4.8848 | 4.8828| 0.0156 | -0.0124+0.0021j | -236.2010+0.4777j
15000 | -4.5170 | -505.7359 | 4.8850 | 4.8828| 0.0156 | -0.0137+0.0019j | -252.8608-0.4272j
16000 | -4.5230 | -537.5012 | 4.8852 | 4.8828| 0.0156 | -0.0167-0.0005j | -268.7434+0.6619j
17000 | -4.5294 | -571.3207 | 4.8854 | 4.8828| 0.0156 | -0.0199+0.0013j | -285.6532+0.0857j
18000 | -4.5389 | -604.9753 | 4.8856 | 4.8828| 0.0156 | -0.0246+0.0012j | -302.4804+1.4732j
19000 | -4.5379 | -637.4092 | 4.8858 | 4.8828| 0.0156 | -0.0241+0.0001j | -318.6974+0.1986j
20000 | -4.5373 | -667.7915 | 4.8859 | 4.8828| 0.0156 | -0.0238+0.0002j | -333.8886+0.4910j
