# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
1000 -0.03 0.08 0.00 0.00 -0.00 5.83+4.05j
2000 -0.03 -0.02 0.00 -0.00 -0.00 5.79-0.98j
3000 -0.04 -0.09 0.00 -0.00 0.00 5.40-4.56j
4000 -0.03 0.07 0.00 0.00 -0.00 5.63+3.41j
5000 -0.05 -0.05 0.00 -0.00 -0.00 4.88-2.48j
6000 -0.02 0.01 0.00 -0.00 0.00 6.27+0.42j
7000 -0.03 -0.08 0.00 0.00 0.00 5.80-3.77j
8000 -0.03 0.09 0.00 -0.00 -0.00 5.86+4.44j
9000 -0.03 0.00 0.00 -0.00 0.00 5.51+0.25j
10000 -0.02 -0.02 0.00 0.00 0.00 5.99-1.20j
11000 -0.03 -0.04 0.00 0.00 -0.00 5.86-2.17j
12000 -0.04 -0.01 0.00 0.00 0.00 5.41-0.33j
13000 -0.05 0.12 0.00 0.00 0.00 4.73+5.89j
14000 -0.03 0.02 0.00 -0.00 0.00 5.77+0.94j
15000 -0.04 -0.09 0.00 -0.00 -0.00 5.10-4.30j
16000 -0.04 0.07 0.00 -0.00 0.00 5.26+3.32j
17000 -0.04 -0.04 0.00 0.00 0.00 5.13-1.92j
18000 -0.04 -0.00 0.00 -0.00 -0.00 5.11-0.02j
19000 -0.03 -0.03 0.00 0.00 0.00 5.61-1.29j
20000 -0.02 -0.02 0.00 0.00 0.00 6.36-0.87j
21000 -0.02 -0.08 0.00 0.00 0.00 6.06-3.98j
22000 -0.02 -0.03 0.00 -0.00 0.00 6.26-1.34j
23000 -0.04 0.03 0.00 -0.00 -0.00 5.37+1.38j
24000 -0.03 -0.02 0.00 -0.00 -0.00 5.84-0.78j
25000 -0.04 -0.01 0.00 -0.00 -0.00 5.36-0.47j
26000 -0.03 0.05 0.00 -0.00 -0.00 5.61+2.61j
27000 -0.04 0.03 0.00 0.00 0.00 5.38+1.28j
28000 -0.05 -0.06 0.00 0.00 0.00 4.68-2.91j
29000 -0.04 -0.05 0.00 0.00 0.00 5.42-2.67j
30000 -0.03 0.09 0.00 0.00 0.00 5.89+4.62j
31000 -0.04 -0.01 0.00 0.00 0.00 5.33-0.47j
32000 -0.02 0.05 0.00 0.00 0.00 5.96+2.71j
33000 -0.03 -0.06 0.00 0.00 -0.00 5.47-2.82j
34000 -0.04 0.04 0.00 0.00 -0.00 5.01+2.02j
35000 -0.03 -0.06 0.00 0.00 -0.00 5.82-2.79j
36000 -0.01 -0.03 0.00 -0.00 -0.00 6.85-1.38j
37000 -0.04 0.13 0.00 -0.00 -0.00 5.03+6.50j
38000 -0.01 -0.05 0.00 -0.00 0.00 6.58-2.52j
39000 -0.04 -0.03 0.00 -0.00 0.00 5.34-1.32j
40000 -0.03 0.05 0.00 -0.00 -0.00 5.53+2.66j
41000 -0.04 0.11 0.00 -0.00 -0.00 4.95+5.60j
42000 -0.03 0.04 0.00 0.00 0.00 5.69+1.78j
43000 -0.04 -0.01 0.00 0.00 0.00 5.29-0.54j
44000 -0.03 0.09 0.00 -0.00 -0.00 5.78+4.36j
45000 -0.05 -0.06 0.00 -0.00 -0.00 4.89-2.80j
46000 -0.04 -0.02 0.00 -0.00 -0.00 5.27-1.02j
47000 -0.04 0.08 0.00 -0.00 0.00 5.19+4.21j
48000 -0.03 0.01 0.00 0.00 -0.00 5.45+0.51j
49000 -0.03 0.01 0.00 -0.00 -0.00 5.80+0.44j
50000 -0.04 -0.05 0.00 0.00 0.00 5.25-2.32j
51000 -0.02 0.01 0.00 0.00 0.00 6.12+0.43j
52000 -0.02 -0.09 0.00 0.00 -0.00 6.24-4.58j
53000 -0.05 -0.05 0.00 0.00 0.00 4.89-2.26j
54000 -0.04 -0.10 0.00 -0.00 -0.00 5.37-5.03j
55000 -0.03 -0.00 0.00 0.00 -0.00 5.69-0.17j
56000 -0.04 0.00 0.00 -0.00 -0.00 4.95+0.24j
57000 -0.04 0.08 0.00 -0.00 0.00 5.18+3.94j
58000 -0.04 0.01 0.00 -0.00 -0.00 5.33+0.36j
59000 -0.03 -0.00 0.00 -0.00 -0.00 5.54-0.23j
60000 -0.02 0.06 0.00 -0.00 -0.00 5.95+2.82j
61000 -0.04 0.05 0.00 0.00 0.00 5.32+2.62j
62000 -0.04 0.01 0.00 0.00 -0.00 5.01+0.73j
63000 -0.04 -0.00 0.00 -0.00 0.00 5.17-0.16j
64000 -0.04 0.10 0.00 -0.00 -0.00 5.38+4.95j
65000 -0.04 -0.03 0.00 -0.00 0.00 5.40-1.28j
66000 -0.02 0.03 0.00 -0.00 -0.00 6.16+1.28j
67000 -0.03 -0.03 0.00 -0.00 -0.00 5.48-1.55j
68000 -0.04 0.10 0.00 -0.00 -0.00 5.39+4.97j
69000 -0.04 0.07 0.00 -0.00 -0.00 5.09+3.37j
70000 -0.03 0.11 0.00 0.00 0.00 5.45+5.37j
71000 -0.02 0.05 0.00 0.00 -0.00 5.98+2.73j
72000 -0.01 0.11 0.00 0.00 0.00 6.54+5.60j
73000 -0.04 -0.01 0.00 0.00 -0.00 5.30-0.44j
74000 -0.02 0.02 0.00 -0.00 0.00 6.40+0.79j
75000 -0.02 0.11 0.00 0.00 0.00 6.16+5.55j
76000 -0.04 -0.01 0.00 -0.00 0.00 5.21-0.51j
77000 -0.02 0.05 0.00 0.00 0.00 5.99+2.71j
78000 -0.04 0.05 0.00 0.00 0.00 5.41+2.45j
79000 -0.02 0.09 0.00 0.00 0.00 6.22+4.50j
80000 -0.04 0.02 0.00 -0.00 -0.00 5.14+0.88j
81000 -0.03 -0.02 0.00 -0.00 -0.00 5.77-0.77j
82000 -0.03 -0.01 0.00 -0.00 0.00 5.58-0.30j
83000 -0.03 0.00 0.00 -0.00 0.00 5.62+0.09j
84000 -0.03 -0.03 0.00 0.00 -0.00 5.49-1.39j
85000 -0.01 0.02 0.00 -0.00 -0.00 6.59+1.16j
86000 -0.04 -0.01 0.00 -0.00 -0.00 5.40-0.36j
87000 -0.04 -0.06 0.00 0.00 -0.00 5.07-3.05j
88000 -0.03 0.09 0.00 0.00 0.00 5.78+4.73j
89000 -0.05 0.07 0.00 -0.00 0.00 4.80+3.35j
90000 -0.01 0.07 0.00 -0.00 0.00 6.89+3.33j
91000 -0.03 -0.08 0.00 0.00 -0.00 5.68-3.75j
92000 -0.04 0.00 0.00 0.00 -0.00 4.94+0.24j
93000 -0.04 0.02 0.00 0.00 0.00 5.01+1.12j
94000 -0.03 -0.06 0.00 0.00 0.00 5.93-3.16j
95000 -0.02 0.08 0.00 -0.00 0.00 5.97+3.82j
96000 -0.04 -0.04 0.00 0.00 0.00 5.10-1.75j
97000 -0.04 -0.00 0.00 -0.00 -0.00 5.14-0.04j
98000 -0.02 0.05 0.00 0.00 0.00 6.13+2.42j
99000 -0.04 0.01 0.00 -0.00 -0.00 5.09+0.74j
