# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -0.2110 | -23.7044 | 4.8831 | 4.8828| 0.0156 | 0.1346-0.1090j | -237.0365+8.3575j
2000 | -0.2318 | -34.5300 | 4.8832 | 4.8828| 0.0156 | -0.0732+0.0383j | -345.2928+0.1067j
3000 | -0.2067 | -36.2990 | 4.8832 | 4.8828| 0.0156 | 0.1777-0.0202j | -362.9829-1.0919j
4000 | -0.2072 | -37.4087 | 4.8832 | 4.8828| 0.0156 | 0.1729-0.1728j | -374.0802+10.1264j
5000 | -0.2111 | -38.1403 | 4.8832 | 4.8828| 0.0156 | 0.1335-0.0580j | -381.3958+2.7853j
6000 | -0.2313 | -39.4239 | 4.8831 | 4.8828| 0.0156 | -0.0677-0.0766j | -394.2318+3.7386j
7000 | -0.2406 | -40.1888 | 4.8832 | 4.8828| 0.0156 | -0.1608+0.0128j | -401.8805-0.4132j
8000 | -0.2485 | -40.8660 | 4.8832 | 4.8828| 0.0156 | -0.2401+0.0127j | -408.6525+0.2026j
9000 | -0.2426 | -40.5667 | 4.8832 | 4.8828| 0.0156 | -0.1809+0.1582j | -405.6602-11.4674j
10000 | -0.2410 | -40.3583 | 4.8832 | 4.8828| 0.0156 | -0.1652+0.2363j | -403.5762-14.5159j
11000 | -0.2487 | -40.9270 | 4.8832 | 4.8828| 0.0156 | -0.2418+0.0469j | -409.2632-0.9661j
12000 | -0.2301 | -39.6652 | 4.8832 | 4.8828| 0.0156 | -0.0566+0.0236j | -396.6453-0.3720j
13000 | -0.2321 | -39.8338 | 4.8832 | 4.8828| 0.0156 | -0.0763+0.0858j | -398.3309-4.9233j
14000 | -0.2264 | -39.3265 | 4.8831 | 4.8828| 0.0156 | -0.0196-0.0456j | -393.2578+4.5900j
15000 | -0.2359 | -40.0906 | 4.8832 | 4.8828| 0.0156 | -0.1144+0.0279j | -400.8987-2.6462j
16000 | -0.2273 | -39.4681 | 4.8832 | 4.8828| 0.0156 | -0.0282+0.0405j | -394.6740-4.0376j
17000 | -0.2234 | -39.1405 | 4.8832 | 4.8828| 0.0156 | 0.0104+0.2073j | -391.3980-11.9202j
18000 | -0.2241 | -39.2179 | 4.8832 | 4.8828| 0.0156 | 0.0034+0.1975j | -392.1716-13.0618j
19000 | -0.2208 | -39.1166 | 4.8832 | 4.8828| 0.0156 | 0.0370+0.0020j | -391.1586-0.9532j
20000 | -0.2397 | -40.4326 | 4.8832 | 4.8828| 0.0156 | -0.1517+0.0403j | -404.3184+1.4288j
21000 | -0.2391 | -40.2723 | 4.8832 | 4.8828| 0.0156 | -0.1466+0.0983j | -402.7159-7.3618j
22000 | -0.2246 | -39.2550 | 4.8831 | 4.8828| 0.0156 | -0.0015+0.0891j | -392.5430-4.7439j
23000 | -0.2063 | -38.1440 | 4.8832 | 4.8828| 0.0156 | 0.1822+0.0276j | -381.4329-0.4623j
24000 | -0.2135 | -38.8779 | 4.8832 | 4.8828| 0.0156 | 0.1094+0.0149j | -388.7715-2.1785j
25000 | -0.2099 | -38.5811 | 4.8832 | 4.8828| 0.0156 | 0.1458+0.0177j | -385.8039+0.3411j
26000 | -0.2078 | -38.3551 | 4.8832 | 4.8828| 0.0156 | 0.1665+0.0297j | -383.5437-3.3887j
27000 | -0.2120 | -38.6131 | 4.8832 | 4.8828| 0.0156 | 0.1251-0.0900j | -386.1237+6.4852j
28000 | -0.2476 | -40.8481 | 4.8832 | 4.8828| 0.0156 | -0.2316+0.0852j | -408.4737-4.0500j
29000 | -0.2129 | -38.4984 | 4.8832 | 4.8828| 0.0156 | 0.1160+0.2190j | -384.9766-14.4043j
30000 | -0.2136 | -38.7239 | 4.8832 | 4.8828| 0.0156 | 0.1085+0.1105j | -387.2323-7.3254j
31000 | -0.2033 | -38.0356 | 4.8832 | 4.8828| 0.0156 | 0.2123+0.1988j | -380.3485-16.9567j
32000 | -0.1901 | -37.1329 | 4.8832 | 4.8828| 0.0156 | 0.3442+0.1346j | -371.3218-9.9155j
33000 | -0.2270 | -39.4869 | 4.8832 | 4.8828| 0.0156 | -0.0252+0.0980j | -394.8619-5.9337j
34000 | -0.2342 | -39.9514 | 4.8832 | 4.8828| 0.0156 | -0.0970-0.0280j | -399.5065+1.5232j
35000 | -0.2042 | -38.2201 | 4.8832 | 4.8828| 0.0156 | 0.2025-0.1179j | -382.1936+8.0627j
36000 | -0.2291 | -39.7223 | 4.8832 | 4.8828| 0.0156 | -0.0460-0.0284j | -397.2162+1.3077j
37000 | -0.2148 | -38.7803 | 4.8832 | 4.8828| 0.0156 | 0.0969+0.0685j | -387.7960-5.2107j
38000 | -0.2159 | -38.7204 | 4.8832 | 4.8828| 0.0156 | 0.0862-0.0016j | -387.1972+0.1595j
39000 | -0.2499 | -40.8087 | 4.8831 | 4.8828| 0.0156 | -0.2543+0.1491j | -408.0794-9.9981j
40000 | -0.2227 | -39.2591 | 4.8832 | 4.8828| 0.0156 | 0.0176+0.1299j | -392.5835-7.8740j
41000 | -0.2278 | -39.7207 | 4.8832 | 4.8828| 0.0156 | -0.0336-0.0473j | -397.2002+3.4500j
42000 | -0.2430 | -40.4800 | 4.8832 | 4.8828| 0.0156 | -0.1853-0.0908j | -404.7927+7.5432j
43000 | -0.2274 | -39.3175 | 4.8831 | 4.8828| 0.0156 | -0.0291-0.1562j | -393.1677+9.2083j
44000 | -0.2251 | -39.5410 | 4.8832 | 4.8828| 0.0156 | -0.0057-0.1407j | -395.4024+10.7803j
45000 | -0.2451 | -41.2233 | 4.8833 | 4.8828| 0.0156 | -0.2065-0.0318j | -412.2263+0.8712j
46000 | -0.2437 | -40.7658 | 4.8832 | 4.8828| 0.0156 | -0.1919-0.1170j | -407.6505+6.9542j
47000 | -0.2389 | -40.2527 | 4.8832 | 4.8828| 0.0156 | -0.1446-0.3287j | -402.5196+23.9325j
48000 | -0.2326 | -39.7602 | 4.8832 | 4.8828| 0.0156 | -0.0816-0.1673j | -397.5948+11.0619j
49000 | -0.2320 | -39.6907 | 4.8832 | 4.8828| 0.0156 | -0.0754+0.0218j | -396.8996-1.8567j
50000 | -0.2088 | -38.3666 | 4.8832 | 4.8828| 0.0156 | 0.1567+0.1261j | -383.6590-8.3764j
51000 | -0.2448 | -40.5699 | 4.8832 | 4.8828| 0.0156 | -0.2035+0.0051j | -405.6921-0.2125j
52000 | -0.2176 | -39.1264 | 4.8832 | 4.8828| 0.0156 | 0.0686+0.0557j | -391.2571-3.6398j
53000 | -0.2250 | -39.3286 | 4.8832 | 4.8828| 0.0156 | -0.0052-0.0193j | -393.2785+0.4122j
54000 | -0.2211 | -39.1176 | 4.8832 | 4.8828| 0.0156 | 0.0336-0.0463j | -391.1686+2.2188j
