# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 3.06 -0.00 0.01 10.24+2.25j
2000 8.15 0.00 -0.01 15.33+1.40j
3000 10.10 0.00 0.03 17.28+0.50j
4000 11.31 0.00 0.02 18.49+2.09j
5000 13.09 0.00 0.01 20.27+1.35j
6000 16.17 0.00 0.02 23.35-0.70j
7000 15.18 -0.00 0.02 22.36+2.49j
8000 18.07 -0.00 0.02 25.26-2.41j
9000 19.44 0.00 0.03 26.62-1.81j
10000 18.13 -0.00 0.01 25.31+2.71j
11000 17.41 0.00 0.02 24.59+2.86j
12000 20.58 0.00 0.02 27.77+2.70j
13000 19.16 0.00 0.01 26.34+0.61j
14000 21.20 -0.00 0.02 28.38+3.10j
15000 23.36 0.00 0.03 30.54-2.91j
16000 23.89 0.01 0.07 31.07-1.04j
17000 24.89 0.02 0.14 32.08+2.66j
18000 21.93 0.00 0.02 29.12+0.32j
19000 23.23 0.00 0.02 30.41+0.81j
20000 24.43 0.00 0.02 31.61+1.87j
21000 26.32 0.00 0.04 33.50-1.53j
22000 23.29 -0.00 0.02 30.47-3.00j
23000 23.95 0.00 0.02 31.14+0.84j
24000 24.03 0.00 0.02 31.22+1.70j
25000 24.78 0.00 0.03 31.96+1.89j
26000 24.40 0.00 0.01 31.58+0.31j
27000 24.91 0.00 0.02 32.10-2.31j
28000 25.43 0.00 0.02 32.61+2.42j
29000 24.34 -0.00 0.01 31.52-0.69j
30000 24.43 0.01 0.03 31.61+1.42j
31000 23.74 -0.00 0.02 30.92+2.58j
32000 24.57 -0.00 0.02 31.76+2.15j
33000 25.06 0.01 0.03 32.24+2.76j
34000 24.09 0.00 0.03 31.27+2.52j
35000 23.66 0.00 0.02 30.85+1.04j
36000 26.47 -0.00 0.04 33.66-1.68j
37000 24.33 -0.00 0.02 31.51-1.38j
38000 22.00 -0.00 0.02 29.18+1.11j
39000 25.13 -0.00 0.03 32.32-0.71j
40000 25.91 -0.00 0.04 33.09+2.65j
41000 25.08 -0.00 0.03 32.26-0.60j
42000 24.14 0.00 0.02 31.32-2.48j
43000 23.41 -0.00 0.02 30.60+1.75j
44000 23.79 0.00 0.02 30.98+2.47j
45000 24.98 0.00 0.02 32.16+1.03j
46000 25.11 -0.00 0.02 32.29+2.41j
47000 24.61 0.00 0.02 31.79-2.54j
48000 24.02 -0.00 0.01 31.20+2.77j
49000 23.36 -0.00 0.02 30.54+1.71j
50000 25.29 -0.01 0.04 32.47+1.43j
51000 25.75 0.00 0.02 32.94-1.35j
52000 25.57 0.00 0.02 32.76+0.27j
53000 25.02 -0.00 0.01 32.20-0.00j
54000 21.98 0.00 0.02 29.16+1.50j
55000 24.21 0.00 0.02 31.39-1.12j
56000 24.48 -0.00 0.02 31.66+2.85j
57000 22.20 0.00 0.02 29.38-2.38j
58000 23.33 -0.00 0.01 30.52+0.18j
59000 24.51 -0.00 0.02 31.69-1.81j
60000 26.25 -0.00 0.01 33.43+1.85j
61000 24.22 0.00 0.03 31.40+1.05j
62000 24.62 0.00 0.02 31.81-2.36j
63000 23.52 0.00 0.02 30.71+2.76j
64000 25.16 0.01 0.01 32.34+1.60j
65000 25.59 0.00 0.02 32.77+2.55j
66000 25.58 0.00 0.02 32.76+2.91j
67000 23.72 0.00 0.01 30.90-0.48j
68000 23.78 -0.00 0.01 30.96-2.55j
69000 24.18 -0.00 0.02 31.36-0.75j
70000 24.12 0.00 0.03 31.30+2.01j
71000 25.55 0.01 0.01 32.73+1.15j
72000 23.45 -0.00 0.01 30.64-2.21j
73000 23.21 0.00 0.02 30.39-2.66j
74000 24.51 0.00 0.02 31.69+1.19j
75000 23.47 0.00 0.02 30.65-1.53j
76000 24.56 0.00 0.02 31.75-1.46j
77000 24.83 -0.00 0.01 32.02-1.15j
78000 23.76 -0.00 0.01 30.94-0.06j
79000 25.62 0.00 0.02 32.80-0.37j
80000 24.18 -0.00 0.02 31.36-2.89j
81000 24.65 0.00 0.02 31.83+0.27j
82000 22.38 0.00 0.01 29.57-1.14j
83000 24.80 -0.01 0.00 31.98-1.66j
84000 23.27 0.00 0.02 30.46-1.09j
85000 22.93 0.00 0.02 30.12-2.55j
86000 23.37 0.00 0.01 30.55-0.53j
87000 23.19 -0.00 0.02 30.37-2.57j
88000 24.37 0.00 0.01 31.55+1.27j
89000 24.25 0.01 0.04 31.43-0.00j
90000 23.84 0.00 -0.00 31.02+0.42j
91000 23.25 0.00 0.02 30.43+2.06j
92000 21.96 0.00 0.02 29.14+2.80j
93000 23.23 0.00 0.02 30.41-0.04j
94000 22.92 0.00 0.01 30.10+0.42j
95000 23.47 0.01 0.03 30.65-0.90j
96000 22.83 0.00 0.01 30.02+2.21j
97000 23.17 0.00 0.01 30.35+0.94j
98000 22.14 0.00 0.02 29.32-2.56j
99000 23.16 -0.00 0.02 30.35-0.95j
100000 23.07 0.00 0.02 30.26-0.61j
101000 23.52 0.00 0.02 30.70+1.99j
102000 22.94 0.00 0.02 30.12-0.71j
103000 22.26 0.00 0.02 29.44-1.54j
104000 24.32 -0.00 0.02 31.51+2.24j
105000 24.86 0.00 0.02 32.04+1.36j
106000 26.25 0.03 0.02 33.43-0.10j
107000 23.19 0.00 0.03 30.37-0.65j
108000 22.93 0.00 0.02 30.12+0.67j
109000 23.88 0.00 0.02 31.06+1.43j
110000 21.50 0.00 0.01 28.69-2.63j
111000 23.40 -0.00 0.02 30.59+2.96j
112000 22.09 0.00 0.02 29.27-2.15j
113000 23.16 0.00 0.02 30.34+1.52j
114000 25.81 -0.00 0.00 32.99+1.45j
115000 24.25 -0.00 0.01 31.43+2.94j
116000 23.95 0.00 0.02 31.13-2.51j
117000 23.68 0.01 0.02 30.86+2.49j
118000 26.22 0.00 0.03 33.41+2.37j
119000 28.58 -0.00 0.02 35.77+2.10j
120000 26.29 0.01 0.04 33.47-1.03j
121000 24.09 0.00 0.02 31.28+0.91j
122000 25.51 -0.00 0.01 32.69-2.59j
123000 23.32 -0.00 0.01 30.50+2.80j
124000 26.07 0.01 0.06 33.26+2.46j
125000 23.42 0.00 0.02 30.60+1.75j
126000 23.68 -0.00 0.02 30.87+2.00j
127000 24.94 -0.00 0.02 32.12-2.58j
128000 23.65 0.00 0.02 30.84-1.65j
129000 23.45 -0.00 0.02 30.64-2.93j
130000 25.06 0.00 0.02 32.24-2.84j
131000 25.53 0.00 0.03 32.71+0.82j
132000 23.63 0.00 0.02 30.82+2.22j
133000 25.30 0.00 0.02 32.49-1.36j
134000 25.76 0.00 0.01 32.94+0.67j
135000 26.74 0.00 0.01 33.93-2.75j
136000 25.93 0.00 0.01 33.12+2.69j
137000 26.11 0.01 0.02 33.29-1.05j
138000 27.14 0.01 0.04 34.33-1.27j
139000 24.67 -0.00 0.01 31.86-0.19j
140000 22.85 -0.00 0.02 30.03-0.60j
141000 24.24 -0.00 0.02 31.43+3.04j
142000 23.51 -0.00 0.02 30.69+2.59j
143000 24.00 0.00 0.02 31.18+2.76j
144000 22.64 -0.00 0.01 29.83-3.00j
145000 25.16 -0.00 0.00 32.35+1.63j
146000 23.80 -0.00 0.02 30.98+1.31j
147000 23.96 0.00 0.02 31.15-1.79j
148000 25.65 0.00 0.02 32.84+2.39j
149000 20.75 -0.00 0.02 27.93+1.81j
150000 21.58 0.00 0.01 28.76-1.56j
151000 23.61 0.00 0.01 30.80-2.77j
