# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 9.08 0.01 0.02 446.85+0.03j
2000 11.81 0.01 0.02 583.31+0.00j
3000 16.43 0.01 0.02 814.37+0.00j
4000 18.08 0.01 0.02 896.86+0.00j
5000 17.80 0.01 0.02 882.74+0.00j
6000 17.52 0.01 0.02 868.69+0.00j
7000 14.54 0.01 0.02 719.63+0.00j
8000 12.18 0.01 0.02 601.82+0.00j
9000 15.55 0.01 0.02 770.14+0.00j
10000 17.51 0.01 0.02 868.48+0.00j
11000 18.64 0.01 0.02 924.78+0.00j
12000 15.51 0.01 0.02 768.52+0.00j
13000 10.86 0.01 0.02 535.67+0.00j
14000 11.17 0.01 0.02 551.10+0.00j
15000 16.50 0.01 0.02 818.06+0.00j
16000 16.62 0.01 0.02 823.89+0.00j
17000 14.13 0.01 0.02 699.09+0.00j
18000 19.30 0.01 0.02 957.66+0.00j
19000 15.94 0.01 0.02 789.88+0.00j
20000 12.81 0.01 0.02 633.17+0.00j
21000 11.17 0.01 0.02 551.18+0.00j
22000 19.89 0.01 0.02 987.19+0.00j
23000 14.49 0.01 0.02 717.20+0.00j
24000 10.16 0.01 0.02 500.88+0.00j
25000 10.48 0.01 0.02 516.68+0.00j
26000 12.72 0.01 0.02 628.68+0.00j
27000 10.92 0.01 0.02 539.02+0.00j
28000 12.76 0.01 0.02 630.85+0.00j
29000 13.98 0.01 0.02 691.80+0.00j
30000 7.25 0.01 0.02 355.16+0.00j
31000 11.96 0.01 0.02 590.90+0.00j
32000 14.62 0.01 0.02 723.60+0.00j
33000 13.52 0.01 0.02 668.88+0.00j
34000 17.40 0.01 0.02 862.77+0.00j
35000 9.62 0.01 0.02 473.72+0.00j
36000 15.52 0.01 0.02 768.60+0.00j
37000 13.92 0.01 0.02 688.82+0.00j
38000 14.83 0.01 0.02 734.15+0.00j
39000 17.91 0.01 0.02 888.37-0.00j
40000 11.35 0.01 0.02 560.12+0.00j
41000 17.65 0.01 0.02 875.11+0.00j
42000 17.08 0.01 0.02 846.87-0.00j
43000 14.87 0.01 0.02 736.52+0.00j
44000 17.83 0.01 0.02 884.34+0.00j
45000 24.72 0.01 0.02 1228.81+0.00j
46000 16.17 0.01 0.02 801.21+0.00j
47000 19.51 0.01 0.02 968.08-0.00j
48000 19.72 0.01 0.02 978.77+0.00j
49000 21.59 0.01 0.02 1072.12+0.00j
50000 12.62 0.01 0.02 624.04+0.00j
51000 9.49 0.01 0.02 467.28+0.00j
52000 18.66 0.01 0.02 925.88+0.00j
53000 20.19 0.01 0.02 1002.26+0.00j
54000 20.00 0.01 0.02 992.90+0.00j
55000 21.48 0.01 0.02 1066.65+0.00j
56000 17.24 0.01 0.02 854.61+0.00j
57000 8.56 0.01 0.02 421.04+0.00j
58000 18.77 0.01 0.02 931.42+0.00j
59000 19.76 0.01 0.02 980.83+0.00j
60000 14.51 0.01 0.02 718.13+0.00j
61000 15.37 0.01 0.02 761.33+0.00j
62000 13.29 0.01 0.02 657.51+0.00j
63000 18.32 0.01 0.02 908.92+0.00j
64000 15.32 0.01 0.02 758.79+0.00j
65000 15.50 0.01 0.02 767.80+0.00j
66000 15.99 0.01 0.02 792.54+0.00j
67000 13.49 0.01 0.02 667.36+0.00j
68000 12.39 0.01 0.02 612.33+0.00j
69000 13.48 0.01 0.02 666.86+0.00j
70000 19.86 0.01 0.02 986.06+0.00j
