# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
46000 | -36.7881 | 650.9031 | 24.6704 | 4.8828| 4.8828 | 0.0156 | 8.1087-0.0074j | 650.9749-0.6050j
47000 | -36.7644 | 652.4319 | 24.7207 | 4.8828| 4.8828 | 0.0156 | 8.1324-0.0066j | 652.5037-0.3461j
48000 | -36.7440 | 653.5009 | 24.7595 | 4.8828| 4.8828 | 0.0156 | 8.1527-0.0070j | 653.5727-1.1307j
49000 | -36.7202 | 654.8684 | 24.8389 | 4.8828| 4.8828 | 0.0156 | 8.1766-0.0053j | 654.9402-0.4380j
50000 | -36.6984 | 656.8946 | 24.8883 | 4.8828| 4.8828 | 0.0156 | 8.1984-0.0167j | 656.9665-0.7875j
51000 | -36.6822 | 657.7828 | 24.9171 | 4.8828| 4.8828 | 0.0156 | 8.2146-0.0234j | 657.8546-1.2952j
52000 | -36.6536 | 659.0209 | 24.9893 | 4.8828| 4.8828 | 0.0156 | 8.2432-0.0141j | 659.0927-1.3284j
53000 | -36.6389 | 660.6080 | 25.0250 | 4.8828| 4.8828 | 0.0156 | 8.2578-0.0169j | 660.6798-1.4290j
54000 | -36.6296 | 661.7938 | 25.0439 | 4.8828| 4.8828 | 0.0156 | 8.2672-0.0133j | 661.8656-1.0855j
55000 | -36.6187 | 663.6470 | 25.0665 | 4.8828| 4.8828 | 0.0156 | 8.2781-0.0282j | 663.7188-1.6265j
56000 | -36.6030 | 664.7503 | 25.1071 | 4.8828| 4.8828 | 0.0156 | 8.2938-0.0239j | 664.8221-1.3190j
57000 | -36.6034 | 666.3026 | 25.1022 | 4.8828| 4.8828 | 0.0156 | 8.2934-0.0201j | 666.3744-1.1119j
58000 | -36.5762 | 667.1005 | 25.1659 | 4.8828| 4.8828 | 0.0156 | 8.3206-0.0117j | 667.1723-0.8898j
59000 | -36.5702 | 668.0568 | 25.1849 | 4.8828| 4.8828 | 0.0156 | 8.3266-0.0097j | 668.1286-0.6500j
60000 | -36.5609 | 668.7647 | 25.2222 | 4.8828| 4.8828 | 0.0156 | 8.3359-0.0103j | 668.8365-0.7715j
61000 | -36.5362 | 669.5009 | 25.2753 | 4.8828| 4.8828 | 0.0156 | 8.3606-0.0075j | 669.5728-0.9519j
62000 | -36.5365 | 670.6254 | 25.2712 | 4.8828| 4.8828 | 0.0156 | 8.3603-0.0087j | 670.6973-1.0457j
63000 | -36.5309 | 671.0574 | 25.2787 | 4.8828| 4.8828 | 0.0156 | 8.3659-0.0155j | 671.1292-1.3359j
64000 | -36.5190 | 670.9158 | 25.3250 | 4.8828| 4.8828 | 0.0156 | 8.3777-0.0075j | 670.9876-0.5314j
65000 | -36.5136 | 670.9677 | 25.3351 | 4.8828| 4.8828 | 0.0156 | 8.3831-0.0123j | 671.0395-0.7819j
66000 | -36.5089 | 672.4198 | 25.3504 | 4.8828| 4.8828 | 0.0156 | 8.3879-0.0152j | 672.4916-1.1418j
67000 | -36.4998 | 672.8158 | 25.3823 | 4.8828| 4.8828 | 0.0156 | 8.3970-0.0145j | 672.8876-1.1784j
68000 | -36.4931 | 673.7674 | 25.3978 | 4.8828| 4.8828 | 0.0156 | 8.4037-0.0206j | 673.8393-0.7127j
69000 | -36.4902 | 674.7236 | 25.4143 | 4.8828| 4.8828 | 0.0156 | 8.4066-0.0153j | 674.7955-0.8423j
70000 | -36.4921 | 675.4745 | 25.4077 | 4.8828| 4.8828 | 0.0156 | 8.4047-0.0110j | 675.5463-0.2982j
71000 | -36.4799 | 674.7119 | 25.4375 | 4.8828| 4.8828 | 0.0156 | 8.4169-0.0146j | 674.7837-0.7242j
72000 | -36.4737 | 675.0761 | 25.4492 | 4.8828| 4.8828 | 0.0156 | 8.4231-0.0070j | 675.1479-0.4939j
73000 | -36.4716 | 674.9535 | 25.4438 | 4.8828| 4.8828 | 0.0156 | 8.4252+0.0035j | 675.0253+0.1686j
74000 | -36.4700 | 675.3449 | 25.4495 | 4.8828| 4.8828 | 0.0156 | 8.4268-0.0049j | 675.4167-0.5391j
75000 | -36.4650 | 675.7491 | 25.4760 | 4.8828| 4.8828 | 0.0156 | 8.4317-0.0028j | 675.8210-0.3131j
76000 | -36.4498 | 676.0890 | 25.5284 | 4.8828| 4.8828 | 0.0156 | 8.4470-0.0010j | 676.1608+0.0895j
77000 | -36.4605 | 676.3070 | 25.5198 | 4.8828| 4.8828 | 0.0156 | 8.4363-0.0017j | 676.3788+0.4428j
78000 | -36.4664 | 677.2195 | 25.5029 | 4.8828| 4.8828 | 0.0156 | 8.4304-0.0124j | 677.2913-0.5174j
79000 | -36.4601 | 676.6005 | 25.5246 | 4.8828| 4.8828 | 0.0156 | 8.4366-0.0240j | 676.6724-1.2749j
80000 | -36.4440 | 676.3491 | 25.5509 | 4.8828| 4.8828 | 0.0156 | 8.4528-0.0193j | 676.4210-1.1326j
81000 | -36.4462 | 676.9544 | 25.5355 | 4.8828| 4.8828 | 0.0156 | 8.4506-0.0202j | 677.0262-1.0341j
82000 | -36.4424 | 676.1795 | 25.5246 | 4.8828| 4.8828 | 0.0156 | 8.4544-0.0135j | 676.2514-1.3936j
83000 | -36.4413 | 676.1605 | 25.5505 | 4.8828| 4.8828 | 0.0156 | 8.4555-0.0141j | 676.2323-1.3751j
84000 | -36.4318 | 676.6290 | 25.5660 | 4.8828| 4.8828 | 0.0156 | 8.4650-0.0093j | 676.7008-0.8912j
85000 | -36.4315 | 677.0085 | 25.5589 | 4.8828| 4.8828 | 0.0156 | 8.4652-0.0085j | 677.0803-1.3699j
86000 | -36.4340 | 677.5784 | 25.5404 | 4.8828| 4.8828 | 0.0156 | 8.4628+0.0052j | 677.6502-0.4712j
87000 | -36.4326 | 678.1479 | 25.5439 | 4.8828| 4.8828 | 0.0156 | 8.4641+0.0016j | 678.2198-0.3508j
88000 | -36.4359 | 677.6035 | 25.5420 | 4.8828| 4.8828 | 0.0156 | 8.4609+0.0115j | 677.6753+0.3332j
89000 | -36.4352 | 677.7693 | 25.5684 | 4.8828| 4.8828 | 0.0156 | 8.4616+0.0164j | 677.8411+0.6223j
90000 | -36.4330 | 677.0688 | 25.5755 | 4.8828| 4.8828 | 0.0156 | 8.4638+0.0198j | 677.1407+0.9210j
91000 | -36.4315 | 677.1409 | 25.5686 | 4.8828| 4.8828 | 0.0156 | 8.4653+0.0319j | 677.2127+1.1774j
92000 | -36.4326 | 677.7212 | 25.5718 | 4.8828| 4.8828 | 0.0156 | 8.4642+0.0341j | 677.7930+2.4265j
93000 | -36.4351 | 677.8656 | 25.5578 | 4.8828| 4.8828 | 0.0156 | 8.4616+0.0230j | 677.9374+1.7589j
94000 | -36.4344 | 678.0368 | 25.5476 | 4.8828| 4.8828 | 0.0156 | 8.4624+0.0140j | 678.1086+0.4768j
95000 | -36.4421 | 678.0442 | 25.5211 | 4.8828| 4.8828 | 0.0156 | 8.4546+0.0162j | 678.1160+1.0861j
96000 | -36.4331 | 677.3522 | 25.5752 | 4.8828| 4.8828 | 0.0156 | 8.4636+0.0167j | 677.4240+1.5935j
97000 | -36.4372 | 677.6074 | 25.5657 | 4.8828| 4.8828 | 0.0156 | 8.4595+0.0214j | 677.6793+1.7184j
98000 | -36.4406 | 676.9042 | 25.5410 | 4.8828| 4.8828 | 0.0156 | 8.4562+0.0170j | 676.9761+0.7579j
99000 | -36.4327 | 677.2582 | 25.5481 | 4.8828| 4.8828 | 0.0156 | 8.4641+0.0099j | 677.3300+0.2071j
100000 | -36.4337 | 676.0597 | 25.5603 | 4.8828| 4.8828 | 0.0156 | 8.4631+0.0038j | 676.1316+0.0996j
