# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -1.3278 | 12.9216 | 2.0436 | 1.6680| 1.6680 | 1.5625 | 2.0588-0.0934j | 136.3996-5.7224j
2000 | -1.2394 | 19.0936 | 2.1916 | 1.6680| 1.6680 | 1.5625 | 2.9430-0.0744j | 198.1190-4.0343j
3000 | -1.1867 | 22.5149 | 2.2742 | 1.6680| 1.6680 | 1.5625 | 3.4700-0.0549j | 232.3329-0.1843j
4000 | -1.1787 | 23.3395 | 2.2937 | 1.6680| 1.6680 | 1.5625 | 3.5500+0.1888j | 240.5781+10.9619j
5000 | -1.1663 | 24.7373 | 2.3180 | 1.6680| 1.6680 | 1.5625 | 3.6738-0.0046j | 254.5561-1.1259j
6000 | -1.1542 | 25.3853 | 2.3385 | 1.6680| 1.6680 | 1.5625 | 3.7943+0.0736j | 261.0368+4.8118j
7000 | -1.1575 | 25.1042 | 2.3289 | 1.6680| 1.6680 | 1.5625 | 3.7618+0.0680j | 258.2260+6.3398j
8000 | -1.1379 | 26.0858 | 2.3600 | 1.6680| 1.6680 | 1.5625 | 3.9575+0.1464j | 268.0414+9.0299j
9000 | -1.1305 | 26.0428 | 2.3641 | 1.6680| 1.6680 | 1.5625 | 4.0316+0.0746j | 267.6114+5.6016j
10000 | -1.1327 | 25.7446 | 2.3601 | 1.6680| 1.6680 | 1.5625 | 4.0100+0.3659j | 264.6296+22.8933j
11000 | -1.1551 | 26.7169 | 2.3528 | 1.6680| 1.6680 | 1.5625 | 3.7859+0.3783j | 274.3521+22.0492j
12000 | -1.1413 | 25.4943 | 2.3477 | 1.6680| 1.6680 | 1.5625 | 3.9241+0.1720j | 262.1261+10.8846j
13000 | -1.1508 | 25.1189 | 2.3387 | 1.6680| 1.6680 | 1.5625 | 3.8287+0.0795j | 258.3726+4.5938j
14000 | -1.1387 | 25.0068 | 2.3447 | 1.6680| 1.6680 | 1.5625 | 3.9501-0.1028j | 257.2510-6.6476j
15000 | -1.1405 | 26.4381 | 2.3571 | 1.6680| 1.6680 | 1.5625 | 3.9319-0.0268j | 271.5650-0.9905j
16000 | -1.1315 | 26.4433 | 2.3668 | 1.6680| 1.6680 | 1.5625 | 4.0220+0.1340j | 271.6165+7.9294j
17000 | -1.1470 | 26.4703 | 2.3545 | 1.6680| 1.6680 | 1.5625 | 3.8668-0.0579j | 271.8869-2.5427j
18000 | -1.1506 | 25.6699 | 2.3428 | 1.6680| 1.6680 | 1.5625 | 3.8310-0.1409j | 263.8827-10.6811j
19000 | -1.1497 | 25.5759 | 2.3441 | 1.6680| 1.6680 | 1.5625 | 3.8401-0.1675j | 262.9426-8.7582j
20000 | -1.1379 | 24.8696 | 2.3449 | 1.6680| 1.6680 | 1.5625 | 3.9577-0.2666j | 255.8798-15.1656j
21000 | -1.1278 | 25.5287 | 2.3630 | 1.6680| 1.6680 | 1.5625 | 4.0585-0.1409j | 262.4706-9.5460j
22000 | -1.1399 | 25.7812 | 2.3554 | 1.6680| 1.6680 | 1.5625 | 3.9378+0.0222j | 264.9959+3.1668j
23000 | -1.1484 | 25.5079 | 2.3446 | 1.6680| 1.6680 | 1.5625 | 3.8532-0.1354j | 262.2629-9.3161j
24000 | -1.1397 | 25.4397 | 2.3508 | 1.6680| 1.6680 | 1.5625 | 3.9396-0.0332j | 261.5802-1.4690j
25000 | -1.1327 | 26.9834 | 2.3767 | 1.6680| 1.6680 | 1.5625 | 4.0099-0.1894j | 277.0175-10.3721j
26000 | -1.1325 | 26.1104 | 2.3624 | 1.6680| 1.6680 | 1.5625 | 4.0114-0.0129j | 268.2878+0.6230j
27000 | -1.1524 | 25.7085 | 2.3433 | 1.6680| 1.6680 | 1.5625 | 3.8130-0.0354j | 264.2684-2.0369j
28000 | -1.1475 | 25.6199 | 2.3448 | 1.6680| 1.6680 | 1.5625 | 3.8618+0.1563j | 263.3826+9.8275j
