# step beta_muA_ex.real beta_muA_ex.imag beta_muB_ex.real beta_muB_ex.imag beta_P.real beta_P.imag
0 -1.8911963532331229 -1.1046184314022893 0.24877590153769064 0.6454983131506355 0.14799948921097864 -0.086164930058821
100 2.7125004238776724 -0.03196038949519843 2.674090878719317 -0.039679471675218146 0.10405422372395769 -5.993431414136883e-05
200 2.6850885868656866 -0.045574909882502034 2.858091652585154 -0.019839021791694597 0.10476269762216511 -0.0005653887840686625
300 2.6756968229952616 -0.10831115341927686 2.8588166137802142 -0.08055594022774254 0.10403635946043686 -0.0020590443220651366
400 2.722927044002708 0.09045535747032965 2.7600925067349094 0.06698468222223802 0.10396944334362795 0.0017931399765705592
500 2.718001607713401 0.07394573214746795 2.834442800084701 0.0771330965483665 0.1034876047336923 0.0015134832953613959
600 2.7869199621594802 0.18797100837252076 2.7971881265991763 0.2310464805224739 0.10400712601871057 0.003715992922790153
700 2.753131580092395 -0.004118647612254673 2.784995664745771 0.0111436548805808 0.10467781886352147 -3.914463771981446e-05
800 2.9652133295302927 0.17565268218758456 2.5715328344255415 0.1475880745634286 0.10466517627598153 0.0030151498900191694
900 2.812687424065589 0.05920809975391965 2.6811245232634686 0.09966442873657574 0.103738786078865 0.0010155914605808722
1000 2.6313960078351593 -0.07075341131064483 2.8394294133225713 -0.012406566396841892 0.10371284644751083 -0.00150319897508304
1100 2.794240957134655 0.06164832034645646 2.6823917127102925 0.06646103982421325 0.10358434504339338 0.0014683290026301513
1200 2.836197874091188 -0.15690439213538898 2.6976319217237874 -0.0890316543841457 0.10465783942408467 -0.0022188075765816415
1300 2.724173764245591 -0.11117061903308273 2.7604175100620947 -0.04346255799158669 0.10553461666145109 -0.0013270532612868037
1400 2.7716871354364367 -0.004750810690640179 2.772323741421456 0.035420442002850994 0.10353895972042536 0.00026742384853572967
1500 2.6419660859658065 0.10655694194043219 2.8392099069616314 0.1306510418034791 0.10448837271216975 0.0021875963460629925
1600 2.668530171940337 0.15148484231701242 2.823552498296207 0.08148001928520401 0.10431979850825773 0.0025942639113472198
1700 2.561509837430057 -0.17224877549664933 2.9179021391489197 -0.15499998429219158 0.10460426422060018 -0.0032894399510035996
1800 2.9478583568218473 -0.2110954121215987 2.6232297104973052 -0.13576099830327643 0.10343619586612125 -0.003729672032913119
1900 2.7275539482405557 0.03591937385221553 2.822992243345265 0.09079981401444694 0.10431105150739067 0.0013191480883053895
2000 2.8525630758373945 0.06120802415676095 2.6331143853447423 0.07518933469931102 0.10542314677994251 0.0019163428482525324
2100 3.007364066527246 0.08609800375299584 2.5094894234501592 0.07881433634756696 0.10362516462059213 0.0018767857777655305
2200 2.9355184789270066 -0.021000179384295454 2.5862668951390675 0.024902803825313072 0.10351898195082983 0.00012569948617120142
2300 2.6706088888681805 -0.04882451539778695 2.8232347843134007 -0.09070259122975073 0.10456030611510743 -0.0020852641714110584
2400 2.7157245426372105 0.1039748650671747 2.7564432207258043 0.11031321444545036 0.10538449743958817 0.0020593212224202413
2500 2.739967838859726 -0.07355192199285698 2.75013029902556 -0.09192654111556893 0.10579580032300108 -0.001420782495083035
2600 2.6741029584130134 -0.08187898199416865 2.769278592977756 -0.05735624988345611 0.10461336102210106 -0.001436271628339744
2700 2.676615694039277 0.07070100978265213 2.7915137915385184 0.12026383324931957 0.10566483946742532 0.0024484647420940395
