# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -0.0169 | 54.8200 | 4.3472 | 3.3359| 1.5625 | -0.1609-0.7871j | 5482.7163+50.1372j
2000 | -0.0319 | 53.8720 | 4.3471 | 3.3359| 1.5625 | -1.6564-1.6368j | 5387.9151+105.0734j
3000 | -0.0140 | 55.0335 | 4.3468 | 3.3359| 1.5625 | 0.1342-1.9239j | 5504.0699+122.3677j
4000 | -0.0355 | 53.6556 | 4.3468 | 3.3359| 1.5625 | -2.0126+1.0419j | 5366.2784-65.5904j
5000 | -0.0296 | 54.0359 | 4.3467 | 3.3359| 1.5625 | -1.4289-0.9302j | 5404.3116+60.2574j
6000 | -0.0355 | 53.6466 | 4.3469 | 3.3359| 1.5625 | -2.0192+1.9043j | 5365.3828-121.2937j
7000 | -0.0448 | 53.0680 | 4.3467 | 3.3359| 1.5625 | -2.9474-0.0560j | 5307.5168+3.2081j
8000 | -0.0164 | 54.8717 | 4.3469 | 3.3359| 1.5625 | -0.1063+0.9104j | 5487.8840-58.1644j
9000 | -0.0556 | 52.3667 | 4.3469 | 3.3359| 1.5625 | -4.0229+0.1697j | 5237.3920-10.9937j
10000 | -0.0305 | 53.9706 | 4.3469 | 3.3359| 1.5625 | -1.5159+2.9220j | 5397.7779-186.8034j
11000 | -0.0422 | 53.2253 | 4.3468 | 3.3359| 1.5625 | -2.6898-0.2402j | 5323.2476+15.3889j
12000 | -0.0297 | 54.0260 | 4.3468 | 3.3359| 1.5625 | -1.4333-0.9790j | 5403.3206+62.5555j
13000 | -0.0568 | 52.2847 | 4.3469 | 3.3359| 1.5625 | -4.1471-0.2776j | 5229.1933+18.0560j
14000 | -0.0247 | 54.3518 | 4.3467 | 3.3359| 1.5625 | -0.9396-0.7319j | 5435.8938+47.0214j
15000 | -0.0347 | 53.7021 | 4.3469 | 3.3359| 1.5625 | -1.9365-2.9551j | 5370.9314+188.9418j
16000 | -0.0227 | 54.4687 | 4.3469 | 3.3359| 1.5625 | -0.7360-0.6645j | 5447.5848+43.6864j
17000 | -0.0357 | 53.6390 | 4.3469 | 3.3359| 1.5625 | -2.0340-0.0585j | 5364.6214+3.8009j
18000 | -0.0209 | 54.5771 | 4.3469 | 3.3359| 1.5625 | -0.5595+0.6860j | 5458.4285-45.2786j
19000 | -0.0223 | 54.4926 | 4.3469 | 3.3359| 1.5625 | -0.6976-0.6961j | 5449.9827+44.6565j
20000 | -0.0240 | 54.3904 | 4.3468 | 3.3359| 1.5625 | -0.8686+2.9637j | 5439.7627-189.3591j
21000 | -0.0434 | 53.1597 | 4.3466 | 3.3359| 1.5625 | -2.8099-1.6587j | 5316.6928+106.7384j
22000 | -0.0411 | 53.2979 | 4.3467 | 3.3359| 1.5625 | -2.5787-2.2675j | 5330.5066+144.7854j
23000 | -0.0218 | 54.5284 | 4.3468 | 3.3359| 1.5625 | -0.6470-1.8326j | 5453.5567+117.6623j
24000 | -0.0495 | 52.7575 | 4.3468 | 3.3359| 1.5625 | -3.4173+1.7225j | 5276.4694-110.4703j
25000 | -0.0295 | 54.0422 | 4.3468 | 3.3359| 1.5625 | -1.4132+1.5597j | 5404.9349-100.1532j
26000 | -0.0077 | 55.4353 | 4.3468 | 3.3359| 1.5625 | 0.7652+1.4132j | 5544.2477-90.3649j
