# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -0.0354 | 14.7344 | 4.8892 | 4.8828| 0.0156 | 0.4724-0.6767j | 736.7264+44.5646j
2000 | -0.0397 | 14.4378 | 4.8892 | 4.8828| 0.0156 | 0.2590-0.7592j | 721.8959+48.5120j
3000 | -0.0198 | 15.7060 | 4.8892 | 4.8828| 0.0156 | 1.2564-0.6108j | 785.3080+40.3441j
4000 | -0.0259 | 15.3157 | 4.8892 | 4.8828| 0.0156 | 0.9493+0.5881j | 765.7914-37.6103j
5000 | -0.0432 | 14.2207 | 4.8892 | 4.8828| 0.0156 | 0.0834-0.4478j | 711.0408+29.2121j
6000 | -0.0284 | 15.1536 | 4.8892 | 4.8828| 0.0156 | 0.8250-0.0547j | 757.6890+3.3217j
7000 | -0.0352 | 14.6955 | 4.8892 | 4.8828| 0.0156 | 0.4834-0.4007j | 734.7798+25.8003j
8000 | -0.0406 | 14.3777 | 4.8892 | 4.8828| 0.0156 | 0.2172+0.9914j | 718.8903-63.4147j
9000 | -0.0539 | 13.5293 | 4.8892 | 4.8828| 0.0156 | -0.4515-0.2268j | 676.4712+13.9103j
10000 | -0.0492 | 13.8290 | 4.8892 | 4.8828| 0.0156 | -0.2146+0.1215j | 691.4591-7.7469j
11000 | -0.0410 | 14.3557 | 4.8892 | 4.8828| 0.0156 | 0.1937+0.8604j | 717.7931-54.4989j
12000 | -0.0447 | 14.1007 | 4.8892 | 4.8828| 0.0156 | 0.0120+0.0331j | 705.0425-2.1937j
13000 | -0.0491 | 13.7786 | 4.8892 | 4.8828| 0.0156 | -0.2108-0.4254j | 688.9383+26.4064j
14000 | -0.0406 | 14.3703 | 4.8892 | 4.8828| 0.0156 | 0.2165-1.1353j | 718.5219+73.2787j
15000 | -0.0555 | 13.4338 | 4.8892 | 4.8828| 0.0156 | -0.5291+0.0820j | 671.6993-5.3737j
16000 | -0.0381 | 14.5410 | 4.8892 | 4.8828| 0.0156 | 0.3401+0.8319j | 727.0570-52.8788j
17000 | -0.0457 | 14.0422 | 4.8892 | 4.8828| 0.0156 | -0.0385-1.3077j | 702.1149+85.4897j
18000 | -0.0485 | 13.8826 | 4.8892 | 4.8828| 0.0156 | -0.1813-0.8003j | 694.1356+51.0198j
19000 | -0.0405 | 14.3746 | 4.8892 | 4.8828| 0.0156 | 0.2204-1.4547j | 718.7368+93.4349j
20000 | -0.0470 | 13.9718 | 4.8892 | 4.8828| 0.0156 | -0.1039+0.9316j | 698.5976-59.6307j
