# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -153.5620 | -106.3838 | 3.8421 | 3.3359| 1.5625 | -0.0019+0.0000j | -0.3455-0.0003j
2000 | -154.2836 | -205.0897 | 4.1895 | 3.3359| 1.5625 | -0.0092-0.0007j | -1.3325-0.0295j
