# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 727.76 -0.01 0.02 0.09+0.00j
2000 714.40 0.02 -0.03 -0.04+0.02j
3000 721.03 0.00 0.00 0.03-0.02j
4000 724.22 -0.03 0.04 0.06-0.00j
5000 717.35 -0.00 0.01 -0.01+0.03j
6000 724.43 -0.00 0.00 0.06+0.01j
7000 720.30 -0.00 0.00 0.02+0.03j
8000 718.69 0.00 -0.00 0.00-0.01j
9000 717.22 -0.00 0.00 -0.01+0.00j
10000 716.97 0.00 -0.00 -0.01+0.00j
11000 718.09 0.00 -0.00 -0.00-0.02j
12000 718.82 0.00 -0.00 0.00+0.00j
13000 720.88 0.00 -0.01 0.03+0.01j
14000 725.10 0.00 -0.01 0.07-0.00j
15000 726.03 0.00 -0.01 0.08-0.00j
16000 722.84 0.00 -0.00 0.04-0.00j
17000 725.23 0.01 -0.02 0.07+0.01j
18000 728.12 0.01 -0.04 0.10-0.02j
19000 722.78 -0.00 0.01 0.04-0.01j
