# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | 0.5362 | 64.5699 | 8.4472 | 4.8828| 4.8828 | 0.0156 | 98.5180-0.7240j | 6457.0665-46.5236j
2000 | 0.5262 | 63.5396 | 8.2732 | 4.8828| 4.8828 | 0.0156 | 97.5209-1.6363j | 6354.0361-79.6652j
3000 | 0.5294 | 62.0124 | 8.1796 | 4.8828| 4.8828 | 0.0156 | 97.8386+0.7979j | 6201.3128+42.7836j
4000 | 0.5338 | 64.4913 | 8.4065 | 4.8828| 4.8828 | 0.0156 | 98.2764+0.2979j | 6449.2052+20.4131j
5000 | 0.5255 | 64.0830 | 8.3296 | 4.8828| 4.8828 | 0.0156 | 97.4482-1.4858j | 6408.3766-98.2012j
6000 | 0.5286 | 64.2192 | 8.3710 | 4.8828| 4.8828 | 0.0156 | 97.7538+0.3572j | 6421.9885+26.1350j
7000 | 0.5227 | 63.3657 | 8.2547 | 4.8828| 4.8828 | 0.0156 | 97.1665+3.6873j | 6336.6399+211.3526j
8000 | 0.5337 | 64.2449 | 8.3916 | 4.8828| 4.8828 | 0.0156 | 98.2682+0.7876j | 6424.5618+52.3672j
9000 | 0.5215 | 63.4778 | 8.2287 | 4.8828| 4.8828 | 0.0156 | 97.0418-2.0329j | 6347.8533-117.0054j
10000 | 0.5132 | 62.7767 | 8.1515 | 4.8828| 4.8828 | 0.0156 | 96.2124+0.8223j | 6277.7368+65.9070j
11000 | 0.5261 | 62.8485 | 8.2102 | 4.8828| 4.8828 | 0.0156 | 97.5117-0.3850j | 6284.9196-28.1790j
12000 | 0.5143 | 62.0991 | 8.0927 | 4.8828| 4.8828 | 0.0156 | 96.3276+2.4806j | 6209.9850+134.0580j
13000 | 0.5041 | 63.1850 | 8.1234 | 4.8828| 4.8828 | 0.0156 | 95.3073-0.1105j | 6318.5717+8.2541j
14000 | 0.5338 | 63.6127 | 8.3451 | 4.8828| 4.8828 | 0.0156 | 98.2773+3.1848j | 6361.3391+231.0546j
15000 | 0.5247 | 64.0979 | 8.3541 | 4.8828| 4.8828 | 0.0156 | 97.3698-1.8657j | 6409.8613-146.0552j
16000 | 0.5324 | 62.8151 | 8.2601 | 4.8828| 4.8828 | 0.0156 | 98.1342+1.9723j | 6281.5836+113.9826j
17000 | 0.5272 | 63.8654 | 8.3250 | 4.8828| 4.8828 | 0.0156 | 97.6147+1.1380j | 6386.6105+55.9986j
