# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 -706.49 -0.00 0.01 0.12+0.00j
2000 -705.47 -0.00 0.01 0.13-0.00j
3000 -704.52 -0.00 0.01 0.14-0.00j
4000 -703.59 -0.00 0.01 0.15-0.00j
5000 -702.72 -0.00 0.01 0.16-0.00j
6000 -701.99 -0.00 0.01 0.16+0.00j
7000 -701.39 -0.00 0.01 0.17-0.00j
8000 -700.44 -0.00 0.02 0.18-0.00j
9000 -699.53 -0.00 0.01 0.19+0.00j
10000 -698.57 -0.01 0.02 0.20-0.00j
11000 -697.44 -0.01 0.02 0.21+0.01j
12000 -696.71 -0.00 0.01 0.22+0.00j
13000 -695.16 -0.01 0.03 0.23+0.00j
14000 -694.47 -0.01 0.02 0.24-0.01j
15000 -693.28 -0.01 0.02 0.25-0.00j
16000 -692.24 -0.01 0.01 0.26-0.01j
17000 -692.45 -0.00 0.00 0.26-0.02j
18000 -691.39 -0.00 0.01 0.27-0.02j
19000 -690.71 -0.00 0.01 0.28-0.02j
20000 -689.92 -0.00 0.01 0.28-0.03j
21000 -688.04 -0.01 0.04 0.30+0.03j
22000 -684.43 -0.02 0.04 0.34+0.00j
23000 -684.00 -0.00 0.02 0.34+0.00j
