# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
128000 14.07 -0.00 0.02 77.51+10.79j
129000 22.01 -0.01 0.02 117.26+7.77j
130000 15.55 -0.00 0.02 84.95-5.60j
131000 17.00 -0.00 0.02 92.17+14.62j
132000 20.27 -0.00 0.02 108.53-0.60j
133000 16.33 -0.00 0.02 88.83+9.30j
134000 18.28 -0.00 0.02 98.59+9.46j
135000 24.02 0.00 0.01 127.29-1.11j
136000 17.24 -0.00 0.01 93.38-14.82j
137000 17.01 -0.00 0.02 92.24+0.36j
138000 16.20 0.00 0.02 88.19+15.17j
139000 15.26 -0.00 0.02 83.51+4.92j
140000 14.37 -0.00 0.02 79.04+7.54j
141000 17.85 -0.00 0.02 96.42+1.70j
142000 16.68 -0.00 0.02 90.57-2.45j
143000 13.88 -0.00 0.02 76.61+12.64j
144000 14.95 -0.00 0.02 81.92+9.94j
145000 14.41 -0.00 0.02 79.24+13.51j
146000 13.95 -0.00 0.02 76.93+0.26j
147000 18.97 -0.00 0.01 102.04+5.71j
148000 16.02 -0.00 0.02 87.28+7.64j
149000 15.94 -0.00 0.02 86.88-7.02j
150000 19.33 -0.00 0.02 103.86-12.75j
151000 18.66 -0.00 0.01 100.49+14.39j
152000 19.43 -0.00 0.02 104.35+4.02j
153000 15.24 0.00 0.02 83.41-3.96j
154000 15.31 -0.00 0.02 83.74-1.85j
155000 17.06 0.00 0.02 92.50+6.65j
156000 17.92 -0.00 0.02 96.78-10.97j
157000 17.23 -0.00 0.02 93.33-10.56j
158000 19.17 -0.00 0.02 103.05+15.59j
159000 17.67 -0.00 0.01 95.55+2.31j
160000 14.98 -0.00 0.02 82.10+4.80j
161000 18.14 -0.00 0.02 97.88-11.72j
162000 20.39 0.00 0.02 109.15-1.63j
163000 13.92 0.00 0.02 76.78-14.17j
164000 15.47 -0.00 0.02 84.53-6.54j
165000 17.16 -0.00 0.02 92.97+8.85j
166000 16.01 -0.00 0.02 87.21-14.07j
167000 15.74 -0.00 0.02 85.90-13.21j
168000 17.65 0.00 0.02 95.45+4.73j
169000 15.62 -0.00 0.02 85.27+4.92j
170000 16.30 -0.00 0.02 88.66-5.74j
171000 16.69 -0.00 0.02 90.63+12.33j
172000 15.31 0.00 0.02 83.74+12.41j
173000 12.75 -0.00 0.02 70.93-12.00j
174000 17.18 -0.00 0.02 93.09-12.86j
175000 16.17 -0.00 0.02 88.04-13.09j
176000 12.72 -0.00 0.02 70.79-2.19j
177000 15.90 -0.00 0.01 86.69+15.06j
178000 13.70 -0.00 0.02 75.67-12.87j
179000 14.18 -0.00 0.02 78.08+15.26j
180000 14.00 -0.00 0.02 77.16-10.60j
181000 13.57 -0.00 0.02 75.02-11.51j
182000 19.83 0.00 0.01 106.32-13.61j
183000 18.56 -0.00 0.02 99.99+2.87j
184000 15.47 -0.00 0.02 84.54-13.42j
185000 12.57 -0.00 0.02 70.02+9.34j
186000 13.14 -0.00 0.02 72.87+6.32j
187000 13.61 0.00 0.02 75.25-9.22j
188000 14.28 -0.00 0.02 78.59+8.78j
189000 14.86 -0.00 0.02 81.48+5.09j
190000 15.42 -0.00 0.02 84.28+15.35j
191000 16.95 -0.00 0.01 91.92+12.50j
192000 14.84 0.00 0.02 81.38-5.45j
193000 21.91 0.00 0.02 116.71-6.71j
194000 15.48 -0.00 0.02 84.59+8.36j
195000 11.62 -0.00 0.02 65.26+3.63j
196000 15.73 -0.00 0.02 85.82-1.26j
197000 16.94 -0.00 0.02 91.89-10.14j
198000 16.17 -0.00 0.02 88.04-2.24j
199000 14.88 -0.00 0.02 81.56+11.97j
