# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
1000 0.04 0.08 0.00 -0.00 0.00 11.40+8.05j
2000 0.03 0.05 0.00 0.00 -0.00 9.95+5.27j
3000 0.03 -0.04 0.00 0.00 0.00 10.02-4.18j
4000 0.05 -0.02 0.00 0.00 0.00 12.44-2.38j
5000 0.03 0.02 0.00 0.00 -0.00 10.54+1.86j
6000 0.04 -0.10 0.00 0.00 -0.00 11.64-10.32j
7000 0.02 -0.04 0.00 0.00 0.00 9.67-3.74j
8000 0.03 0.11 0.00 0.00 0.00 10.56+10.70j
9000 0.04 -0.03 0.00 -0.00 -0.00 11.06-2.94j
10000 0.04 0.03 0.00 0.00 0.00 10.80+3.43j
11000 0.04 0.03 0.00 0.00 0.00 10.94+2.68j
12000 0.04 -0.07 0.00 0.00 -0.00 11.12-7.23j
13000 0.03 0.04 0.00 0.00 -0.00 10.65+4.22j
14000 0.05 0.08 0.00 0.00 0.00 11.98+7.75j
15000 0.06 -0.09 0.00 0.00 0.00 12.71-9.03j
16000 0.04 0.07 0.00 -0.00 0.00 11.31+7.06j
17000 0.05 0.00 0.00 -0.00 0.00 12.36+0.28j
18000 0.03 0.01 0.00 0.00 -0.00 10.67+1.09j
19000 0.05 0.03 0.00 -0.00 -0.00 12.19+2.91j
20000 0.05 -0.00 0.00 -0.00 0.00 11.72-0.05j
21000 0.03 0.11 0.00 0.00 -0.00 10.42+11.39j
22000 0.03 -0.09 0.00 -0.00 0.00 10.49-8.81j
23000 0.04 0.07 0.00 -0.00 -0.00 10.77+7.42j
24000 0.05 -0.00 0.00 0.00 -0.00 12.14-0.37j
25000 0.04 0.03 0.00 0.00 -0.00 11.43+2.70j
26000 0.04 0.07 0.00 -0.00 -0.00 11.38+7.10j
27000 0.04 0.01 0.00 0.00 0.00 10.83+1.30j
28000 0.03 0.01 0.00 0.00 0.00 10.43+0.92j
29000 0.03 0.02 0.00 -0.00 0.00 10.15+1.81j
30000 0.02 0.04 0.00 -0.00 -0.00 9.48+4.35j
