# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 -7.56 0.00 0.02 -44.97+0.26j
2000 -11.86 0.00 0.02 -66.49+0.15j
3000 -16.07 0.00 0.02 -87.55+0.04j
4000 -26.18 -0.00 0.02 -138.11+0.20j
5000 -24.70 0.00 0.02 -130.68+0.25j
6000 -19.44 0.00 0.02 -104.40+0.05j
7000 -28.66 -0.00 0.02 -150.50+0.06j
8000 -24.70 0.00 0.02 -130.67+0.15j
9000 -31.07 0.00 0.02 -162.52-0.14j
10000 -28.92 0.00 0.02 -151.80-0.12j
11000 -37.06 0.00 0.02 -192.48+0.33j
12000 -40.22 0.00 0.02 -208.27+0.30j
13000 -39.83 -0.00 0.02 -206.31+0.19j
14000 -25.19 -0.00 0.02 -133.13+0.02j
15000 -17.97 0.00 0.02 -97.02+0.07j
16000 -32.20 0.00 0.02 -168.17-0.02j
17000 -45.22 0.00 0.02 -233.30-0.03j
18000 -38.47 0.00 0.02 -199.51+0.03j
19000 -26.19 0.00 0.02 -138.11+0.01j
20000 -19.55 -0.00 0.02 -104.94-0.00j
21000 -27.90 0.00 0.02 -146.68-0.01j
22000 -19.57 -0.00 0.02 -105.03+0.00j
23000 -22.83 0.00 0.02 -121.35+0.00j
24000 -17.71 0.00 0.02 -95.75+0.00j
25000 -16.46 0.00 0.02 -89.47-0.00j
26000 -18.02 0.00 0.02 -97.28+0.00j
27000 -16.45 0.00 0.02 -89.44+0.00j
28000 -16.45 0.00 0.02 -89.41-0.00j
29000 -9.82 0.00 0.02 -56.28-0.00j
30000 -19.35 0.00 0.02 -103.94-0.00j
31000 -21.26 0.00 0.02 -113.49+0.00j
32000 -22.22 0.00 0.02 -118.29+0.00j
33000 -23.11 0.00 0.02 -122.74+0.00j
34000 -20.87 0.00 0.02 -111.53+0.00j
35000 -18.07 0.00 0.02 -97.54+0.00j
36000 -31.19 -0.00 0.02 -163.15+0.00j
37000 -21.26 0.00 0.02 -113.48+0.00j
38000 -15.59 0.00 0.02 -85.14-0.00j
39000 -25.68 0.00 0.02 -135.61+0.00j
40000 -24.06 0.00 0.02 -127.47+0.00j
41000 -25.58 0.00 0.02 -135.08+0.00j
42000 -27.59 0.00 0.02 -145.12+0.00j
43000 -27.23 0.00 0.02 -143.35-0.00j
44000 -33.09 0.00 0.02 -172.65-0.00j
45000 -37.47 0.00 0.02 -194.51-0.00j
46000 -17.99 0.00 0.02 -97.16+0.00j
47000 -14.16 0.00 0.02 -77.96-0.00j
48000 -21.65 0.00 0.02 -115.45-0.00j
49000 -18.32 0.00 0.02 -98.78+0.00j
50000 -31.58 -0.00 0.02 -165.10+0.00j
51000 -25.07 0.00 0.02 -132.52+0.00j
52000 -24.19 -0.00 0.02 -128.11+0.00j
53000 -19.90 0.00 0.02 -106.70+0.00j
54000 -13.47 0.00 0.02 -74.52+0.00j
55000 -16.06 0.00 0.02 -87.46-0.00j
56000 -19.68 0.00 0.02 -105.59-0.00j
57000 -18.75 0.00 0.02 -100.94-0.00j
58000 -18.42 0.00 0.02 -99.30+0.00j
59000 -28.94 0.00 0.02 -151.89-0.00j
60000 -34.20 0.00 0.02 -178.18-0.00j
61000 -40.50 0.00 0.02 -209.70-0.00j
62000 -29.13 0.00 0.02 -152.84-0.00j
63000 -26.99 0.00 0.02 -142.12+0.00j
64000 -31.15 0.00 0.02 -162.93+0.00j
65000 -28.54 -0.00 0.02 -149.87+0.00j
66000 -37.97 -0.00 0.02 -197.02+0.00j
67000 -42.73 -0.00 0.02 -220.82+0.00j
68000 -31.70 0.00 0.02 -165.71-0.00j
69000 -15.69 0.00 0.02 -85.64-0.00j
70000 -28.38 0.00 0.02 -149.07+0.00j
71000 -39.15 -0.00 0.02 -202.95-0.00j
72000 -30.77 -0.00 0.02 -161.01-0.00j
73000 -30.99 -0.00 0.02 -162.13-0.00j
74000 -27.48 0.00 0.02 -144.59-0.00j
75000 -19.68 0.00 0.02 -105.59-0.00j
76000 -19.86 0.00 0.02 -106.50-0.00j
77000 -17.37 0.00 0.02 -94.03-0.00j
78000 -18.13 0.00 0.02 -97.85+0.00j
79000 -22.69 0.00 0.02 -120.62+0.00j
80000 -12.19 0.00 0.02 -68.15+0.00j
81000 -20.78 0.00 0.02 -111.09+0.00j
82000 -16.06 0.00 0.02 -87.50-0.00j
83000 -22.20 0.00 0.02 -118.20-0.00j
84000 -22.29 0.00 0.02 -118.64+0.00j
85000 -21.22 0.00 0.02 -113.28-0.00j
86000 -17.06 0.00 0.02 -92.48-0.00j
87000 -30.84 -0.00 0.02 -161.36+0.00j
88000 -38.54 -0.00 0.02 -199.90+0.00j
89000 -24.13 0.00 0.02 -127.83+0.00j
90000 -12.37 0.00 0.02 -69.05+0.00j
91000 -20.87 0.00 0.02 -111.54+0.00j
92000 -17.32 0.00 0.02 -93.77+0.00j
93000 -39.83 0.00 0.02 -206.32+0.00j
94000 -19.31 0.00 0.02 -103.71+0.00j
95000 -23.93 0.00 0.02 -126.83-0.00j
96000 -13.85 0.00 0.02 -76.44-0.00j
97000 -15.06 0.00 0.02 -82.50-0.00j
98000 -22.29 0.00 0.02 -118.62+0.00j
