# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
46000 | 0.0007 | -0.0066 | 4.8833 | 4.8828| 4.8828 | 0.0156 | 0.0007-0.0020j | -0.0066-0.0562j
47000 | -0.0004 | -0.0553 | 4.8844 | 4.8828| 4.8828 | 0.0156 | -0.0004-0.0020j | -0.0553-0.0554j
48000 | 0.0000 | -0.0373 | 4.8828 | 4.8828| 4.8828 | 0.0156 | 0.0000-0.0020j | -0.0373-0.0563j
49000 | 0.0001 | -0.0328 | 4.8827 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0328-0.0560j
50000 | 0.0001 | -0.0321 | 4.8827 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0321-0.0558j
51000 | -0.0003 | -0.0498 | 4.8831 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0498-0.0560j
52000 | -0.0001 | -0.0396 | 4.8837 | 4.8828| 4.8828 | 0.0156 | -0.0001-0.0020j | -0.0396-0.0561j
53000 | 0.0000 | -0.0374 | 4.8831 | 4.8828| 4.8828 | 0.0156 | 0.0000-0.0020j | -0.0374-0.0559j
54000 | -0.0003 | -0.0533 | 4.8841 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0533-0.0557j
55000 | 0.0000 | -0.0371 | 4.8836 | 4.8828| 4.8828 | 0.0156 | 0.0000-0.0020j | -0.0371-0.0563j
56000 | -0.0000 | -0.0387 | 4.8827 | 4.8828| 4.8828 | 0.0156 | -0.0000-0.0020j | -0.0387-0.0552j
57000 | 0.0000 | -0.0367 | 4.8836 | 4.8828| 4.8828 | 0.0156 | 0.0000-0.0020j | -0.0367-0.0561j
58000 | 0.0003 | -0.0250 | 4.8827 | 4.8828| 4.8828 | 0.0156 | 0.0003-0.0020j | -0.0250-0.0556j
59000 | -0.0001 | -0.0408 | 4.8829 | 4.8828| 4.8828 | 0.0156 | -0.0001-0.0020j | -0.0408-0.0562j
60000 | 0.0001 | -0.0303 | 4.8843 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0303-0.0560j
61000 | 0.0001 | -0.0307 | 4.8841 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0307-0.0558j
62000 | -0.0001 | -0.0417 | 4.8829 | 4.8828| 4.8828 | 0.0156 | -0.0001-0.0020j | -0.0417-0.0564j
63000 | 0.0002 | -0.0300 | 4.8826 | 4.8828| 4.8828 | 0.0156 | 0.0002-0.0020j | -0.0300-0.0560j
64000 | -0.0005 | -0.0584 | 4.8836 | 4.8828| 4.8828 | 0.0156 | -0.0005-0.0020j | -0.0584-0.0563j
65000 | -0.0000 | -0.0387 | 4.8840 | 4.8828| 4.8828 | 0.0156 | -0.0000-0.0020j | -0.0387-0.0559j
66000 | 0.0001 | -0.0351 | 4.8834 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0351-0.0557j
67000 | -0.0004 | -0.0572 | 4.8833 | 4.8828| 4.8828 | 0.0156 | -0.0004-0.0020j | -0.0572-0.0562j
68000 | -0.0003 | -0.0525 | 4.8831 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0525-0.0561j
69000 | 0.0003 | -0.0230 | 4.8836 | 4.8828| 4.8828 | 0.0156 | 0.0003-0.0020j | -0.0230-0.0561j
70000 | 0.0001 | -0.0327 | 4.8835 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0327-0.0563j
71000 | 0.0003 | -0.0238 | 4.8827 | 4.8828| 4.8828 | 0.0156 | 0.0003-0.0020j | -0.0238-0.0554j
72000 | -0.0001 | -0.0437 | 4.8843 | 4.8828| 4.8828 | 0.0156 | -0.0001-0.0020j | -0.0437-0.0556j
73000 | 0.0001 | -0.0340 | 4.8825 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0340-0.0560j
74000 | 0.0001 | -0.0356 | 4.8838 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0356-0.0560j
75000 | 0.0001 | -0.0319 | 4.8837 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0319-0.0558j
76000 | 0.0006 | -0.0094 | 4.8834 | 4.8828| 4.8828 | 0.0156 | 0.0006-0.0020j | -0.0094-0.0562j
77000 | 0.0001 | -0.0326 | 4.8824 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0326-0.0559j
78000 | 0.0002 | -0.0292 | 4.8842 | 4.8828| 4.8828 | 0.0156 | 0.0002-0.0020j | -0.0292-0.0567j
79000 | 0.0002 | -0.0290 | 4.8845 | 4.8828| 4.8828 | 0.0156 | 0.0002-0.0020j | -0.0290-0.0561j
80000 | 0.0005 | -0.0162 | 4.8835 | 4.8828| 4.8828 | 0.0156 | 0.0005-0.0020j | -0.0162-0.0556j
81000 | 0.0002 | -0.0295 | 4.8825 | 4.8828| 4.8828 | 0.0156 | 0.0002-0.0020j | -0.0295-0.0561j
82000 | -0.0005 | -0.0608 | 4.8843 | 4.8828| 4.8828 | 0.0156 | -0.0005-0.0020j | -0.0608-0.0561j
83000 | -0.0003 | -0.0514 | 4.8835 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0514-0.0565j
84000 | -0.0003 | -0.0528 | 4.8845 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0528-0.0561j
85000 | -0.0001 | -0.0417 | 4.8837 | 4.8828| 4.8828 | 0.0156 | -0.0001-0.0020j | -0.0417-0.0559j
86000 | 0.0002 | -0.0305 | 4.8831 | 4.8828| 4.8828 | 0.0156 | 0.0002-0.0020j | -0.0305-0.0557j
87000 | -0.0000 | -0.0371 | 4.8840 | 4.8828| 4.8828 | 0.0156 | -0.0000-0.0020j | -0.0371-0.0559j
88000 | -0.0003 | -0.0498 | 4.8839 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0498-0.0560j
89000 | 0.0001 | -0.0347 | 4.8837 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0347-0.0560j
90000 | 0.0001 | -0.0322 | 4.8832 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0322-0.0560j
91000 | -0.0002 | -0.0487 | 4.8846 | 4.8828| 4.8828 | 0.0156 | -0.0002-0.0020j | -0.0487-0.0562j
92000 | -0.0002 | -0.0450 | 4.8839 | 4.8828| 4.8828 | 0.0156 | -0.0002-0.0020j | -0.0450-0.0558j
93000 | -0.0002 | -0.0451 | 4.8836 | 4.8828| 4.8828 | 0.0156 | -0.0002-0.0020j | -0.0451-0.0566j
94000 | 0.0002 | -0.0302 | 4.8838 | 4.8828| 4.8828 | 0.0156 | 0.0002-0.0020j | -0.0302-0.0562j
95000 | 0.0000 | -0.0375 | 4.8834 | 4.8828| 4.8828 | 0.0156 | 0.0000-0.0020j | -0.0375-0.0556j
96000 | 0.0005 | -0.0162 | 4.8830 | 4.8828| 4.8828 | 0.0156 | 0.0005-0.0020j | -0.0162-0.0560j
97000 | -0.0002 | -0.0460 | 4.8839 | 4.8828| 4.8828 | 0.0156 | -0.0002-0.0020j | -0.0460-0.0561j
98000 | -0.0002 | -0.0479 | 4.8838 | 4.8828| 4.8828 | 0.0156 | -0.0002-0.0020j | -0.0479-0.0553j
99000 | 0.0000 | -0.0351 | 4.8834 | 4.8828| 4.8828 | 0.0156 | 0.0000-0.0020j | -0.0351-0.0559j
100000 | -0.0003 | -0.0497 | 4.8834 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0497-0.0553j
