# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
122000 -2.41 0.00 0.02 -31.33+0.00j
123000 -7.02 0.00 0.02 -77.40+0.00j
124000 -9.63 0.00 0.02 -103.44+0.00j
125000 -11.38 0.00 0.02 -120.99+0.00j
126000 -5.14 0.00 0.02 -58.59-0.00j
127000 -4.81 0.00 0.02 -55.24+0.00j
128000 -4.14 0.00 0.02 -48.59-0.00j
129000 -9.41 0.00 0.02 -101.32+0.00j
130000 -22.83 -0.00 0.02 -235.50+0.00j
131000 -13.76 -0.00 0.02 -144.76+0.00j
132000 -13.72 0.00 0.02 -144.35-0.00j
133000 -8.05 0.00 0.02 -87.64+0.00j
134000 -9.82 0.00 0.02 -105.37+0.00j
135000 -7.71 0.00 0.02 -84.30-0.00j
136000 -7.58 0.00 0.02 -82.95+0.00j
137000 -15.43 0.00 0.02 -161.44+0.00j
138000 -15.50 -0.00 0.02 -162.22-0.00j
139000 -12.11 0.00 0.02 -128.30+0.00j
140000 -12.31 0.00 0.02 -130.29-0.00j
141000 -13.56 -0.00 0.02 -142.74-0.00j
142000 -0.51 0.00 0.02 -12.32+0.00j
143000 -2.46 0.00 0.02 -31.77-0.00j
144000 -10.69 0.00 0.02 -114.08-0.00j
145000 -9.39 0.00 0.02 -101.13-0.00j
146000 -14.10 0.00 0.02 -148.21-0.00j
147000 -9.26 0.00 0.02 -99.81+0.00j
148000 -7.95 0.00 0.02 -86.71+0.00j
149000 -0.27 0.00 0.02 -9.83+0.00j
150000 -3.99 0.00 0.02 -47.10+0.00j
151000 -5.81 0.00 0.02 -65.33+0.00j
152000 -8.68 0.00 0.02 -93.98+0.00j
153000 -16.39 -0.00 0.02 -171.05+0.00j
154000 -9.92 0.00 0.02 -106.34+0.00j
155000 -6.55 0.00 0.02 -72.70+0.00j
156000 -1.80 0.00 0.02 -25.21+0.00j
157000 -10.39 0.00 0.02 -111.09+0.00j
158000 -6.70 0.00 0.02 -74.17+0.00j
159000 -14.27 0.00 0.02 -149.85-0.00j
160000 -7.82 0.00 0.02 -85.41+0.00j
161000 -8.19 0.00 0.02 -89.11+0.00j
162000 -5.47 0.00 0.02 -61.91-0.00j
163000 -18.36 -0.00 0.02 -190.79+0.00j
164000 -11.95 0.00 0.02 -126.68+0.00j
165000 -9.99 0.00 0.02 -107.06+0.00j
166000 -5.36 0.00 0.02 -60.75+0.00j
167000 -5.40 0.00 0.02 -61.23-0.00j
168000 -11.41 0.00 0.02 -121.31+0.00j
169000 -8.36 0.00 0.02 -90.74-0.00j
170000 -12.61 0.00 0.02 -133.30+0.00j
171000 -8.29 0.00 0.02 -90.05+0.00j
172000 -19.50 -0.00 0.02 -202.16+0.00j
173000 -21.12 0.00 0.02 -218.39-0.00j
174000 -10.85 0.00 0.02 -115.70+0.00j
175000 -14.82 0.00 0.02 -155.43-0.00j
