# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -44.8978 | -39.1950 | 4.8831 | 4.8828| 0.0156 | -0.0001+0.0001j | -1.9526-0.0029j
2000 | -44.9043 | -78.6218 | 4.8831 | 4.8828| 0.0156 | -0.0004+0.0001j | -3.9239-0.0008j
3000 | -44.9057 | -117.9282 | 4.8831 | 4.8828| 0.0156 | -0.0004+0.0000j | -5.8892+0.0009j
4000 | -44.9058 | -157.0961 | 4.8831 | 4.8828| 0.0156 | -0.0004+0.0000j | -7.8476+0.0070j
5000 | -44.9080 | -196.2463 | 4.8831 | 4.8828| 0.0156 | -0.0006-0.0000j | -9.8051-0.0249j
6000 | -44.9091 | -236.6958 | 4.8832 | 4.8828| 0.0156 | -0.0006+0.0000j | -11.8276+0.0762j
7000 | -44.9096 | -277.1197 | 4.8832 | 4.8828| 0.0156 | -0.0006-0.0000j | -13.8488+0.1497j
8000 | -44.9134 | -319.2682 | 4.8832 | 4.8828| 0.0156 | -0.0008-0.0000j | -15.9562-0.0405j
9000 | -44.9180 | -364.3062 | 4.8833 | 4.8828| 0.0156 | -0.0011-0.0001j | -18.2081+0.0851j
10000 | -44.9180 | -412.2504 | 4.8834 | 4.8828| 0.0156 | -0.0011-0.0001j | -20.6053-0.1256j
11000 | -44.9199 | -462.3491 | 4.8835 | 4.8828| 0.0156 | -0.0012-0.0001j | -23.1103+0.0841j
12000 | -44.9218 | -516.6443 | 4.8836 | 4.8828| 0.0156 | -0.0013-0.0002j | -25.8250+0.0013j
13000 | -44.9252 | -574.6465 | 4.8837 | 4.8828| 0.0156 | -0.0014-0.0002j | -28.7251+0.1509j
14000 | -44.9298 | -636.4036 | 4.8838 | 4.8828| 0.0156 | -0.0017-0.0001j | -31.8130+0.0610j
