# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
1000 -14.35 0.00 0.00 -0.00 0.00 0.01+0.00j
2000 -14.35 0.02 0.00 0.00 -0.00 0.01+0.01j
3000 -14.34 0.01 0.00 -0.00 -0.00 0.02+0.00j
4000 -14.33 0.02 0.00 0.00 0.00 0.02+0.01j
5000 -14.32 0.02 0.00 -0.00 0.00 0.02+0.01j
6000 -14.31 0.02 0.00 -0.00 -0.00 0.03+0.01j
7000 -14.30 0.03 0.00 0.00 0.00 0.03+0.01j
8000 -14.30 0.03 0.00 0.00 0.00 0.03+0.02j
9000 -14.30 0.05 0.00 -0.00 -0.00 0.03+0.02j
10000 -14.29 0.08 0.00 0.00 0.00 0.04+0.04j
11000 -14.29 0.08 0.00 0.00 0.00 0.04+0.04j
12000 -14.28 0.07 0.00 -0.00 0.00 0.04+0.04j
13000 -14.28 0.06 0.00 0.00 -0.00 0.04+0.03j
14000 -14.28 0.07 0.00 0.00 -0.00 0.04+0.03j
15000 -14.28 0.07 0.00 0.00 0.00 0.04+0.04j
16000 -14.28 0.08 0.00 0.00 -0.00 0.05+0.04j
17000 -14.28 0.10 0.00 -0.00 -0.00 0.04+0.05j
18000 -14.28 0.08 0.00 -0.00 -0.00 0.04+0.04j
19000 -14.27 0.08 0.00 0.00 0.00 0.05+0.04j
20000 -14.27 0.06 0.00 -0.00 0.00 0.05+0.03j
21000 -14.27 0.06 0.00 -0.00 -0.00 0.05+0.03j
22000 -14.26 0.07 0.00 0.00 -0.00 0.05+0.04j
23000 -14.26 0.06 0.00 -0.00 0.00 0.05+0.03j
24000 -14.25 0.07 0.00 0.00 0.00 0.06+0.04j
25000 -14.26 0.07 0.00 0.00 0.00 0.05+0.04j
26000 -14.26 0.08 0.00 0.00 0.00 0.05+0.04j
27000 -14.26 0.06 0.00 0.00 -0.00 0.05+0.03j
28000 -14.25 0.04 0.00 -0.00 0.00 0.06+0.02j
29000 -14.25 0.03 0.00 -0.00 -0.00 0.06+0.02j
30000 -14.25 0.03 0.00 0.00 -0.00 0.06+0.01j
31000 -14.25 0.03 0.00 -0.00 0.00 0.06+0.01j
32000 -14.25 0.01 0.00 -0.00 -0.00 0.06+0.01j
33000 -14.24 0.02 0.00 0.00 -0.00 0.06+0.01j
34000 -14.24 0.01 0.00 -0.00 -0.00 0.06+0.00j
35000 -14.24 0.03 0.00 0.00 -0.00 0.06+0.01j
36000 -14.25 0.03 0.00 0.00 -0.00 0.06+0.01j
37000 -14.24 0.01 0.00 -0.00 0.00 0.06+0.00j
38000 -14.25 0.01 0.00 -0.00 -0.00 0.06+0.00j
39000 -14.24 0.01 0.00 0.00 0.00 0.06+0.01j
40000 -14.24 0.00 0.00 -0.00 0.00 0.06+0.00j
41000 -14.24 0.01 0.00 0.00 0.00 0.06+0.01j
42000 -14.24 0.04 0.00 -0.00 -0.00 0.06+0.02j
43000 -14.24 0.00 0.00 0.00 0.00 0.06+0.00j
44000 -14.24 -0.01 0.00 -0.00 -0.00 0.06-0.01j
45000 -14.24 -0.00 0.00 0.00 0.00 0.06-0.00j
46000 -14.24 -0.01 0.00 0.00 0.00 0.06-0.00j
47000 -14.24 -0.01 0.00 -0.00 0.00 0.06-0.00j
48000 -14.23 -0.00 0.00 -0.00 0.00 0.07-0.00j
49000 -14.22 0.00 0.00 0.00 -0.00 0.07+0.00j
50000 -14.23 -0.01 0.00 0.00 -0.00 0.07-0.01j
51000 -14.23 -0.00 0.00 0.00 -0.00 0.07-0.00j
52000 -14.24 -0.01 0.00 0.00 0.00 0.06-0.00j
53000 -14.25 -0.00 0.00 0.00 -0.00 0.06-0.00j
54000 -14.25 -0.01 0.00 -0.00 0.00 0.06-0.01j
55000 -14.25 -0.02 0.00 -0.00 0.00 0.06-0.01j
56000 -14.25 0.00 0.00 0.00 -0.00 0.06+0.00j
57000 -14.25 0.01 0.00 -0.00 -0.00 0.06+0.01j
58000 -14.25 0.00 0.00 0.00 0.00 0.06+0.00j
59000 -14.25 -0.02 0.00 -0.00 -0.00 0.06-0.01j
60000 -14.25 -0.03 0.00 0.00 -0.00 0.06-0.01j
61000 -14.25 -0.02 0.00 0.00 -0.00 0.06-0.01j
62000 -14.26 -0.03 0.00 0.00 -0.00 0.05-0.02j
63000 -14.27 -0.03 0.00 0.00 0.00 0.05-0.01j
64000 -14.27 -0.04 0.00 -0.00 -0.00 0.05-0.02j
65000 -14.26 -0.04 0.00 0.00 0.00 0.05-0.02j
66000 -14.27 -0.02 0.00 0.00 -0.00 0.05-0.01j
67000 -14.26 -0.00 0.00 -0.00 0.00 0.05-0.00j
68000 -14.27 -0.01 0.00 0.00 0.00 0.05-0.01j
69000 -14.26 -0.00 0.00 -0.00 0.00 0.05-0.00j
70000 -14.26 -0.02 0.00 0.00 -0.00 0.05-0.01j
71000 -14.26 -0.03 0.00 0.00 -0.00 0.05-0.01j
72000 -14.26 -0.01 0.00 -0.00 -0.00 0.05-0.01j
73000 -14.26 -0.01 0.00 0.00 0.00 0.05-0.01j
74000 -14.26 -0.04 0.00 -0.00 -0.00 0.05-0.02j
75000 -14.26 -0.02 0.00 -0.00 -0.00 0.06-0.01j
76000 -14.26 0.00 0.00 0.00 0.00 0.05+0.00j
77000 -14.25 0.01 0.00 0.00 0.00 0.06+0.00j
78000 -14.25 0.02 0.00 -0.00 -0.00 0.06+0.01j
79000 -14.25 -0.02 0.00 -0.00 -0.00 0.06-0.01j
80000 -14.25 -0.04 0.00 0.00 0.00 0.06-0.02j
81000 -14.24 -0.03 0.00 -0.00 -0.00 0.06-0.02j
82000 -14.25 -0.01 0.00 0.00 0.00 0.06-0.00j
83000 -14.24 -0.01 0.00 -0.00 0.00 0.06-0.01j
84000 -14.25 0.01 0.00 -0.00 -0.00 0.06+0.00j
85000 -14.25 -0.01 0.00 0.00 -0.00 0.06-0.00j
86000 -14.25 -0.02 0.00 0.00 -0.00 0.06-0.01j
87000 -14.25 -0.03 0.00 -0.00 -0.00 0.06-0.01j
88000 -14.25 -0.03 0.00 -0.00 0.00 0.06-0.02j
89000 -14.25 -0.02 0.00 0.00 0.00 0.06-0.01j
90000 -14.25 -0.00 0.00 -0.00 -0.00 0.06-0.00j
91000 -14.25 -0.03 0.00 -0.00 0.00 0.06-0.02j
92000 -14.25 -0.05 0.00 -0.00 0.00 0.06-0.02j
93000 -14.25 -0.04 0.00 0.00 0.00 0.06-0.02j
94000 -14.25 -0.04 0.00 0.00 -0.00 0.06-0.02j
95000 -14.25 -0.06 0.00 0.00 0.00 0.06-0.03j
96000 -14.26 -0.05 0.00 0.00 -0.00 0.06-0.03j
97000 -14.25 -0.05 0.00 -0.00 -0.00 0.06-0.03j
98000 -14.24 -0.07 0.00 -0.00 -0.00 0.06-0.03j
99000 -14.25 -0.07 0.00 0.00 0.00 0.06-0.04j
