# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -224.4854 | -47.4998 | 4.8879 | 4.8828| 0.0156 | -0.0000-0.0000j | -0.4678+0.0008j
2000 | -224.4860 | -86.4913 | 4.8879 | 4.8828| 0.0156 | -0.0000-0.0000j | -0.8577+0.0007j
3000 | -224.4877 | -125.5648 | 4.8879 | 4.8828| 0.0156 | -0.0000-0.0000j | -1.2485+0.0009j
4000 | -224.4902 | -164.6377 | 4.8879 | 4.8828| 0.0156 | -0.0001-0.0000j | -1.6392+0.0004j
5000 | -224.4926 | -203.8226 | 4.8879 | 4.8828| 0.0156 | -0.0001-0.0000j | -2.0310-0.0003j
6000 | -224.4942 | -243.0869 | 4.8879 | 4.8828| 0.0156 | -0.0001-0.0000j | -2.4237-0.0013j
7000 | -224.4964 | -282.5354 | 4.8879 | 4.8828| 0.0156 | -0.0001-0.0000j | -2.8182-0.0030j
8000 | -224.4989 | -322.1794 | 4.8879 | 4.8828| 0.0156 | -0.0001-0.0000j | -3.2146-0.0102j
9000 | -224.5003 | -363.2106 | 4.8879 | 4.8828| 0.0156 | -0.0002-0.0000j | -3.6249-0.0216j
10000 | -224.5031 | -407.5766 | 4.8879 | 4.8828| 0.0156 | -0.0002-0.0000j | -4.0686+0.0307j
11000 | -224.5056 | -453.5225 | 4.8880 | 4.8828| 0.0156 | -0.0002-0.0000j | -4.5280+0.0117j
12000 | -224.5081 | -502.6062 | 4.8880 | 4.8828| 0.0156 | -0.0002-0.0000j | -5.0189-0.0107j
13000 | -224.5095 | -554.9362 | 4.8881 | 4.8828| 0.0156 | -0.0003-0.0000j | -5.5422+0.0246j
14000 | -224.5119 | -611.0754 | 4.8881 | 4.8828| 0.0156 | -0.0003+0.0000j | -6.1036+0.0054j
15000 | -224.5151 | -671.3459 | 4.8882 | 4.8828| 0.0156 | -0.0003+0.0000j | -6.7063-0.0250j
