# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
50000 | -0.0270 | 52.1710 | 4.8929 | 4.8828| 0.0156 | -0.4516-0.5601j | 5217.1116+35.6346j
51000 | -0.0253 | 52.2741 | 4.8929 | 4.8828| 0.0156 | -0.2809-0.3731j | 5227.4194+23.7173j
52000 | -0.0266 | 52.1827 | 4.8929 | 4.8828| 0.0156 | -0.4168+0.7929j | 5218.2789-50.4415j
53000 | -0.0241 | 52.3538 | 4.8929 | 4.8828| 0.0156 | -0.1612-3.0003j | 5235.3920+192.4901j
54000 | -0.0300 | 51.9861 | 4.8929 | 4.8828| 0.0156 | -0.7508+0.7540j | 5198.6198-48.5449j
55000 | -0.0052 | 53.5671 | 4.8929 | 4.8828| 0.0156 | 1.7298+0.6958j | 5356.7124-45.4081j
56000 | -0.0256 | 52.2502 | 4.8929 | 4.8828| 0.0156 | -0.3123+0.7948j | 5225.0234-50.6111j
57000 | -0.0095 | 53.2942 | 4.8929 | 4.8828| 0.0156 | 1.2993-2.6570j | 5329.4255+170.6138j
58000 | -0.0237 | 52.3762 | 4.8929 | 4.8828| 0.0156 | -0.1288+0.8525j | 5237.6295-55.0876j
59000 | -0.0156 | 52.8954 | 4.8929 | 4.8828| 0.0156 | 0.6878-0.7600j | 5289.5498+48.3147j
60000 | -0.0175 | 52.7730 | 4.8929 | 4.8828| 0.0156 | 0.4931-0.0784j | 5277.3066+4.8891j
61000 | -0.0404 | 51.3107 | 4.8929 | 4.8828| 0.0156 | -1.7942+0.1378j | 5131.0762-8.5230j
62000 | -0.0208 | 52.5636 | 4.8929 | 4.8828| 0.0156 | 0.1660+0.5613j | 5256.3702-36.1380j
63000 | -0.0171 | 52.8044 | 4.8929 | 4.8828| 0.0156 | 0.5355+0.8054j | 5280.4496-51.0229j
64000 | -0.0317 | 51.8535 | 4.8929 | 4.8828| 0.0156 | -0.9271+0.2269j | 5185.3619-15.2877j
65000 | -0.0167 | 52.8253 | 4.8929 | 4.8828| 0.0156 | 0.5735+2.4939j | 5282.5331-159.3266j
66000 | -0.0240 | 52.3480 | 4.8929 | 4.8828| 0.0156 | -0.1588+1.0234j | 5234.8061-65.7191j
67000 | -0.0308 | 51.9328 | 4.8929 | 4.8828| 0.0156 | -0.8367-0.5505j | 5193.2832+36.1840j
68000 | -0.0351 | 51.6427 | 4.8929 | 4.8828| 0.0156 | -1.2612+2.2144j | 5164.2745-142.1768j
69000 | -0.0314 | 51.8883 | 4.8929 | 4.8828| 0.0156 | -0.8906+0.4756j | 5188.8397-30.0423j
70000 | -0.0251 | 52.2943 | 4.8929 | 4.8828| 0.0156 | -0.2627-0.7038j | 5229.4385+45.3999j
71000 | -0.0167 | 52.8078 | 4.8929 | 4.8828| 0.0156 | 0.5747-0.7079j | 5280.7881+46.2132j
72000 | -0.0372 | 51.5188 | 4.8929 | 4.8828| 0.0156 | -1.4729-1.1189j | 5151.8858+71.4814j
73000 | -0.0205 | 52.5820 | 4.8929 | 4.8828| 0.0156 | 0.1933+1.6207j | 5258.2035-103.0303j
74000 | -0.0373 | 51.5079 | 4.8929 | 4.8828| 0.0156 | -1.4829-0.9518j | 5150.7949+61.0591j
75000 | -0.0328 | 51.8069 | 4.8929 | 4.8828| 0.0156 | -1.0315-0.2221j | 5180.6942+15.3840j
76000 | -0.0336 | 51.7450 | 4.8929 | 4.8828| 0.0156 | -1.1182-0.6580j | 5174.5112+41.6415j
77000 | -0.0135 | 53.0268 | 4.8929 | 4.8828| 0.0156 | 0.8928-0.5008j | 5302.6844+32.8060j
78000 | -0.0184 | 52.7251 | 4.8929 | 4.8828| 0.0156 | 0.4019-2.4579j | 5272.5215+157.6601j
79000 | -0.0255 | 52.2691 | 4.8929 | 4.8828| 0.0156 | -0.3016+1.0030j | 5226.9188-63.8945j
80000 | -0.0155 | 52.8969 | 4.8929 | 4.8828| 0.0156 | 0.6922+0.0069j | 5289.6974-0.9920j
81000 | -0.0122 | 53.1222 | 4.8929 | 4.8828| 0.0156 | 1.0235-0.4152j | 5312.2285+27.0635j
82000 | -0.0133 | 53.0468 | 4.8929 | 4.8828| 0.0156 | 0.9163-0.7721j | 5304.6835+49.9485j
83000 | -0.0417 | 51.2221 | 4.8929 | 4.8828| 0.0156 | -1.9237+0.4688j | 5122.2211-29.9881j
84000 | -0.0271 | 52.1721 | 4.8929 | 4.8828| 0.0156 | -0.4623-0.2667j | 5217.2135+17.1472j
85000 | -0.0296 | 52.0050 | 4.8929 | 4.8828| 0.0156 | -0.7118+0.7127j | 5200.5028-45.8728j
86000 | -0.0400 | 51.3304 | 4.8929 | 4.8828| 0.0156 | -1.7560-0.4468j | 5133.0468+27.3771j
87000 | -0.0326 | 51.7970 | 4.8929 | 4.8828| 0.0156 | -1.0199-0.0233j | 5179.7107+0.4504j
88000 | -0.0340 | 51.7253 | 4.8929 | 4.8828| 0.0156 | -1.1543+1.9753j | 5172.5349-127.1435j
89000 | -0.0118 | 53.1430 | 4.8929 | 4.8828| 0.0156 | 1.0615+0.8432j | 5314.3103-53.0535j
90000 | -0.0445 | 51.0536 | 4.8929 | 4.8828| 0.0156 | -2.2007+0.6899j | 5105.3665-43.9954j
91000 | -0.0225 | 52.4422 | 4.8929 | 4.8828| 0.0156 | -0.0093+1.1728j | 5244.2301-74.3674j
92000 | -0.0411 | 51.2700 | 4.8929 | 4.8828| 0.0156 | -1.8633+3.1701j | 5127.0120-202.7009j
93000 | -0.0216 | 52.5142 | 4.8929 | 4.8828| 0.0156 | 0.0866+1.6369j | 5251.4288-104.4580j
94000 | -0.0200 | 52.6020 | 4.8929 | 4.8828| 0.0156 | 0.2471+1.0944j | 5260.2109-70.7012j
95000 | -0.0302 | 51.9697 | 4.8929 | 4.8828| 0.0156 | -0.7749-0.7820j | 5196.9809+50.1369j
96000 | -0.0320 | 51.8370 | 4.8929 | 4.8828| 0.0156 | -0.9581-0.6972j | 5183.7115+44.6205j
97000 | -0.0349 | 51.6526 | 4.8929 | 4.8828| 0.0156 | -1.2431-0.0193j | 5165.2692+1.3863j
98000 | -0.0542 | 50.4254 | 4.8929 | 4.8828| 0.0156 | -3.1744+2.0493j | 5042.5492-131.3236j
99000 | -0.0167 | 52.8241 | 4.8929 | 4.8828| 0.0156 | 0.5738-1.2690j | 5282.4151+80.6851j
100000 | -0.0130 | 53.0652 | 4.8929 | 4.8828| 0.0156 | 0.9494+2.5716j | 5306.5227-165.2222j
