# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 30.25 0.01 0.02 1519.66-123.02j
2000 29.62 0.01 0.02 1488.12+16.04j
3000 30.89 0.01 0.02 1551.61-51.19j
4000 30.41 0.01 0.02 1527.63-114.30j
5000 30.75 0.01 0.02 1544.80-48.22j
6000 29.53 0.01 0.02 1483.84-73.13j
7000 30.43 0.01 0.02 1528.45+42.97j
8000 31.39 0.01 0.02 1576.65-133.60j
9000 29.56 0.01 0.02 1485.41+71.79j
10000 30.73 0.01 0.02 1543.70-39.68j
11000 30.39 0.01 0.02 1526.58+67.01j
12000 29.68 0.01 0.02 1491.08-139.07j
13000 31.15 0.01 0.02 1564.91+119.13j
14000 30.48 0.01 0.02 1531.23+58.10j
15000 30.90 0.01 0.02 1552.20-80.40j
16000 30.45 0.01 0.02 1529.55-153.37j
17000 30.61 0.01 0.02 1537.90-148.46j
18000 30.33 0.01 0.02 1523.55+73.83j
19000 30.20 0.01 0.02 1517.02-105.73j
20000 31.10 0.01 0.02 1562.43+107.21j
21000 29.88 0.01 0.02 1501.09-6.05j
22000 30.68 0.01 0.02 1541.29+62.10j
23000 29.78 0.01 0.02 1496.30+81.38j
24000 30.56 0.01 0.02 1534.98-149.36j
25000 30.72 0.01 0.02 1543.05+22.65j
26000 30.74 0.01 0.02 1543.98-122.57j
27000 31.69 0.01 0.02 1591.66-57.85j
28000 29.43 0.01 0.02 1478.48-117.42j
29000 30.62 0.01 0.02 1538.15+8.06j
30000 30.15 0.01 0.02 1514.60+64.49j
31000 29.91 0.01 0.02 1502.49+111.87j
32000 30.87 0.01 0.02 1550.81-132.99j
33000 29.80 0.01 0.02 1497.18-22.90j
34000 30.81 0.01 0.02 1547.53+111.69j
35000 30.30 0.01 0.02 1522.07+102.61j
36000 30.31 0.01 0.02 1522.59-20.78j
37000 29.44 0.01 0.02 1479.02+14.17j
38000 30.86 0.01 0.02 1549.95-69.87j
39000 30.39 0.01 0.02 1526.81+53.04j
40000 31.13 0.01 0.02 1563.61-84.05j
41000 30.00 0.01 0.02 1507.20+9.60j
42000 31.21 0.01 0.02 1567.49-143.73j
43000 30.87 0.01 0.02 1550.62-44.58j
44000 30.84 0.01 0.02 1549.38+7.75j
45000 31.12 0.01 0.02 1563.17-79.09j
46000 30.90 0.01 0.02 1552.29+12.85j
47000 30.43 0.01 0.02 1528.71+118.00j
