# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
48000 29.78 0.01 0.02 1496.11-156.55j
49000 30.03 0.01 0.02 1508.83-147.70j
50000 30.28 0.01 0.02 1521.20-66.15j
51000 29.84 0.01 0.02 1499.16+25.09j
52000 31.18 0.01 0.02 1566.33-107.21j
53000 30.14 0.01 0.02 1513.94-134.97j
54000 30.37 0.01 0.02 1525.56-137.40j
55000 30.81 0.01 0.02 1547.53+156.97j
56000 30.44 0.01 0.02 1528.97-92.66j
57000 30.55 0.01 0.02 1534.65-23.89j
58000 30.01 0.01 0.02 1507.65-30.11j
59000 30.62 0.01 0.02 1538.04+26.16j
60000 29.65 0.01 0.02 1489.61+24.31j
61000 30.60 0.01 0.02 1537.06-33.71j
62000 31.93 0.01 0.02 1603.44-8.18j
63000 30.92 0.01 0.02 1552.93+22.16j
64000 29.64 0.01 0.02 1489.05+104.48j
65000 30.66 0.01 0.02 1540.37+30.71j
66000 30.24 0.01 0.02 1519.20-67.40j
67000 31.09 0.01 0.02 1561.51-152.18j
68000 30.92 0.01 0.02 1553.25+10.59j
69000 29.32 0.01 0.02 1473.37+125.05j
70000 29.35 0.01 0.02 1474.58+110.69j
71000 30.01 0.01 0.02 1507.70+43.12j
72000 30.46 0.01 0.02 1530.23-26.01j
73000 30.52 0.01 0.02 1533.43-105.16j
74000 30.26 0.01 0.02 1520.40+111.89j
75000 30.19 0.01 0.02 1516.87-154.36j
76000 29.86 0.01 0.02 1499.94+93.41j
77000 30.02 0.01 0.02 1508.36+90.26j
78000 30.69 0.01 0.02 1541.68-132.27j
79000 30.09 0.01 0.02 1511.57-30.35j
80000 30.50 0.01 0.02 1532.29-126.27j
81000 30.51 0.01 0.02 1532.59-143.87j
82000 30.83 0.01 0.02 1548.62-64.86j
83000 30.91 0.01 0.02 1552.62-140.68j
84000 29.54 0.01 0.02 1484.06-110.35j
85000 30.72 0.01 0.02 1542.95-26.42j
86000 30.60 0.01 0.02 1537.19+106.72j
87000 30.24 0.01 0.02 1519.07-87.26j
88000 30.71 0.01 0.02 1542.47+36.20j
89000 29.25 0.01 0.02 1469.52-119.87j
90000 29.48 0.01 0.02 1480.96-87.55j
91000 30.19 0.01 0.02 1516.93+134.33j
92000 30.23 0.01 0.02 1518.81-29.87j
93000 29.97 0.01 0.02 1505.83-103.71j
94000 29.98 0.01 0.02 1506.17-114.07j
95000 31.01 0.01 0.02 1557.57+126.97j
96000 30.20 0.01 0.02 1517.43-56.73j
97000 29.77 0.01 0.02 1495.80+37.78j
98000 30.90 0.01 0.02 1552.43+124.21j
99000 29.60 0.01 0.02 1486.95-5.79j
100000 30.81 0.01 0.02 1547.56+23.53j
101000 29.87 0.01 0.02 1500.51+143.14j
102000 29.70 0.01 0.02 1492.14-92.12j
103000 30.27 0.01 0.02 1520.71+48.67j
104000 29.48 0.01 0.02 1481.28+118.41j
105000 29.70 0.01 0.02 1492.17-79.16j
106000 30.15 0.01 0.02 1514.48-141.86j
107000 30.01 0.01 0.02 1507.93-5.05j
108000 30.31 0.01 0.02 1522.72-80.07j
109000 29.64 0.01 0.02 1489.02-152.82j
110000 29.58 0.01 0.02 1486.23-36.69j
111000 32.11 0.01 0.02 1612.70+66.59j
112000 29.96 0.01 0.02 1505.34+68.33j
113000 30.09 0.01 0.02 1511.63-88.01j
114000 29.11 0.01 0.02 1462.80-120.22j
115000 30.04 0.01 0.02 1509.19+155.34j
116000 31.31 0.01 0.02 1572.67-97.96j
117000 30.57 0.01 0.02 1535.69+155.52j
118000 29.92 0.01 0.02 1503.24+34.97j
119000 30.86 0.01 0.02 1550.06-85.21j
120000 30.18 0.01 0.02 1516.10-85.86j
121000 31.92 0.01 0.02 1603.21-105.00j
122000 30.78 0.01 0.02 1546.38+89.53j
123000 29.73 0.01 0.02 1493.83+135.81j
124000 30.73 0.01 0.02 1543.45-121.08j
125000 28.89 0.01 0.02 1451.72-145.06j
126000 30.89 0.01 0.02 1551.56-1.53j
127000 30.17 0.01 0.02 1515.54+16.71j
128000 30.92 0.01 0.02 1552.98+127.68j
129000 30.29 0.01 0.02 1521.90-87.01j
130000 31.17 0.01 0.02 1565.44+149.46j
131000 30.99 0.01 0.02 1556.90-23.94j
132000 29.93 0.01 0.02 1503.84-42.23j
133000 30.23 0.01 0.02 1518.51+77.27j
134000 30.89 0.01 0.02 1551.67+83.56j
135000 30.46 0.01 0.02 1530.34+127.20j
136000 31.30 0.01 0.02 1572.11+49.42j
137000 29.22 0.01 0.02 1468.42+87.29j
138000 31.78 0.01 0.02 1596.02-102.60j
139000 30.32 0.01 0.02 1522.98+143.74j
140000 30.47 0.01 0.02 1530.76+68.08j
141000 31.83 0.01 0.02 1598.83+67.49j
142000 30.97 0.01 0.02 1555.44+132.58j
143000 29.91 0.01 0.02 1502.86+32.17j
144000 30.26 0.01 0.02 1520.10-30.21j
145000 29.94 0.01 0.02 1504.32-58.21j
146000 29.22 0.01 0.02 1468.12+128.14j
147000 31.15 0.01 0.02 1564.67+21.11j
148000 30.05 0.01 0.02 1509.89+123.68j
149000 29.17 0.01 0.02 1465.67+37.59j
150000 29.85 0.01 0.02 1499.86-135.64j
151000 29.13 0.01 0.02 1463.83+95.88j
152000 31.03 0.01 0.02 1558.50-141.38j
153000 30.03 0.01 0.02 1508.70-129.18j
154000 30.52 0.01 0.02 1533.05-59.07j
155000 29.73 0.01 0.02 1493.59-97.58j
156000 30.78 0.01 0.02 1546.12+55.22j
157000 30.17 0.01 0.02 1515.88-34.29j
158000 31.32 0.01 0.02 1572.94-22.61j
159000 28.95 0.01 0.02 1454.60-21.40j
160000 30.47 0.01 0.02 1530.84+55.38j
161000 30.31 0.01 0.02 1522.80+151.46j
162000 30.93 0.01 0.02 1553.86+25.61j
163000 31.02 0.01 0.02 1558.26-140.03j
164000 29.76 0.01 0.02 1495.37-15.35j
165000 30.42 0.01 0.02 1528.05+155.61j
166000 29.98 0.01 0.02 1506.23-152.42j
167000 29.87 0.01 0.02 1500.67+14.02j
168000 29.91 0.01 0.02 1502.58+79.76j
169000 30.11 0.01 0.02 1512.45+113.03j
170000 29.80 0.01 0.02 1497.41-54.74j
171000 31.07 0.01 0.02 1560.68+101.55j
172000 31.27 0.01 0.02 1570.51+124.93j
173000 29.77 0.01 0.02 1495.65-13.68j
174000 29.63 0.01 0.02 1488.51-97.11j
175000 30.30 0.01 0.02 1522.40-150.46j
176000 29.78 0.01 0.02 1496.08+126.32j
177000 29.57 0.01 0.02 1485.59-139.67j
178000 30.30 0.01 0.02 1522.35+47.59j
179000 30.38 0.01 0.02 1526.42+70.15j
180000 31.34 0.01 0.02 1574.01-4.12j
181000 30.71 0.01 0.02 1542.60-57.72j
182000 29.76 0.01 0.02 1495.29+87.98j
183000 29.97 0.01 0.02 1505.57+17.84j
184000 30.59 0.01 0.02 1536.46+53.95j
185000 30.85 0.01 0.02 1549.67+99.64j
186000 29.81 0.01 0.02 1497.50-139.67j
187000 29.79 0.01 0.02 1496.49-129.04j
188000 30.51 0.01 0.02 1532.56-23.27j
189000 29.69 0.01 0.02 1491.70+83.53j
190000 30.66 0.01 0.02 1540.22+114.31j
191000 29.48 0.01 0.02 1480.94-28.22j
192000 30.33 0.01 0.02 1523.86-35.83j
193000 30.14 0.01 0.02 1514.12-91.43j
194000 29.92 0.01 0.02 1503.06-105.07j
195000 29.78 0.01 0.02 1496.01+122.04j
196000 30.09 0.01 0.02 1511.49+105.87j
197000 30.72 0.01 0.02 1543.09+38.63j
198000 30.21 0.01 0.02 1517.70-73.64j
199000 29.49 0.01 0.02 1481.89+20.66j
