# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -4.0717 | 34.2745 | 5.9402 | 4.8828| 4.8828 | 0.0156 | 4.1803+0.0387j | 342.8168+2.3195j
2000 | -3.8557 | 51.3333 | 6.4751 | 4.8828| 4.8828 | 0.0156 | 6.3398+0.1178j | 513.4044+6.5505j
3000 | -3.7516 | 59.2764 | 6.7219 | 4.8828| 4.8828 | 0.0156 | 7.3812-0.2848j | 592.8361-20.9296j
4000 | -3.6961 | 63.5652 | 6.8592 | 4.8828| 4.8828 | 0.0156 | 7.9355-0.2009j | 635.7243-12.8799j
5000 | -3.6884 | 65.3296 | 6.8845 | 4.8828| 4.8828 | 0.0156 | 8.0131-0.0940j | 653.3675-5.8678j
6000 | -3.6660 | 66.1528 | 6.9334 | 4.8828| 4.8828 | 0.0156 | 8.2371+0.1118j | 661.6000+6.3428j
7000 | -3.6615 | 67.3671 | 6.9465 | 4.8828| 4.8828 | 0.0156 | 8.2821+0.0772j | 673.7427+4.1826j
8000 | -3.6417 | 68.3088 | 6.9959 | 4.8828| 4.8828 | 0.0156 | 8.4794-0.0150j | 683.1597-0.1537j
9000 | -3.6497 | 68.8684 | 6.9794 | 4.8828| 4.8828 | 0.0156 | 8.3996-0.1276j | 688.7555-6.6702j
10000 | -3.6508 | 67.8315 | 6.9750 | 4.8828| 4.8828 | 0.0156 | 8.3890+0.0206j | 678.3864+1.9022j
11000 | -3.6357 | 67.5058 | 7.0102 | 4.8828| 4.8828 | 0.0156 | 8.5403+0.1601j | 675.1298+10.2691j
12000 | -3.6420 | 67.7750 | 6.9888 | 4.8828| 4.8828 | 0.0156 | 8.4764+0.3517j | 677.8221+22.4386j
13000 | -3.6549 | 68.3884 | 6.9595 | 4.8828| 4.8828 | 0.0156 | 8.3474+0.0094j | 683.9561+1.0263j
14000 | -3.6496 | 67.8300 | 6.9765 | 4.8828| 4.8828 | 0.0156 | 8.4007-0.0780j | 678.3715-5.4026j
15000 | -3.6429 | 68.0159 | 6.9969 | 4.8828| 4.8828 | 0.0156 | 8.4681-0.0730j | 680.2311-3.9679j
16000 | -3.6493 | 67.9414 | 6.9827 | 4.8828| 4.8828 | 0.0156 | 8.4041-0.0307j | 679.4859+0.7340j
