# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 42.86 0.01 0.02 4279.07+0.00j
2000 55.45 0.01 0.02 5537.64+0.00j
3000 49.84 0.01 0.02 4976.68+0.00j
4000 47.73 0.01 0.02 4766.28+0.00j
5000 43.63 0.01 0.02 4356.16+0.00j
6000 48.80 0.01 0.02 4873.07+0.00j
7000 49.17 0.01 0.02 4909.54+0.00j
8000 46.10 0.01 0.02 4603.04+0.00j
9000 51.19 0.01 0.02 5111.80+0.00j
10000 49.81 0.01 0.02 4973.36+0.00j
11000 49.15 0.01 0.02 4908.14+0.00j
12000 52.00 0.01 0.02 5192.82+0.00j
13000 50.50 0.01 0.02 5043.19+0.00j
14000 47.86 0.01 0.02 4778.79+0.00j
15000 49.24 0.01 0.02 4917.21+0.00j
16000 51.53 0.01 0.02 5146.22+0.00j
17000 50.81 0.01 0.02 5073.32+0.00j
18000 52.46 0.01 0.02 5238.93+0.00j
19000 48.20 0.01 0.02 4813.00+0.00j
20000 54.96 0.01 0.02 5489.02+0.00j
21000 45.44 0.01 0.02 4536.49+0.00j
22000 50.04 0.01 0.02 4996.36+0.00j
23000 49.21 0.01 0.02 4913.79+0.00j
24000 50.68 0.01 0.02 5061.31+0.00j
25000 45.85 0.01 0.02 4578.17+0.00j
26000 49.15 0.01 0.02 4908.27+0.00j
27000 49.07 0.01 0.02 4900.09+0.00j
28000 51.34 0.01 0.02 5126.33+0.00j
29000 47.26 0.01 0.02 4718.35+0.00j
30000 51.68 0.01 0.02 5161.24+0.00j
31000 47.21 0.01 0.02 4713.85+0.00j
32000 44.70 0.01 0.02 4462.85+0.00j
33000 54.87 0.01 0.02 5480.11+0.00j
34000 53.72 0.01 0.02 5364.33+0.00j
35000 47.53 0.01 0.02 4746.00+0.00j
36000 49.69 0.01 0.02 4962.05+0.00j
37000 52.28 0.01 0.02 5221.00+0.00j
38000 52.05 0.01 0.02 5197.95+0.00j
39000 48.70 0.01 0.02 4862.83+0.00j
40000 55.78 0.01 0.02 5570.40+0.00j
41000 47.23 0.01 0.02 4716.15+0.00j
42000 54.53 0.01 0.02 5445.98+0.00j
43000 56.28 0.01 0.02 5621.13+0.00j
44000 48.59 0.01 0.02 4851.50+0.00j
45000 50.28 0.01 0.02 5020.46+0.00j
46000 53.87 0.01 0.02 5379.49+0.00j
47000 48.92 0.01 0.02 4884.97+0.00j
48000 47.28 0.01 0.02 4720.85+0.00j
49000 50.86 0.01 0.02 5078.61+0.00j
50000 51.15 0.01 0.02 5107.40+0.00j
51000 50.44 0.01 0.02 5037.01+0.00j
52000 54.90 0.01 0.02 5483.31+0.00j
53000 49.19 0.01 0.02 4911.44+0.00j
54000 45.56 0.01 0.02 4549.25+0.00j
55000 53.05 0.01 0.02 5297.80+0.00j
56000 54.03 0.01 0.02 5396.28+0.00j
57000 49.71 0.01 0.02 4963.55+0.00j
