# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
58000 45.98 0.01 0.02 4591.19-0.00j
59000 47.07 0.01 0.02 4699.38+0.00j
60000 51.66 0.01 0.02 5158.69+0.00j
61000 48.83 0.01 0.02 4875.50+0.00j
62000 51.08 0.01 0.02 5100.37+0.00j
63000 50.33 0.01 0.02 5025.52+0.00j
64000 48.60 0.01 0.02 4853.22+0.00j
65000 52.36 0.01 0.02 5228.86+0.00j
66000 57.02 0.01 0.02 5695.12+0.00j
67000 51.12 0.01 0.02 5105.22+0.00j
68000 53.12 0.01 0.02 5304.44+0.00j
69000 43.49 0.01 0.02 4342.05+0.00j
70000 45.46 0.01 0.02 4539.06+0.00j
71000 52.16 0.01 0.02 5208.96+0.00j
72000 52.90 0.01 0.02 5282.60+0.00j
73000 51.34 0.01 0.02 5127.08+0.00j
74000 52.00 0.01 0.02 5192.60+0.00j
75000 54.55 0.01 0.02 5447.55+0.00j
76000 50.35 0.01 0.02 5027.43+0.00j
77000 44.88 0.01 0.02 4480.46+0.00j
78000 45.81 0.01 0.02 4574.09+0.00j
79000 45.59 0.01 0.02 4552.06+0.00j
80000 48.30 0.01 0.02 4822.38+0.00j
81000 55.18 0.01 0.02 5510.53+0.00j
82000 46.24 0.01 0.02 4616.35+0.00j
83000 50.21 0.01 0.02 5013.48+0.00j
84000 48.45 0.01 0.02 4837.89+0.00j
85000 44.73 0.01 0.02 4466.12+0.00j
86000 47.02 0.01 0.02 4695.24+0.00j
87000 43.28 0.01 0.02 4320.76+0.00j
88000 49.87 0.01 0.02 4979.79+0.00j
89000 50.50 0.01 0.02 5043.03+0.00j
90000 47.20 0.01 0.02 4713.15+0.00j
91000 47.12 0.01 0.02 4705.29+0.00j
92000 44.34 0.01 0.02 4426.51+0.00j
93000 50.87 0.01 0.02 5079.96+0.00j
94000 51.14 0.01 0.02 5106.98+0.00j
95000 47.23 0.01 0.02 4715.85+0.00j
96000 50.69 0.01 0.02 5061.51+0.00j
97000 52.08 0.01 0.02 5201.09+0.00j
98000 51.90 0.01 0.02 5182.85+0.00j
99000 50.07 0.01 0.02 4999.96+0.00j
100000 57.34 0.01 0.02 5726.43+0.00j
101000 46.36 0.01 0.02 4628.50+0.00j
102000 52.74 0.01 0.02 5267.13+0.00j
103000 51.29 0.01 0.02 5122.00+0.00j
104000 47.01 0.01 0.02 4693.42+0.00j
105000 51.97 0.01 0.02 5189.42+0.00j
106000 45.03 0.01 0.02 4495.94+0.00j
107000 49.90 0.01 0.02 4983.13+0.00j
108000 47.13 0.01 0.02 4705.66+0.00j
109000 46.17 0.01 0.02 4609.95+0.00j
110000 48.07 0.01 0.02 4799.95+0.00j
111000 50.08 0.01 0.02 5001.15+0.00j
112000 46.13 0.01 0.02 4605.32+0.00j
113000 56.03 0.01 0.02 5595.51+0.00j
114000 53.44 0.01 0.02 5336.69+0.00j
115000 51.91 0.01 0.02 5183.66+0.00j
116000 50.03 0.01 0.02 4995.79+0.00j
117000 53.00 0.01 0.02 5292.50+0.00j
118000 50.84 0.01 0.02 5076.64+0.00j
119000 52.93 0.01 0.02 5285.53+0.00j
120000 53.36 0.01 0.02 5329.23+0.00j
121000 46.74 0.01 0.02 4666.36+0.00j
122000 48.13 0.01 0.02 4806.30+0.00j
123000 49.02 0.01 0.02 4894.67+0.00j
124000 51.24 0.01 0.02 5116.64+0.00j
125000 52.06 0.01 0.02 5199.23+0.00j
126000 43.24 0.01 0.02 4317.05+0.00j
127000 38.60 0.01 0.02 3853.02+0.00j
128000 52.70 0.01 0.02 5262.35+0.00j
129000 48.85 0.01 0.02 4878.03+0.00j
130000 48.67 0.01 0.02 4860.20+0.00j
131000 50.53 0.01 0.02 5046.01+0.00j
132000 48.38 0.01 0.02 4831.04+0.00j
133000 51.53 0.01 0.02 5145.88+0.00j
134000 50.35 0.01 0.02 5027.51+0.00j
135000 54.95 0.01 0.02 5487.33+0.00j
136000 53.75 0.01 0.02 5368.26+0.00j
137000 47.89 0.01 0.02 4781.52+0.00j
138000 49.14 0.01 0.02 4906.98+0.00j
139000 50.39 0.01 0.02 5031.39+0.00j
140000 52.02 0.01 0.02 5194.66+0.00j
141000 47.08 0.01 0.02 4700.42+0.00j
142000 50.67 0.01 0.02 5059.65+0.00j
143000 53.15 0.01 0.02 5307.87+0.00j
144000 45.33 0.01 0.02 4525.95+0.00j
145000 53.06 0.01 0.02 5298.71+0.00j
146000 45.38 0.01 0.02 4531.04-0.00j
147000 47.92 0.01 0.02 4784.38+0.00j
148000 48.90 0.01 0.02 4883.25+0.00j
149000 48.87 0.01 0.02 4879.67+0.00j
150000 55.16 0.01 0.02 5508.38+0.00j
151000 44.94 0.01 0.02 4487.30+0.00j
152000 45.05 0.01 0.02 4497.58+0.00j
153000 48.85 0.01 0.02 4877.39+0.00j
154000 47.91 0.01 0.02 4783.73+0.00j
155000 51.00 0.01 0.02 5093.28+0.00j
156000 50.10 0.01 0.02 5003.13+0.00j
157000 52.11 0.01 0.02 5203.91+0.00j
158000 49.57 0.01 0.02 4949.57+0.00j
159000 44.58 0.01 0.02 4451.17+0.00j
160000 52.63 0.01 0.02 5255.43+0.00j
161000 49.62 0.01 0.02 4954.66+0.00j
162000 48.79 0.01 0.02 4872.29+0.00j
163000 57.85 0.01 0.02 5778.12+0.00j
164000 45.97 0.01 0.02 4589.68+0.00j
165000 45.49 0.01 0.02 4542.22+0.00j
166000 46.64 0.01 0.02 4657.10+0.00j
167000 48.90 0.01 0.02 4882.84+0.00j
168000 52.32 0.01 0.02 5225.18+0.00j
169000 51.14 0.01 0.02 5107.15+0.00j
170000 51.15 0.01 0.02 5107.78+0.00j
171000 48.26 0.01 0.02 4818.61+0.00j
172000 53.99 0.01 0.02 5392.23+0.00j
173000 46.56 0.01 0.02 4648.39+0.00j
174000 51.22 0.01 0.02 5115.10+0.00j
175000 47.18 0.01 0.02 4711.09+0.00j
176000 52.79 0.01 0.02 5271.66+0.00j
177000 50.94 0.01 0.02 5087.26+0.00j
178000 49.45 0.01 0.02 4937.77+0.00j
179000 47.79 0.01 0.02 4772.20+0.00j
180000 48.65 0.01 0.02 4858.15+0.00j
181000 49.70 0.01 0.02 4963.16+0.00j
182000 48.85 0.01 0.02 4878.15+0.00j
183000 46.70 0.01 0.02 4663.16+0.00j
184000 51.73 0.01 0.02 5165.68-0.00j
185000 53.68 0.01 0.02 5360.88+0.00j
186000 57.49 0.01 0.02 5741.32+0.00j
187000 50.90 0.01 0.02 5083.24+0.00j
188000 45.53 0.01 0.02 4545.63+0.00j
189000 47.91 0.01 0.02 4783.89+0.00j
190000 52.75 0.01 0.02 5267.92+0.00j
191000 45.35 0.01 0.02 4527.47+0.00j
192000 47.98 0.01 0.02 4790.70+0.00j
193000 50.08 0.01 0.02 5000.86+0.00j
194000 43.29 0.01 0.02 4321.78+0.00j
195000 49.33 0.01 0.02 4925.33+0.00j
196000 48.65 0.01 0.02 4857.69+0.00j
197000 50.89 0.01 0.02 5082.11+0.00j
198000 50.08 0.01 0.02 5001.28+0.00j
199000 44.90 0.01 0.02 4483.17+0.00j
