# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 -11.81 0.00 0.02 -19.00+0.33j
2000 -59.55 -0.00 0.02 -66.73-0.28j
3000 -112.13 -0.00 0.02 -119.31-0.41j
4000 -144.13 -0.00 0.02 -151.31-0.05j
5000 -176.52 -0.00 0.02 -183.71+0.12j
6000 -222.07 -0.00 0.02 -229.26+0.08j
7000 -246.00 -0.00 0.02 -253.19+0.18j
8000 -286.87 -0.00 0.02 -294.06+0.42j
9000 -323.89 -0.00 0.02 -331.08+0.37j
10000 -354.02 -0.00 0.02 -361.20+0.30j
11000 -367.52 -0.00 0.02 -374.70+0.20j
12000 -383.62 -0.00 0.02 -390.80+0.02j
13000 -396.51 -0.00 0.02 -403.69-0.27j
14000 -397.83 -0.00 0.02 -405.01+0.01j
15000 -418.60 -0.00 0.02 -425.79+0.00j
16000 -442.75 -0.00 0.02 -449.93-0.08j
17000 -461.14 -0.00 0.02 -468.33-0.26j
18000 -474.82 -0.00 0.02 -482.00+0.16j
19000 -484.83 -0.00 0.02 -492.01+0.08j
20000 -496.79 -0.00 0.02 -503.97+0.17j
21000 -519.86 -0.00 0.02 -527.04+0.16j
22000 -544.03 -0.00 0.02 -551.21-0.20j
23000 -557.37 -0.00 0.02 -564.55-0.06j
24000 -530.66 -0.00 0.02 -537.85-0.15j
25000 -562.91 -0.00 0.02 -570.10-0.26j
26000 -558.28 -0.00 0.02 -565.47-0.22j
27000 -579.24 -0.00 0.02 -586.42-0.42j
28000 -585.16 -0.00 0.02 -592.34-0.89j
29000 -575.44 -0.00 0.02 -582.62-0.54j
30000 -573.36 -0.00 0.02 -580.55-0.76j
31000 -586.22 -0.00 0.02 -593.41-0.79j
32000 -592.46 -0.00 0.02 -599.64-0.22j
33000 -577.97 -0.00 0.02 -585.15-0.02j
34000 -593.76 -0.00 0.02 -600.94-0.02j
35000 -586.49 -0.00 0.02 -593.67+0.13j
36000 -584.28 -0.00 0.02 -591.47+0.10j
37000 -596.94 -0.00 0.02 -604.12+0.03j
38000 -580.30 0.00 0.02 -587.48+0.19j
39000 -573.83 0.00 0.02 -581.01+0.11j
40000 -594.71 0.00 0.02 -601.90+0.27j
41000 -604.84 -0.00 0.02 -612.02-0.31j
42000 -603.70 -0.00 0.02 -610.88-0.40j
43000 -615.84 -0.00 0.02 -623.02-0.12j
44000 -606.96 -0.00 0.02 -614.15+0.10j
45000 -613.95 -0.00 0.02 -621.13+0.08j
46000 -623.76 -0.00 0.02 -630.94+0.09j
47000 -611.90 -0.00 0.02 -619.08-0.15j
48000 -625.27 -0.00 0.02 -632.45-0.07j
49000 -638.10 -0.00 0.02 -645.28+0.06j
50000 -638.84 -0.00 0.02 -646.02-0.33j
51000 -640.02 -0.00 0.02 -647.20-0.45j
52000 -641.25 -0.01 0.02 -648.44-0.66j
53000 -649.13 -0.00 0.02 -656.31-0.50j
54000 -659.13 -0.00 0.02 -666.31+0.08j
100000 7.40 0.01 0.02 0.22+2.87j
101000 -24.70 0.01 0.02 -31.89-2.18j
102000 -73.38 0.01 0.02 -80.56-2.38j
103000 -111.49 0.01 0.02 -118.67-2.62j
104000 -168.03 0.01 0.02 -175.21-2.92j
105000 -196.53 0.01 0.02 -203.72+3.04j
106000 -236.74 0.01 0.02 -243.92+2.67j
107000 -279.14 0.01 0.02 -286.33+2.56j
108000 -328.67 0.01 0.02 -335.85+2.29j
109000 -354.77 0.00 0.02 -361.95+2.07j
110000 -394.11 0.01 0.02 -401.29+1.86j
111000 -428.37 0.01 0.02 -435.55+1.74j
112000 -439.54 0.01 0.02 -446.72+1.57j
113000 -471.87 0.01 0.02 -479.05+1.41j
114000 -503.48 0.00 0.02 -510.66+1.32j
115000 -515.53 0.00 0.02 -522.71+1.15j
116000 -508.04 0.00 0.02 -515.22+1.00j
117000 -516.47 0.00 0.02 -523.65+0.92j
118000 -532.81 0.00 0.02 -540.00+0.77j
119000 -552.89 0.00 0.02 -560.08+0.59j
120000 -570.55 -0.00 0.02 -577.73+0.60j
121000 -571.11 -0.00 0.02 -578.29+0.54j
122000 -587.46 -0.00 0.02 -594.65+0.47j
123000 -583.48 -0.00 0.02 -590.66+0.42j
124000 -607.64 -0.00 0.02 -614.82+0.30j
125000 -626.48 0.00 0.02 -633.66+0.28j
126000 -611.73 0.00 0.02 -618.92+0.29j
127000 -616.66 0.00 0.02 -623.85+0.29j
128000 -615.30 0.00 0.02 -622.48+0.26j
129000 -625.23 -0.00 0.02 -632.41+0.23j
130000 -619.21 -0.00 0.02 -626.39+0.24j
131000 -636.57 -0.00 0.02 -643.75+0.17j
132000 -654.75 -0.00 0.02 -661.94+0.14j
133000 -634.56 -0.00 0.02 -641.75+0.11j
134000 -638.09 -0.00 0.02 -645.28+0.08j
135000 -636.59 -0.00 0.02 -643.77+0.09j
136000 -647.67 -0.00 0.02 -654.85+0.05j
137000 -654.65 -0.00 0.02 -661.83-0.01j
138000 -640.88 -0.00 0.02 -648.06-0.01j
139000 -630.86 -0.00 0.02 -638.04-0.03j
140000 -646.04 -0.00 0.02 -653.22-0.06j
141000 -656.28 -0.00 0.02 -663.46-0.10j
142000 -667.46 -0.00 0.02 -674.65-0.07j
