# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
1000 -7.16 -0.01 0.00 0.00 -0.00 0.02-0.01j
2000 -7.14 0.02 0.00 0.00 -0.00 0.04+0.02j
3000 -7.14 -0.00 0.00 -0.00 0.00 0.05-0.00j
4000 -7.12 0.01 0.00 -0.00 0.00 0.06+0.01j
5000 -7.12 -0.02 0.00 -0.00 0.00 0.07-0.02j
6000 -7.12 -0.01 0.00 -0.00 -0.00 0.07-0.01j
7000 -7.11 -0.02 0.00 -0.00 -0.00 0.08-0.02j
8000 -7.11 -0.02 0.00 0.00 0.00 0.08-0.02j
9000 -7.10 -0.02 0.00 0.00 -0.00 0.08-0.02j
10000 -7.10 -0.02 0.00 -0.00 -0.00 0.09-0.02j
11000 -7.09 -0.02 0.00 -0.00 -0.00 0.09-0.02j
12000 -7.10 -0.01 0.00 -0.00 0.00 0.08-0.01j
13000 -7.10 -0.02 0.00 -0.00 -0.00 0.08-0.02j
14000 -7.10 0.01 0.00 0.00 -0.00 0.08+0.01j
15000 -7.10 0.01 0.00 -0.00 -0.00 0.09+0.01j
16000 -7.09 0.04 0.00 0.00 0.00 0.09+0.04j
17000 -7.09 0.02 0.00 0.00 0.00 0.09+0.02j
18000 -7.08 -0.02 0.00 0.00 -0.00 0.10-0.02j
19000 -7.08 -0.00 0.00 0.00 0.00 0.10-0.00j
20000 -7.08 -0.01 0.00 0.00 0.00 0.10-0.01j
21000 -7.08 0.02 0.00 -0.00 -0.00 0.10+0.02j
22000 -7.07 0.02 0.00 -0.00 -0.00 0.11+0.02j
23000 -7.07 0.03 0.00 -0.00 0.00 0.12+0.03j
24000 -7.07 0.05 0.00 -0.00 -0.00 0.12+0.05j
25000 -7.07 0.05 0.00 0.00 0.00 0.11+0.05j
26000 -7.08 0.03 0.00 0.00 0.00 0.10+0.03j
27000 -7.09 0.01 0.00 0.00 -0.00 0.10+0.01j
28000 -7.08 0.02 0.00 0.00 -0.00 0.10+0.02j
29000 -7.08 0.02 0.00 -0.00 0.00 0.10+0.02j
30000 -7.08 0.00 0.00 -0.00 0.00 0.11+0.00j
31000 -7.08 -0.03 0.00 0.00 0.00 0.11-0.03j
32000 -7.09 -0.02 0.00 0.00 0.00 0.10-0.02j
33000 -7.09 -0.03 0.00 -0.00 -0.00 0.10-0.03j
34000 -7.09 -0.03 0.00 0.00 -0.00 0.10-0.03j
35000 -7.09 0.02 0.00 0.00 0.00 0.10+0.02j
36000 -7.09 0.02 0.00 0.00 0.00 0.09+0.02j
37000 -7.09 0.05 0.00 0.00 -0.00 0.09+0.05j
38000 -7.09 0.05 0.00 0.00 -0.00 0.10+0.05j
39000 -7.07 0.06 0.00 0.00 0.00 0.11+0.06j
