# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
40000 -7.07 0.05 0.00 0.00 0.00 0.12+0.05j
41000 -7.07 0.04 0.00 -0.00 -0.00 0.12+0.04j
42000 -7.07 0.04 0.00 0.00 -0.00 0.11+0.04j
43000 -7.08 -0.00 0.00 -0.00 0.00 0.11-0.00j
44000 -7.07 0.03 0.00 -0.00 -0.00 0.11+0.03j
45000 -7.06 0.02 0.00 -0.00 -0.00 0.12+0.02j
46000 -7.08 0.05 0.00 0.00 0.00 0.11+0.05j
47000 -7.07 0.04 0.00 0.00 -0.00 0.12+0.04j
48000 -7.07 -0.00 0.00 -0.00 -0.00 0.12-0.00j
49000 -7.07 -0.00 0.00 0.00 0.00 0.11-0.00j
50000 -7.07 -0.03 0.00 -0.00 0.00 0.11-0.03j
51000 -7.08 -0.00 0.00 -0.00 0.00 0.11-0.00j
52000 -7.08 -0.01 0.00 -0.00 -0.00 0.11-0.01j
53000 -7.07 -0.04 0.00 0.00 0.00 0.12-0.04j
54000 -7.06 -0.05 0.00 -0.00 -0.00 0.13-0.05j
55000 -7.05 -0.06 0.00 -0.00 -0.00 0.13-0.06j
56000 -7.05 -0.06 0.00 0.00 -0.00 0.13-0.06j
57000 -7.05 -0.06 0.00 -0.00 0.00 0.13-0.06j
58000 -7.06 -0.04 0.00 0.00 0.00 0.12-0.04j
59000 -7.06 -0.03 0.00 -0.00 -0.00 0.12-0.03j
60000 -7.06 -0.02 0.00 -0.00 0.00 0.13-0.02j
61000 -7.05 -0.03 0.00 0.00 0.00 0.13-0.03j
62000 -7.06 -0.01 0.00 -0.00 -0.00 0.12-0.01j
63000 -7.07 -0.03 0.00 -0.00 0.00 0.11-0.03j
64000 -7.07 -0.03 0.00 0.00 -0.00 0.12-0.03j
65000 -7.06 -0.05 0.00 0.00 0.00 0.13-0.05j
66000 -7.06 -0.06 0.00 0.00 -0.00 0.12-0.06j
67000 -7.06 -0.06 0.00 0.00 0.00 0.12-0.06j
68000 -7.07 -0.05 0.00 0.00 -0.00 0.12-0.05j
69000 -7.07 -0.04 0.00 -0.00 -0.00 0.11-0.04j
70000 -7.07 -0.03 0.00 0.00 -0.00 0.12-0.03j
71000 -7.06 -0.01 0.00 0.00 0.00 0.12-0.01j
72000 -7.06 0.02 0.00 -0.00 0.00 0.12+0.02j
73000 -7.06 0.02 0.00 -0.00 0.00 0.12+0.02j
74000 -7.06 0.05 0.00 -0.00 -0.00 0.12+0.05j
75000 -7.07 0.06 0.00 0.00 0.00 0.11+0.06j
76000 -7.07 0.02 0.00 -0.00 -0.00 0.12+0.02j
77000 -7.07 0.01 0.00 -0.00 0.00 0.11+0.01j
78000 -7.07 0.02 0.00 -0.00 0.00 0.11+0.02j
79000 -7.08 0.04 0.00 0.00 -0.00 0.11+0.04j
80000 -7.08 -0.00 0.00 -0.00 0.00 0.11-0.00j
81000 -7.08 -0.02 0.00 0.00 0.00 0.11-0.02j
82000 -7.09 -0.00 0.00 0.00 -0.00 0.09-0.00j
83000 -7.08 -0.01 0.00 -0.00 -0.00 0.10-0.01j
84000 -7.08 -0.01 0.00 -0.00 0.00 0.11-0.01j
85000 -7.07 -0.00 0.00 0.00 0.00 0.11-0.00j
86000 -7.07 0.02 0.00 -0.00 0.00 0.11+0.02j
87000 -7.07 0.00 0.00 -0.00 0.00 0.11+0.00j
88000 -7.08 -0.02 0.00 -0.00 -0.00 0.10-0.02j
89000 -7.08 -0.02 0.00 -0.00 -0.00 0.10-0.02j
90000 -7.07 -0.03 0.00 0.00 -0.00 0.11-0.03j
91000 -7.09 -0.05 0.00 -0.00 0.00 0.10-0.05j
92000 -7.09 -0.06 0.00 0.00 -0.00 0.09-0.06j
93000 -7.08 -0.08 0.00 -0.00 -0.00 0.11-0.08j
94000 -7.08 -0.02 0.00 -0.00 -0.00 0.11-0.02j
95000 -7.07 0.00 0.00 -0.00 0.00 0.11+0.00j
96000 -7.07 -0.02 0.00 -0.00 0.00 0.11-0.02j
97000 -7.07 -0.01 0.00 -0.00 -0.00 0.11-0.01j
98000 -7.07 0.01 0.00 0.00 0.00 0.12+0.01j
99000 -7.07 0.01 0.00 0.00 0.00 0.12+0.01j
