# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 10.12 -0.00 0.02 108.38-25.68j
2000 10.94 -0.00 0.02 116.62-12.45j
3000 12.77 -0.00 0.02 134.88-16.90j
4000 12.66 -0.00 0.02 133.74-13.57j
5000 10.92 -0.00 0.02 116.42+10.95j
6000 11.69 -0.00 0.02 124.12+0.56j
7000 11.06 -0.00 0.02 117.80-19.46j
8000 11.48 -0.00 0.02 121.96-4.23j
9000 10.27 0.00 0.02 109.85+18.07j
10000 12.24 -0.00 0.02 129.61+6.98j
11000 13.87 -0.00 0.02 145.83+12.84j
12000 12.22 -0.00 0.02 129.41-25.19j
13000 11.05 -0.00 0.02 117.65+1.31j
14000 11.43 0.00 0.02 121.47-24.78j
15000 10.95 -0.00 0.02 116.72+29.17j
16000 13.31 -0.00 0.02 140.25-30.46j
17000 11.88 -0.00 0.02 126.00-30.41j
18000 12.73 -0.00 0.02 134.47+3.85j
19000 14.29 -0.00 0.02 150.04+6.68j
20000 10.75 -0.00 0.02 114.72+19.07j
21000 13.26 -0.00 0.02 139.77-29.94j
22000 10.84 -0.00 0.02 115.58-19.09j
23000 11.47 -0.00 0.02 121.92+7.38j
24000 11.63 -0.00 0.02 123.50-3.25j
25000 12.47 -0.00 0.02 131.84+27.67j
26000 13.94 -0.00 0.02 146.61+2.01j
27000 13.50 -0.00 0.02 142.15+27.97j
28000 15.64 -0.00 0.02 163.60-21.56j
29000 11.59 -0.00 0.02 123.05+8.07j
30000 15.17 -0.00 0.02 158.87-28.38j
31000 13.06 -0.00 0.02 137.75+20.56j
32000 10.39 0.00 0.02 111.04-21.17j
33000 12.84 -0.00 0.02 135.61+2.80j
34000 11.02 -0.00 0.02 117.43+29.78j
35000 12.21 -0.00 0.02 129.30-3.59j
36000 11.92 0.00 0.02 126.41-26.26j
37000 13.31 -0.00 0.02 140.26-21.87j
38000 11.27 0.00 0.02 119.93+25.02j
39000 14.89 0.00 0.02 156.12-23.30j
40000 11.51 0.00 0.02 122.27-3.20j
41000 13.73 -0.00 0.02 144.53+23.64j
42000 12.61 -0.00 0.02 133.27+5.37j
43000 12.80 -0.00 0.02 135.21-1.56j
44000 12.75 -0.00 0.02 134.69-2.32j
45000 12.56 -0.00 0.02 132.78+17.34j
46000 16.04 -0.00 0.02 167.58+30.97j
47000 13.80 -0.00 0.02 145.17-4.68j
48000 12.00 -0.00 0.02 127.19+1.96j
49000 12.25 -0.00 0.02 129.65+13.26j
50000 13.62 -0.00 0.02 143.36+10.28j
51000 11.48 -0.00 0.02 121.97-9.28j
52000 10.93 -0.00 0.02 116.48+23.96j
53000 10.68 0.00 0.02 114.03-23.72j
54000 13.79 0.00 0.02 145.09-5.83j
55000 13.14 0.00 0.02 138.58-16.45j
56000 13.03 -0.00 0.02 137.48+22.16j
57000 14.07 -0.00 0.02 147.92-6.29j
58000 11.80 -0.00 0.02 125.16+24.42j
59000 13.60 -0.00 0.02 143.21+20.03j
60000 12.58 0.00 0.02 132.99-24.07j
61000 11.62 -0.00 0.02 123.38+0.50j
62000 14.07 -0.00 0.02 147.92+15.59j
63000 12.21 0.00 0.02 129.29-5.06j
64000 11.42 0.00 0.02 121.40-12.34j
65000 10.85 -0.00 0.02 115.70+7.07j
66000 12.28 0.00 0.02 130.01+28.79j
67000 12.71 -0.00 0.02 134.27+12.77j
68000 10.73 -0.00 0.02 114.50+0.76j
69000 11.58 -0.00 0.02 123.01-0.16j
70000 11.71 -0.00 0.02 124.29+12.16j
71000 12.38 -0.00 0.02 130.96+31.35j
72000 12.98 -0.00 0.02 136.96+28.91j
73000 12.04 -0.00 0.02 127.61-27.53j
74000 12.31 -0.00 0.02 130.30+5.26j
75000 13.68 -0.00 0.02 144.01-22.93j
76000 12.83 -0.00 0.02 135.45+30.92j
77000 12.82 -0.00 0.02 135.36-7.37j
78000 13.72 -0.00 0.02 144.42-13.99j
79000 11.34 -0.00 0.02 120.55-30.90j
80000 16.29 -0.00 0.02 170.10-7.87j
81000 10.80 0.00 0.02 115.14+9.24j
82000 11.76 0.00 0.02 124.75+30.78j
83000 15.63 -0.00 0.02 163.53-16.07j
84000 13.30 -0.00 0.02 140.15+30.99j
85000 11.60 0.00 0.02 123.19+25.59j
86000 13.02 0.00 0.02 137.34-29.60j
87000 10.87 -0.00 0.02 115.91+19.84j
88000 12.04 -0.00 0.02 127.54+11.36j
89000 10.92 -0.00 0.02 116.36-14.66j
90000 12.03 -0.00 0.02 127.45-9.63j
91000 11.42 -0.00 0.02 121.40-3.37j
92000 11.59 -0.00 0.02 123.06-22.21j
93000 11.92 0.00 0.02 126.39+25.89j
94000 13.26 -0.00 0.02 139.81+21.14j
95000 12.86 -0.00 0.02 135.78+27.08j
96000 11.56 -0.00 0.02 122.76-16.61j
97000 13.44 -0.00 0.02 141.60-13.03j
98000 11.34 -0.00 0.02 120.61-2.79j
99000 10.31 -0.00 0.02 110.26+21.37j
100000 13.34 -0.00 0.02 140.56+2.72j
101000 15.16 -0.00 0.02 158.79+19.99j
102000 14.80 -0.00 0.02 155.15-28.97j
103000 9.81 -0.00 0.02 105.26+14.33j
104000 13.98 -0.00 0.02 146.97+23.98j
105000 13.22 -0.00 0.02 139.42-8.81j
106000 10.58 -0.00 0.02 112.97-10.19j
107000 11.42 -0.00 0.02 121.39-23.96j
108000 11.20 -0.00 0.02 119.18+21.19j
109000 11.31 -0.00 0.02 120.25+8.02j
110000 11.25 -0.00 0.02 119.64+0.86j
111000 13.26 0.00 0.02 139.75-24.15j
112000 12.53 -0.00 0.02 132.48-3.22j
113000 13.24 -0.00 0.02 139.53+8.23j
114000 14.24 -0.00 0.02 149.56-10.95j
115000 14.63 -0.00 0.02 153.52-29.81j
116000 12.26 -0.00 0.02 129.77+16.04j
117000 11.81 0.00 0.02 125.32-18.38j
118000 13.25 0.00 0.02 139.64+22.46j
