# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
1000 -71.83 0.01 0.00 -0.00 0.00 0.00+0.00j
2000 -71.82 0.01 0.00 -0.00 0.00 0.00+0.00j
3000 -71.82 0.01 0.00 -0.00 0.00 0.00+0.00j
4000 -71.82 0.00 0.00 -0.00 0.00 0.00+0.00j
5000 -71.82 -0.01 0.00 -0.00 0.00 0.00-0.00j
6000 -71.81 -0.00 0.00 -0.00 0.00 0.00-0.00j
7000 -71.81 -0.00 0.00 -0.00 0.00 0.00-0.00j
8000 -71.81 -0.01 0.00 -0.00 0.00 0.00-0.00j
9000 -71.81 -0.01 0.00 0.00 0.00 0.00-0.00j
10000 -71.81 -0.02 0.00 -0.00 0.00 0.00-0.00j
11000 -71.80 -0.03 0.00 -0.00 0.00 0.00-0.00j
12000 -71.80 -0.03 0.00 -0.00 -0.00 0.00-0.00j
13000 -71.80 -0.04 0.00 -0.00 -0.00 0.00-0.00j
14000 -71.80 -0.03 0.00 0.00 -0.00 0.00-0.00j
15000 -71.80 -0.04 0.00 -0.00 0.00 0.00-0.00j
16000 -71.80 -0.03 0.00 -0.00 0.00 0.00-0.00j
17000 -71.79 -0.04 0.00 -0.00 0.00 0.00-0.00j
18000 -71.79 -0.05 0.00 -0.00 -0.00 0.00-0.00j
19000 -71.79 -0.04 0.00 0.00 -0.00 0.00-0.00j
20000 -71.79 -0.05 0.00 0.00 -0.00 0.00-0.01j
21000 -71.79 -0.06 0.00 0.00 -0.00 0.00-0.01j
22000 -71.79 -0.05 0.00 0.00 -0.00 0.00-0.01j
23000 -71.78 -0.06 0.00 0.00 -0.00 0.01-0.01j
24000 -71.78 -0.07 0.00 0.00 -0.00 0.01-0.01j
25000 -71.78 -0.08 0.00 0.00 -0.00 0.01-0.01j
26000 -71.78 -0.06 0.00 0.00 0.00 0.01-0.01j
27000 -71.78 -0.07 0.00 0.00 0.00 0.01-0.01j
28000 -71.78 -0.07 0.00 -0.00 0.00 0.01-0.01j
29000 -71.78 -0.07 0.00 0.00 -0.00 0.01-0.01j
30000 -71.77 -0.07 0.00 -0.00 0.00 0.01-0.01j
31000 -71.77 -0.07 0.00 0.00 0.00 0.01-0.01j
32000 -71.77 -0.07 0.00 -0.00 -0.00 0.01-0.01j
33000 -71.77 -0.07 0.00 0.00 0.00 0.01-0.01j
34000 -71.77 -0.08 0.00 0.00 0.00 0.01-0.01j
35000 -71.77 -0.07 0.00 0.00 0.00 0.01-0.01j
36000 -71.77 -0.07 0.00 0.00 0.00 0.01-0.01j
37000 -71.77 -0.06 0.00 -0.00 -0.00 0.01-0.01j
38000 -71.77 -0.06 0.00 -0.00 -0.00 0.01-0.01j
39000 -71.77 -0.07 0.00 0.00 -0.00 0.01-0.01j
40000 -71.77 -0.06 0.00 -0.00 -0.00 0.01-0.01j
41000 -71.77 -0.06 0.00 0.00 -0.00 0.01-0.01j
42000 -71.77 -0.07 0.00 0.00 0.00 0.01-0.01j
43000 -71.76 -0.08 0.00 -0.00 0.00 0.01-0.01j
44000 -71.76 -0.07 0.00 0.00 0.00 0.01-0.01j
45000 -71.76 -0.07 0.00 0.00 -0.00 0.01-0.01j
46000 -71.76 -0.08 0.00 0.00 0.00 0.01-0.01j
47000 -71.76 -0.08 0.00 0.00 0.00 0.01-0.01j
48000 -71.76 -0.08 0.00 0.00 0.00 0.01-0.01j
49000 -71.76 -0.07 0.00 0.00 -0.00 0.01-0.01j
50000 -71.76 -0.08 0.00 0.00 -0.00 0.01-0.01j
51000 -71.76 -0.07 0.00 0.00 0.00 0.01-0.01j
52000 -71.76 -0.06 0.00 0.00 -0.00 0.01-0.01j
53000 -71.76 -0.07 0.00 -0.00 -0.00 0.01-0.01j
54000 -71.76 -0.08 0.00 0.00 -0.00 0.01-0.01j
55000 -71.76 -0.07 0.00 -0.00 0.00 0.01-0.01j
56000 -71.76 -0.08 0.00 0.00 -0.00 0.01-0.01j
57000 -71.76 -0.08 0.00 0.00 -0.00 0.01-0.01j
58000 -71.76 -0.08 0.00 0.00 -0.00 0.01-0.01j
59000 -71.76 -0.08 0.00 0.00 0.00 0.01-0.01j
60000 -71.76 -0.08 0.00 0.00 0.00 0.01-0.01j
61000 -71.76 -0.08 0.00 -0.00 0.00 0.01-0.01j
62000 -71.76 -0.08 0.00 -0.00 -0.00 0.01-0.01j
63000 -71.76 -0.08 0.00 -0.00 -0.00 0.01-0.01j
64000 -71.76 -0.07 0.00 0.00 0.00 0.01-0.01j
65000 -71.76 -0.06 0.00 0.00 0.00 0.01-0.01j
66000 -71.76 -0.06 0.00 0.00 0.00 0.01-0.01j
67000 -71.76 -0.06 0.00 0.00 0.00 0.01-0.01j
68000 -71.76 -0.06 0.00 0.00 0.00 0.01-0.01j
69000 -71.76 -0.06 0.00 -0.00 0.00 0.01-0.01j
70000 -71.76 -0.06 0.00 -0.00 0.00 0.01-0.01j
71000 -71.76 -0.05 0.00 0.00 0.00 0.01-0.00j
72000 -71.76 -0.03 0.00 0.00 0.00 0.01-0.00j
73000 -71.76 -0.03 0.00 0.00 0.00 0.01-0.00j
74000 -71.75 -0.04 0.00 -0.00 0.00 0.01-0.00j
75000 -71.75 -0.03 0.00 -0.00 -0.00 0.01-0.00j
76000 -71.75 -0.02 0.00 -0.00 -0.00 0.01-0.00j
77000 -71.75 -0.02 0.00 -0.00 0.00 0.01-0.00j
78000 -71.75 -0.01 0.00 -0.00 0.00 0.01-0.00j
79000 -71.75 -0.02 0.00 0.00 0.00 0.01-0.00j
80000 -71.75 -0.02 0.00 -0.00 0.00 0.01-0.00j
81000 -71.74 -0.03 0.00 0.00 -0.00 0.01-0.00j
82000 -71.74 -0.02 0.00 -0.00 -0.00 0.01-0.00j
83000 -71.74 -0.02 0.00 -0.00 0.00 0.01-0.00j
84000 -71.74 -0.01 0.00 0.00 -0.00 0.01-0.00j
85000 -71.75 -0.00 0.00 0.00 -0.00 0.01-0.00j
86000 -71.75 -0.01 0.00 -0.00 0.00 0.01-0.00j
87000 -71.75 -0.01 0.00 -0.00 -0.00 0.01-0.00j
88000 -71.74 -0.01 0.00 -0.00 -0.00 0.01-0.00j
89000 -71.74 -0.00 0.00 -0.00 -0.00 0.01-0.00j
90000 -71.74 -0.00 0.00 0.00 -0.00 0.01-0.00j
91000 -71.75 -0.00 0.00 -0.00 0.00 0.01-0.00j
92000 -71.75 -0.01 0.00 -0.00 0.00 0.01-0.00j
93000 -71.74 -0.01 0.00 0.00 -0.00 0.01-0.00j
