# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -4489.2239 | 32.0916 | 8.3044 | 4.8828| 4.8828 | 0.0156 | 0.0045-0.0000j | 0.3928-0.0010j
2000 | -4488.6442 | 79.0710 | 10.3359 | 4.8828| 4.8828 | 0.0156 | 0.0103-0.0000j | 0.8625-0.0001j
3000 | -4488.0672 | 126.0335 | 12.5447 | 4.8828| 4.8828 | 0.0156 | 0.0161-0.0000j | 1.3322-0.0001j
4000 | -4487.4899 | 172.8822 | 14.9936 | 4.8828| 4.8828 | 0.0156 | 0.0219+0.0000j | 1.8007-0.0000j
5000 | -4486.9111 | 219.7139 | 17.7665 | 4.8828| 4.8828 | 0.0156 | 0.0277+0.0000j | 2.2690+0.0000j
6000 | -4486.3332 | 266.4709 | 20.9389 | 4.8828| 4.8828 | 0.0156 | 0.0334+0.0000j | 2.7365+0.0003j
7000 | -4485.7564 | 313.1940 | 24.6381 | 4.8828| 4.8828 | 0.0156 | 0.0392+0.0000j | 3.2038-0.0003j
8000 | -4485.1794 | 359.9023 | 29.0440 | 4.8828| 4.8828 | 0.0156 | 0.0450+0.0000j | 3.6709-0.0002j
9000 | -4484.6041 | 406.5614 | 34.3423 | 4.8828| 4.8828 | 0.0156 | 0.0507+0.0000j | 4.1374+0.0002j
10000 | -4484.0295 | 453.2185 | 40.8017 | 4.8828| 4.8828 | 0.0156 | 0.0565-0.0000j | 4.6040-0.0009j
11000 | -4483.4540 | 499.7906 | 48.8135 | 4.8828| 4.8828 | 0.0156 | 0.0622-0.0000j | 5.0697-0.0013j
12000 | -4482.8802 | 546.2897 | 58.7549 | 4.8828| 4.8828 | 0.0156 | 0.0680-0.0000j | 5.5347-0.0005j
13000 | -4482.3063 | 592.8988 | 71.3136 | 4.8828| 4.8828 | 0.0156 | 0.0737-0.0000j | 6.0008+0.0001j
14000 | -4481.7347 | 639.3914 | 87.1304 | 4.8828| 4.8828 | 0.0156 | 0.0794-0.0000j | 6.4657-0.0010j
15000 | -4481.1617 | 685.8090 | 107.3022 | 4.8828| 4.8828 | 0.0156 | 0.0852-0.0000j | 6.9299-0.0023j
