# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
950000 93.37 -0.43 51.06 -0.13 1.00 102.35-0.43j
960000 93.39 -0.17 51.28 0.07 1.00 102.37-0.17j
970000 93.34 -0.39 51.16 -0.27 1.00 102.32-0.39j
980000 93.36 -0.35 51.10 -0.04 1.00 102.34-0.35j
990000 93.33 -0.49 51.10 -0.02 1.00 102.31-0.49j
1000000 93.36 -0.45 51.30 -0.03 1.00 102.34-0.45j
1010000 93.40 -0.41 51.10 -0.09 1.00 102.38-0.41j
1020000 93.37 -0.42 51.14 0.00 1.00 102.34-0.42j
1030000 93.40 -0.09 51.28 0.20 1.00 102.38-0.09j
1040000 93.36 -0.04 51.11 0.09 1.00 102.34-0.04j
1050000 93.36 -0.23 51.13 0.12 1.00 102.34-0.23j
1060000 93.36 -0.62 51.14 -0.11 1.00 102.34-0.62j
1070000 93.38 -0.49 51.17 -0.03 1.00 102.36-0.49j
1080000 93.36 -0.07 51.17 0.17 1.00 102.34-0.07j
1090000 93.41 -0.11 51.23 0.16 1.00 102.39-0.11j
1100000 93.37 -0.35 51.13 0.03 1.00 102.35-0.35j
1110000 93.31 -0.53 51.26 -0.05 1.00 102.29-0.53j
1120000 93.39 -0.68 51.07 -0.11 1.00 102.37-0.68j
1130000 93.34 -0.46 51.17 0.04 1.00 102.32-0.46j
1140000 93.32 -0.39 51.05 0.05 1.00 102.30-0.39j
1150000 93.29 -0.36 51.18 -0.03 1.00 102.27-0.36j
1160000 93.25 0.00 51.21 0.06 1.00 102.23+0.00j
1170000 93.32 -0.07 51.19 0.24 1.00 102.30-0.07j
1180000 93.28 -0.20 51.06 0.14 1.00 102.26-0.20j
1190000 93.25 -0.17 51.09 0.04 1.00 102.23-0.17j
1200000 93.34 -0.63 51.17 -0.19 1.00 102.31-0.63j
1210000 93.29 -0.51 51.18 -0.12 1.00 102.27-0.51j
1220000 93.29 -0.49 51.19 0.07 1.00 102.27-0.49j
1230000 93.34 -0.53 51.12 -0.05 1.00 102.32-0.53j
1240000 93.28 -0.48 51.21 -0.12 1.00 102.26-0.48j
1250000 93.28 -0.47 51.26 -0.03 1.00 102.26-0.47j
1260000 93.39 -0.50 51.28 -0.09 1.00 102.37-0.50j
1270000 93.36 -0.57 51.24 -0.01 1.00 102.34-0.57j
1280000 93.41 -0.51 51.15 -0.12 1.00 102.38-0.51j
1290000 93.36 -0.30 51.18 0.18 1.00 102.34-0.30j
1300000 93.30 -0.47 51.24 0.03 1.00 102.28-0.47j
1310000 93.32 -0.50 51.24 0.10 1.00 102.30-0.50j
1320000 93.33 -0.85 51.21 -0.03 1.00 102.31-0.85j
1330000 93.29 -0.65 51.14 -0.05 1.00 102.27-0.65j
1340000 93.30 -0.59 51.15 0.01 1.00 102.28-0.59j
1350000 93.33 -0.52 51.03 0.03 1.00 102.31-0.52j
1360000 93.28 -0.52 51.08 -0.05 1.00 102.26-0.52j
1370000 93.30 -0.35 51.06 0.09 1.00 102.28-0.35j
1380000 93.32 -0.53 51.18 0.04 1.00 102.30-0.53j
1390000 93.35 -0.54 51.18 -0.02 1.00 102.33-0.54j
1400000 93.36 -0.59 51.16 -0.07 1.00 102.33-0.59j
1410000 93.32 -0.52 51.20 0.07 1.00 102.30-0.52j
1420000 93.31 -0.72 51.11 0.12 1.00 102.29-0.72j
1430000 93.30 -0.65 51.12 -0.04 1.00 102.28-0.65j
1440000 93.31 -0.83 51.17 -0.04 1.00 102.29-0.83j
1450000 93.30 -0.65 51.20 0.03 1.00 102.28-0.65j
1460000 93.32 -0.65 51.22 0.09 1.00 102.30-0.65j
1470000 93.35 -0.97 51.12 -0.15 1.00 102.33-0.97j
1480000 93.33 -0.89 51.11 -0.05 1.00 102.31-0.89j
1490000 93.37 -1.15 51.06 -0.25 1.00 102.35-1.15j
1500000 93.30 -0.76 50.96 0.01 1.00 102.27-0.76j
1510000 93.36 -0.87 51.18 -0.13 1.00 102.34-0.87j
1520000 93.40 -0.93 51.19 -0.25 1.00 102.38-0.93j
1530000 93.19 -1.05 50.62 0.70 1.00 102.17-1.05j
1540000 93.35 -0.94 51.14 -0.36 1.00 102.32-0.94j
1550000 93.33 -0.44 51.16 0.05 1.00 102.31-0.44j
1560000 93.37 -0.32 51.13 0.08 1.00 102.35-0.32j
1570000 93.38 -0.10 51.17 0.20 1.00 102.35-0.10j
1580000 93.33 0.18 51.25 0.32 1.00 102.31+0.18j
1590000 93.34 -0.31 51.19 0.07 1.00 102.32-0.31j
1600000 93.35 -0.37 51.14 0.00 1.00 102.33-0.37j
1610000 93.31 -0.42 51.21 -0.02 1.00 102.29-0.42j
1620000 93.34 -0.37 51.26 0.05 1.00 102.32-0.37j
1630000 93.32 -0.40 51.10 0.01 1.00 102.29-0.40j
1640000 93.33 -0.28 51.21 -0.05 1.00 102.31-0.28j
1650000 93.34 -0.26 51.16 -0.12 1.00 102.32-0.26j
1660000 93.29 -0.37 51.07 -0.09 1.00 102.27-0.37j
1670000 93.31 -0.21 51.13 -0.12 1.00 102.29-0.21j
1680000 93.35 -0.10 51.28 0.06 1.00 102.33-0.10j
1690000 93.32 -0.15 51.14 -0.01 1.00 102.29-0.15j
1700000 93.38 -0.26 51.25 -0.07 1.00 102.36-0.26j
1710000 93.34 0.14 51.11 0.04 1.00 102.32+0.14j
1720000 93.32 0.00 51.27 -0.02 1.00 102.30+0.00j
1730000 93.18 -0.14 51.12 -0.07 1.00 102.16-0.14j
1740000 93.30 0.01 51.14 -0.01 1.00 102.28+0.01j
1750000 93.32 0.13 51.36 0.02 1.00 102.30+0.13j
1760000 93.33 0.08 51.11 0.10 1.00 102.31+0.08j
1770000 93.31 0.48 51.14 0.04 1.00 102.29+0.48j
1780000 93.33 0.21 51.17 -0.00 1.00 102.31+0.21j
1790000 93.29 0.36 51.29 0.03 1.00 102.27+0.36j
1800000 93.36 -0.06 51.36 -0.02 1.00 102.34-0.06j
1810000 93.34 -0.03 51.11 0.05 1.00 102.32-0.03j
1820000 93.36 0.19 51.20 0.14 1.00 102.34+0.19j
1830000 93.34 0.22 51.14 0.02 1.00 102.32+0.22j
1840000 93.31 0.17 51.28 0.21 1.00 102.29+0.17j
1850000 93.38 0.14 51.25 0.04 1.00 102.36+0.14j
1860000 93.35 0.42 51.35 0.16 1.00 102.33+0.42j
1870000 93.38 0.31 51.20 0.03 1.00 102.36+0.31j
1880000 93.35 0.11 51.26 -0.06 1.00 102.33+0.11j
1890000 93.34 -0.13 51.22 -0.02 1.00 102.32-0.13j
1900000 93.31 0.09 51.16 0.04 1.00 102.29+0.09j
1910000 93.34 0.25 51.10 0.04 1.00 102.32+0.25j
1920000 93.30 0.13 51.12 0.11 1.00 102.28+0.13j
1930000 93.34 0.04 51.12 0.08 1.00 102.32+0.04j
1940000 93.36 0.11 51.29 0.08 1.00 102.34+0.11j
1950000 93.38 -0.06 51.08 -0.04 1.00 102.35-0.06j
1960000 93.33 -0.28 51.23 -0.11 1.00 102.31-0.28j
1970000 93.33 -0.17 51.05 -0.15 1.00 102.31-0.17j
1980000 93.31 -0.08 51.25 -0.08 1.00 102.29-0.08j
1990000 93.24 -0.19 51.33 -0.44 1.00 102.22-0.19j
2000000 93.35 0.03 51.17 0.01 1.00 102.33+0.03j
2010000 93.36 -0.19 51.19 -0.06 1.00 102.34-0.19j
2020000 93.37 -0.03 51.30 0.14 1.00 102.35-0.03j
2030000 93.37 -0.06 51.28 0.02 1.00 102.35-0.06j
2040000 93.36 -0.28 51.07 -0.16 1.00 102.34-0.28j
2050000 93.31 -0.16 51.18 0.10 1.00 102.29-0.16j
2060000 93.34 -0.28 51.25 0.01 1.00 102.32-0.28j
2070000 93.32 -0.39 51.03 -0.07 1.00 102.30-0.39j
2080000 93.32 -0.20 51.14 -0.03 1.00 102.29-0.20j
2090000 93.27 -0.20 51.14 -0.00 1.00 102.25-0.20j
2100000 93.34 -0.30 51.14 -0.07 1.00 102.32-0.30j
2110000 93.33 -0.22 51.09 -0.08 1.00 102.31-0.22j
2120000 93.38 -0.25 51.32 0.14 1.00 102.36-0.25j
2130000 93.39 -0.36 51.07 -0.05 1.00 102.37-0.36j
2140000 93.34 -0.25 51.23 -0.06 1.00 102.32-0.25j
2150000 93.33 -0.26 51.18 -0.06 1.00 102.31-0.26j
2160000 93.36 -0.54 51.19 -0.04 1.00 102.34-0.54j
2170000 93.34 -0.35 51.06 0.01 1.00 102.32-0.35j
2180000 93.32 -0.33 51.24 -0.00 1.00 102.30-0.33j
2190000 93.33 -0.22 51.32 0.05 1.00 102.30-0.22j
2200000 93.41 -0.16 51.19 0.08 1.00 102.39-0.16j
2210000 93.42 -0.46 51.19 -0.06 1.00 102.40-0.46j
2220000 93.38 -0.41 51.11 -0.05 1.00 102.36-0.41j
2230000 93.40 -0.75 51.33 -0.16 1.00 102.38-0.75j
2240000 93.40 -0.32 51.32 -0.08 1.00 102.38-0.32j
2250000 93.37 -0.27 51.18 0.04 1.00 102.35-0.27j
2260000 93.39 -0.03 51.29 0.04 1.00 102.37-0.03j
2270000 93.26 -0.40 51.14 -0.05 1.00 102.24-0.40j
2280000 93.40 -0.69 51.23 -0.18 1.00 102.38-0.69j
2290000 93.43 -0.66 51.29 0.03 1.00 102.41-0.66j
2300000 93.39 -0.45 51.31 0.10 1.00 102.37-0.45j
2310000 93.39 -0.56 51.24 -0.01 1.00 102.37-0.56j
2320000 93.37 -0.67 51.25 0.09 1.00 102.35-0.67j
2330000 93.39 -0.47 51.14 -0.10 1.00 102.37-0.47j
2340000 93.36 -0.81 51.09 -0.20 1.00 102.34-0.81j
2350000 93.40 -0.67 51.13 -0.07 1.00 102.38-0.67j
2360000 93.36 -0.48 51.13 0.09 1.00 102.34-0.48j
2370000 93.40 -0.53 51.37 0.14 1.00 102.38-0.53j
2380000 93.40 -0.46 51.17 -0.07 1.00 102.38-0.46j
2390000 93.35 -0.82 51.16 -0.08 1.00 102.33-0.82j
2400000 93.35 -0.58 51.14 0.06 1.00 102.33-0.58j
2410000 93.37 -0.66 51.05 -0.01 1.00 102.35-0.66j
2420000 93.37 -0.79 51.26 -0.04 1.00 102.35-0.79j
2430000 93.40 -0.88 51.19 -0.17 1.00 102.38-0.88j
2440000 93.29 -0.22 51.44 0.15 1.00 102.27-0.22j
2450000 93.34 -0.54 51.22 0.02 1.00 102.32-0.54j
2460000 93.33 -0.65 51.25 -0.08 1.00 102.31-0.65j
2470000 93.31 -0.31 51.20 0.08 1.00 102.29-0.31j
2480000 93.34 -0.24 51.26 0.05 1.00 102.32-0.24j
2490000 93.36 -0.74 51.03 0.11 1.00 102.34-0.74j
2500000 93.38 -0.79 51.18 -0.11 1.00 102.36-0.79j
2510000 93.37 -0.82 51.14 -0.03 1.00 102.35-0.82j
2520000 93.35 -0.56 51.18 -0.06 1.00 102.33-0.56j
2530000 93.30 -0.71 51.23 0.06 1.00 102.28-0.71j
2540000 93.32 -0.68 51.18 0.06 1.00 102.30-0.68j
2550000 93.35 -1.26 51.21 -0.16 1.00 102.33-1.26j
2560000 93.32 -1.09 51.10 -0.20 1.00 102.30-1.09j
2570000 93.39 -0.93 51.16 -0.13 1.00 102.37-0.93j
2580000 93.35 -0.89 51.25 -0.05 1.00 102.33-0.89j
2590000 93.34 -0.94 51.33 -0.00 1.00 102.32-0.94j
2600000 93.35 -1.00 51.16 -0.17 1.00 102.33-1.00j
2610000 93.28 -0.98 51.18 -0.09 1.00 102.26-0.98j
2620000 93.32 -1.01 51.02 -0.10 1.00 102.30-1.01j
2630000 93.39 -1.03 51.40 -0.34 1.00 102.37-1.03j
