# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
10000 1.97 0.01 3.97 0.01 2.00 2.06+0.01j
20000 1.97 -0.01 3.97 -0.01 2.00 2.06-0.01j
30000 1.97 -0.01 3.97 -0.01 2.00 2.06-0.01j
40000 1.97 -0.02 3.98 -0.02 2.00 2.06-0.02j
50000 1.97 -0.00 3.98 0.00 2.00 2.06-0.00j
60000 1.97 0.00 3.97 0.00 2.00 2.06+0.00j
70000 1.97 0.01 3.97 0.01 2.00 2.06+0.01j
80000 1.97 -0.02 3.97 -0.02 2.00 2.06-0.02j
90000 1.97 -0.02 3.97 -0.03 2.00 2.06-0.02j
100000 1.97 -0.00 3.97 -0.00 2.00 2.06-0.00j
110000 1.97 -0.01 3.98 -0.01 2.00 2.06-0.01j
120000 1.97 0.00 3.97 0.00 2.00 2.06+0.00j
130000 1.97 -0.02 3.97 -0.01 2.00 2.06-0.02j
140000 1.97 -0.00 3.98 0.00 2.00 2.06-0.00j
150000 1.97 0.02 3.97 0.01 2.00 2.06+0.02j
160000 1.97 -0.00 3.97 -0.00 2.00 2.06-0.00j
170000 1.97 -0.00 3.98 -0.00 2.00 2.06-0.00j
180000 1.97 -0.03 3.97 -0.03 2.00 2.06-0.03j
190000 1.97 0.02 3.97 0.02 2.00 2.06+0.02j
200000 1.97 -0.01 3.97 -0.01 2.00 2.06-0.01j
210000 1.97 0.01 3.97 0.01 2.00 2.06+0.01j
220000 1.97 -0.01 3.98 -0.00 2.00 2.06-0.01j
230000 1.97 -0.01 3.98 -0.00 2.00 2.06-0.01j
240000 1.97 -0.01 3.97 -0.01 2.00 2.06-0.01j
250000 1.97 -0.06 3.97 -0.06 2.00 2.06-0.06j
260000 1.97 0.01 3.97 0.00 2.00 2.06+0.01j
270000 1.97 0.01 3.97 0.01 2.00 2.06+0.01j
280000 1.97 0.03 3.97 0.02 2.00 2.06+0.03j
290000 1.97 0.02 3.98 0.02 2.00 2.06+0.02j
300000 1.97 0.03 3.97 0.03 2.00 2.06+0.03j
310000 1.97 0.02 3.98 0.02 2.00 2.06+0.02j
320000 1.97 -0.02 3.97 -0.03 2.00 2.06-0.02j
330000 1.97 -0.02 3.98 -0.02 2.00 2.06-0.02j
340000 1.97 0.02 3.98 0.02 2.00 2.06+0.02j
350000 1.97 -0.01 3.97 -0.01 2.00 2.06-0.01j
360000 1.97 -0.02 3.98 -0.02 2.00 2.06-0.02j
370000 1.97 -0.00 3.97 -0.00 2.00 2.06-0.00j
380000 1.97 0.01 3.98 0.01 2.00 2.06+0.01j
390000 1.97 -0.01 3.97 -0.01 2.00 2.06-0.01j
400000 1.97 -0.02 3.97 -0.02 2.00 2.06-0.02j
410000 1.97 0.00 3.97 0.00 2.00 2.06+0.00j
420000 1.97 0.00 3.97 0.01 2.00 2.06+0.00j
430000 1.97 -0.03 3.97 -0.03 2.00 2.06-0.03j
440000 1.97 0.00 3.97 0.00 2.00 2.06+0.00j
450000 1.97 0.01 3.97 0.01 2.00 2.06+0.01j
460000 1.97 0.02 3.98 0.02 2.00 2.06+0.02j
470000 1.97 -0.00 3.97 0.00 2.00 2.06-0.00j
480000 1.97 0.00 3.98 0.00 2.00 2.06+0.00j
490000 1.97 -0.00 3.97 -0.00 2.00 2.06-0.00j
500000 1.97 0.04 3.97 0.03 2.00 2.06+0.04j
