# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 -5.90 -0.00 0.02 4.23-0.25j
2000 -1.40 0.00 -0.00 6.48+0.05j
3000 0.46 0.00 0.02 7.42-0.45j
4000 3.21 0.00 0.04 8.79+1.40j
5000 4.23 0.01 0.02 9.30+0.21j
6000 6.14 0.00 0.01 10.26-1.11j
7000 6.73 0.00 0.02 10.55-0.58j
8000 9.07 -0.00 0.00 11.72+1.03j
9000 9.76 0.00 0.02 12.07+0.42j
10000 10.60 -0.00 -0.01 12.48-0.67j
11000 11.37 -0.00 0.02 12.87+0.11j
12000 12.33 0.00 0.03 13.35+0.69j
13000 13.63 -0.00 0.03 14.00+0.59j
14000 14.85 0.00 0.02 14.61+0.89j
15000 15.30 0.00 0.02 14.83-0.63j
16000 15.40 0.00 0.02 14.88-0.96j
17000 16.80 0.00 0.01 15.58+1.55j
18000 16.00 0.00 0.01 15.18-0.61j
19000 17.80 0.00 0.02 16.08-1.05j
20000 17.37 -0.00 0.00 15.87+1.31j
21000 18.50 -0.00 0.03 16.43-0.13j
22000 19.12 -0.00 0.02 16.75+0.35j
23000 19.75 -0.00 0.02 17.06+0.33j
24000 20.74 0.00 0.01 17.55+1.11j
25000 19.39 0.00 0.01 16.88-0.07j
26000 20.70 -0.00 0.02 17.53-1.02j
27000 22.10 0.00 0.02 18.23+1.44j
28000 22.36 0.00 0.05 18.36-1.50j
29000 22.48 0.00 0.01 18.42-0.87j
30000 22.84 -0.01 0.02 18.60-1.03j
31000 23.80 -0.00 0.04 19.08-0.29j
32000 22.32 0.00 0.01 18.34-0.91j
33000 21.47 -0.00 0.01 17.92-1.34j
34000 22.17 0.00 0.01 18.27-0.77j
35000 22.00 0.00 0.02 18.18+1.27j
36000 22.52 0.00 0.01 18.44-0.45j
37000 21.80 0.00 0.01 18.08+0.17j
38000 23.23 0.00 0.02 18.80-0.74j
39000 25.27 -0.00 0.03 19.82-0.42j
40000 23.93 -0.00 0.00 19.15+0.64j
41000 23.96 0.00 0.02 19.16+0.22j
42000 24.40 0.00 0.02 19.39+1.12j
43000 25.57 0.00 0.02 19.97+0.80j
44000 24.14 -0.00 0.01 19.25+0.70j
45000 25.18 -0.00 0.04 19.77+0.71j
46000 24.27 0.00 0.02 19.32-1.22j
47000 25.09 0.00 0.01 19.73+0.59j
48000 25.62 0.00 0.03 19.99+1.33j
49000 25.63 0.00 0.01 20.00-0.71j
50000 25.47 0.00 0.03 19.92+0.96j
51000 25.17 0.00 0.02 19.77+0.14j
52000 25.60 0.00 0.02 19.98+1.11j
