# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
51000 | -0.0816 | 15.8214 | 3.9734 | 3.3359| 1.5625 | -2.5483-0.3909j | 791.7860+24.5180j
52000 | -0.0434 | 18.2489 | 3.9737 | 3.3359| 1.5625 | -0.6372-0.8128j | 913.1656+53.1807j
53000 | -0.0762 | 16.1556 | 3.9735 | 3.3359| 1.5625 | -2.2786+1.0337j | 808.4966-66.3064j
54000 | -0.0690 | 16.6189 | 3.9736 | 3.3359| 1.5625 | -1.9188-0.3824j | 831.6640+24.4588j
55000 | -0.0680 | 16.6871 | 3.9736 | 3.3359| 1.5625 | -1.8639-0.0652j | 835.0754+2.9001j
56000 | -0.0791 | 15.9699 | 3.9737 | 3.3359| 1.5625 | -2.4213-1.2498j | 799.2125+80.1880j
57000 | -0.0734 | 16.3339 | 3.9736 | 3.3359| 1.5625 | -2.1360+0.6364j | 817.4128-41.6078j
58000 | -0.0690 | 16.6447 | 3.9730 | 3.3359| 1.5625 | -1.9172-0.6382j | 832.9541+41.0551j
59000 | -0.0871 | 15.4636 | 3.9735 | 3.3359| 1.5625 | -2.8229-0.2835j | 773.8995+18.0383j
60000 | -0.0587 | 17.2713 | 3.9737 | 3.3359| 1.5625 | -1.3999+0.6994j | 864.2841-44.5816j
61000 | -0.0676 | 16.7182 | 3.9734 | 3.3359| 1.5625 | -1.8454-0.2632j | 836.6299+17.4056j
62000 | -0.0573 | 17.3706 | 3.9735 | 3.3359| 1.5625 | -1.3334-1.0770j | 869.2481+69.3430j
63000 | -0.0650 | 16.8779 | 3.9735 | 3.3359| 1.5625 | -1.7172-0.7047j | 844.6126+44.7191j
64000 | -0.0433 | 18.2524 | 3.9737 | 3.3359| 1.5625 | -0.6332+0.8020j | 913.3391-52.0716j
65000 | -0.0681 | 16.6597 | 3.9739 | 3.3359| 1.5625 | -1.8710+0.0076j | 833.7057-1.0173j
